d,k,MSE,ES,NES,precision,recall
1,6,0.13411896140840676,0.5483120253315239,1.4730002280003454,0.08224077100695927,0.00046314413939385325
2,6,0.11271532976719935,0.4941044291731066,1.3487621639542082,0.08961674082581829,0.0005037542316549586
3,6,0.10055935619255961,0.6078518493201406,1.5784128695554607,0.09165123612649963,0.0005128174940172487
4,6,0.09182572533827592,0.6254473960198825,1.5693222476091984,0.10227409514072401,0.0005696076253901893
5,6,0.08535680854849272,0.5661295553393486,1.4350242071214403,0.10075150124902117,0.0005564320280986862
6,6,0.08036285647038688,0.6110986506529682,1.5495983368483444,0.11205752653170675,0.0006124900017307231
7,6,0.07765077404937874,0.6065067087482716,1.5056285191238363,0.11153047343243551,0.0006078765420782069
8,6,0.07387142410573518,0.6228286200938343,1.5256950584380142,0.1198059649849106,0.0006477071247397657
9,6,0.07147479085642146,0.6233346062209062,1.5310621325689078,0.11580554579014878,0.0006191831826145402
10,6,0.0693747307924697,0.63611352116535,1.5679142412935303,0.12105912367042526,0.0006419441071240728
11,6,0.068689200639854,0.6229614746487664,1.5166731687548696,0.11671090763915994,0.0006125406761619849
11,1,0.11420745246317386,0.10814146186664786,1.5222742423124391,NaN,0.0
11,2,0.08423665057699363,0.6545230717870072,1.3464595124783718,0.12856448511244356,0.0004380731570105218
11,3,0.07949331060520666,0.6340787688097467,1.4381724712947948,0.1166871800098006,0.0005247986403386281
11,4,0.07589381304802485,0.6686358613018644,1.581239800183,0.12244382933103422,0.0006071212305262612
11,5,0.07154442274512575,0.6405108529983707,1.54939545099006,0.1189535665001544,0.000611067060754361
11,6,0.068689200639854,0.6229614746487664,1.52111340986475,0.11671090763915994,0.0006125406761619849
11,7,0.06632731319459789,0.6165914708305544,1.4986213693310404,0.11511175073861521,0.0006136853335201252
11,8,0.06444366887972876,0.604012140331891,1.479025933250859,0.1133172963102682,0.0006108670042618079
11,9,0.062462361708361745,0.6088877856490964,1.51713665944925,0.11447882794169531,0.000622760365975262
11,10,0.06142971156762229,0.611412068287848,1.5275017643819941,0.11511100065509616,0.0006318622775566105
11,11,0.05982107932271286,0.6058381710491387,1.5397596976672367,0.11418314891095688,0.0006294299667321581
6,11,0.07099291678412749,0.6336023448660411,1.6618663317325422,0.10869115272542612,0.0006073169096605774
