"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ATM.dist.mean_Nucleus",0.0284907574360917,0.175375521937336,-0.574554954846692,0.174769642966034,0,0,-0.0342832054224457,-0.529536071900974,-0.340201487397387,0.880957750184436,-0.0272227829859656,0.445558678048484,0.34124978955644,-0.441621447371939,-1.08075298250629
"TVC.dist.min_Nucleus",-0.646479674933021,0.0803953009990757,-0.0750907292944335,0.915038870697344,0.0494031429138625,2.94494432260717,-0.0134309306602527,0.127839787648524,0.401969179396813,0.281720158446888,0.421618197555976,0.200884897908321,-0.525777173788852,-0.0140961248981218,-0.748402377625887
"TVC.dist.max_Nucleus",-0.152896234393061,-0.479037214426802,-0.231684324742989,-0.458298399203854,0.343568404624688,4.08226239866436,0.649969333140924,-0.635963407212731,-0.355327498773389,0.079040121947085,0.672185154305548,0.798522440525833,-0.156014741676429,-0.23125523683654,-0.287122638411832
"TVC.dist.mean_Nucleus",-0.319991649906473,-0.296927858944041,-0.202738246075584,-0.0685143896688638,0.282852149387189,3.94156415524813,0.495275715473225,-0.450892516792473,-0.148957106054962,0.183461501512782,0.616284424376718,0.732688780767739,-0.283005204255674,-0.148301204264813,-0.437101713018345
"TVC.dist.sd_Nucleus",-0.0125819935050029,-0.662001413665925,-0.196562660453282,-0.00416551186139127,0.17104011273065,3.60290996211911,0.483476891804441,-0.0142958267374062,-0.0133254776877264,0.117271339493363,0.7515148564026,0.998069370766492,-0.0093922010651552,-0.0758007191925271,-0.191163158488744
"TVC.ATM.dist.min_Nucleus",-0.558987120650005,0.140891328727856,-1.00670183319771,0.161003009563124,1.16652347289604,-0.0534461165805696,0.702047446410578,-0.178085721929738,0.502201846196208,-1.06146931188275,0.811427323185342,-1.43388201072544,-0.878514012373768,0.516656874913215,0.72542049516031
"TVC.ATM.dist.max_Nucleus",0.037039420160982,0.037039420160982,0.037039420160982,0.037039420160982,0.037039420160982,0.00284918616622938,0.037039420160982,0.037039420160982,0.037039420160982,-1.21393712527623,0.037039420160982,0.037039420160982,0.037039420160982,0.037039420160982,0.037039420160982
"TVC.ATM.dist.mean_Nucleus",-0.538038961835511,0.163804480690955,-1.07826470484113,0.182995595296775,1.13450845317525,-0.0379307973539773,0.800001066902384,-0.381165088810836,0.445458501497734,-1.05929804003341,0.883632184082619,-1.06923591246433,-0.777083096499012,0.447040288340787,0.646165111710035
"TVC.ATM.dist.sd_Nucleus",0.307453762518519,-0.00382033220682933,0.444045553546518,0.339538892634688,-0.987968586508809,0.0440565660822426,-0.676080548318968,0.360127878625124,0.0590500097100786,1.03637459999204,-0.484760814016684,0.892259840218272,0.717503002714064,-0.533542266022504,-0.915292811826403
"TVC.cosine.min_Nucleus",-0.951022737341812,2.20563012890082,0.113149069492625,0.0373622478506802,-0.581575565754821,-1.06810514516351,-0.986982271244267,0.0352894616203639,0.0238434888405788,0.0700407049617188,-0.934955973020698,-0.884529526033969,-0.966857598333094,0.281359904683037,-0.787672109707321
"TVC.cosine.max_Nucleus",0.842965581062197,-2.39682269862033,-0.0934816645763035,-0.0324650187938628,0.498315813781292,0.923568946820399,0.873697949369587,-0.0090578875246703,-0.0296848223983676,0.0419849719984585,0.833133855730123,0.815681189743667,0.832693923430305,-0.236543336003721,0.780786230259966
"TVC.cosine.sd_Nucleus",1.13795906299521,-1.56602322187963,-0.11744678513874,-0.00114330753434092,0.0448221454776216,0.890367530230384,0.272761763247431,-0.0291546996284183,0.0463904575401798,0.208843962711698,1.53490636456158,1.08044496334429,1.1501423965234,0.156139457741793,0.952967671493222
"ATM.Nucleus.Dist.to.Cell.Membrane.min",-0.193015787826016,0.0249462402839654,-0.405390974015086,0.521194850371909,0.79109364270581,0.104434954191568,0.943616865442786,-0.561027236986783,-0.308452280603916,0.271571249278491,0.438109698295927,1.02878628129284,-0.497010222199873,-0.154531684080939,-0.353478015932981
"ATM.Nucleus.Dist.to.Cell.Membrane.max",-0.256957741241376,0.023125439789795,0.137309390798894,0.53172928144395,0.242376090699715,0.0587200886100998,0.399527415376614,0.0463376293942056,-0.0184082737589909,0.591271272358612,-0.0609256580113511,1.15299430459981,-0.543075511560532,-0.0131449123695054,-0.568331863825697
"ATM.Nucleus.Dist.to.Cell.Membrane.mean",-0.233202248248315,0.0271724725799969,-0.152957935259864,0.548750782386587,0.526874691228729,0.0839114776822621,0.687847572394756,-0.277836364795033,-0.156233238005798,0.469632174835974,0.187023916194256,1.13805776517238,-0.539369118836662,-0.0855345891025104,-0.481600813621876
"ATM.Nucleus.Dist.to.Cell.Membrane.SD",-0.234052620665267,-0.0721729807153603,0.447882773561511,0.0377286505612645,0,0,-0.0302037879024854,0.513858109771527,0.286244620744744,0.555492391344002,0.00939522160255362,0.41659903190131,-0.248106812500193,0.189632711648446,-0.584088806876103
"TVC.Nucleus.Dist.to.Cell.Membrane.min",-0.358686061300196,-0.16376213769943,-0.0859982844685404,0.917110450607087,0.149472777974771,3.14136215414284,0.271860061826934,-0.217014249276957,0.292616956767255,0.178574082274049,0.33392949524753,0.294522156126267,-0.52962665703924,-0.38730760627517,-0.653943155156054
"TVC.Nucleus.Dist.to.Cell.Membrane.max",-0.393107965843155,-0.0491160102925545,-0.147205053379251,0.306291325831297,0.437314791384781,3.44987597460032,0.47548265481305,-0.463211713328331,-0.164613577775435,0.213087076641262,0.448133248312427,0.430804568938781,-0.585219106860312,-0.332778424515009,-0.513951835275475
"TVC.Nucleus.Dist.to.Cell.Membrane.mean",-0.401919341888752,-0.0819489387268862,-0.117890595983085,0.596182484680798,0.33049326663189,3.41138528155317,0.407513349102961,-0.361316323447671,0.0319389215341789,0.221579898496698,0.414574232481419,0.400759703030656,-0.586126711933835,-0.347401757161028,-0.575872238108572
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",-0.387234897209362,0.308188224757555,-0.161382865081069,-0.149091707783929,0.498884972257122,2.32116204533532,0.298205982109357,-0.283928154671157,-0.0200776330670907,0.289991102659287,0.39076348991529,0.399370744963737,-0.567959234056214,-0.0309533295242861,-0.280547900937466
