d,k,invNES,MSE,ES,NES,precision,recall
1,91,0.6718627403979395,0.03403004798546733,0.513011076170149,1.488399251620513,0.08702408702408702,0.044658947324813056
2,91,0.6750443307435774,0.020154392395065526,0.5216634565089648,1.481384191314482,0.08781622417986054,0.04506545559997514
3,91,0.6577356652064884,0.017319127052814413,0.5427603560962571,1.5203676079904556,0.08983945347581711,0.04610373469768213
4,91,0.6149669796405506,0.01761996555777316,0.5825656122492688,1.6261035683322411,0.09317954772500227,0.04781780143753754
5,91,0.604728968436964,0.018418289767200783,0.5988926522311336,1.6536333666711693,0.09631277813095995,0.04942570996540796
6,91,0.6018744341783461,0.019077288272371273,0.60172237258367,1.6614761206216682,0.09605545969182333,0.049293659506597344
7,91,0.6319887907392753,0.01954070768497346,0.5727918928172577,1.5823065450737503,0.095545868273141,0.04903214781365868
8,91,0.6005400749840181,0.019768640717779413,0.5973514653634906,1.6651678075382608,0.09573255027800483,0.049127949126913435
9,91,0.6246082327007263,0.02059719137491128,0.574204154381478,1.601003553341152,0.09574768665677756,0.04913571680096112
10,91,0.6284037736081206,0.021647924995327056,0.5734265443143975,1.5913335374456405,0.0956518229245502,0.04908652153199246
11,91,0.6253589483983889,0.021621700914228784,0.5780271813343978,1.5990816195420356,0.0958334594698231,0.04917973362056466
12,91,0.6225796594344949,0.022106998995925903,0.5827324442132004,1.6062201596954286,0.09691823328186965,0.049736416927315286
13,91,0.6172495318797813,0.022832761380155168,0.5813430569708814,1.6200903335715533,0.09728655183200638,0.04992543032914224
14,91,0.6151695471335988,0.02339323424174238,0.585776718759905,1.6255681131478799,0.09799291617473435,0.05028792178470079
15,91,0.6314880060906186,0.023849913663290118,0.5724954280190082,1.5835613508968212,0.09778605233150688,0.05018176357271579
16,91,0.635880350434641,0.024848062921241386,0.5644781246889281,1.5726228988149638,0.09708977890796072,0.04982445056652236
17,91,0.6335899790389596,0.02531297919581454,0.571288023209543,1.5783077906579546,0.09719573355936992,0.04987882428485614
18,91,0.6399188747375598,0.02560362739537288,0.5639347846576481,1.5626980848316356,0.09761955216500671,0.05009631915819127
19,91,0.6491466930766696,0.025968118520278256,0.5556305493982633,1.5404838546745732,0.09753377935196117,0.050052302338587734
20,91,0.6466445121125478,0.026805285362288028,0.560579690819633,1.546444733185876,0.09738746102382466,0.049977214822793464
21,91,0.6505163666849674,0.0273128085989528,0.5559859473547403,1.5372403389264468,0.09753882481155209,0.050054891563270296
22,91,0.6567050900634128,0.027669916113940523,0.5518751912369869,1.5227535390405424,0.09752873389237025,0.05004971311390517
23,91,0.6449546153546558,0.027829004199564147,0.5602443393100904,1.5504966957250277,0.09769523405887043,0.05013515752842969
24,91,0.6572320735399285,0.028273506445839782,0.5487466626877722,1.5215325609626498,0.09720582447855175,0.049884002734221264
25,91,0.6522770617732578,0.029045680931957238,0.5487572055188067,1.5330908575589561,0.09731177912996095,0.04993837645255505
26,91,0.6660774926807158,0.030273943924863603,0.5386501641315511,1.5013268140548774,0.09665082392355119,0.049599188019139547
27,91,0.6587440159985335,0.031010775047119677,0.5416322156138381,1.5180403551509853,0.0969384151202333,0.04974677382604553
8,1,0.7286462291602149,0.09539108499560879,0.6467966573816156,1.3724081179319734,0.11248852157943066,0.0006343600472274582
8,2,0.7127811535135905,0.07285570615673723,0.5950605869088582,1.4029551638263582,0.10927456382001836,0.0012324709488990616
8,3,0.7065972194150698,0.06439580733326955,0.5763968148816223,1.4152334208558204,0.10682583409856138,0.0018072788284276156
8,4,0.696807902214234,0.057028636660414356,0.5731627267265478,1.4351157568998827,0.10732323232323232,0.0024209250781945853
8,5,0.6753814108205543,0.055776596336313156,0.5822728190222437,1.4806448385735853,0.10560146923783287,0.002977608384945212
8,6,0.6559898623925616,0.05266672915837763,0.5918678819931192,1.5244138016900841,0.10567799204162841,0.0035757192866168156
8,7,0.6413082692109285,0.04975282125949397,0.5983682091042462,1.5593124991673801,0.10448642266824085,0.004124634919319759
8,8,0.63853285455492,0.04686859788007075,0.601827424990198,1.5660901281219668,0.10410927456382002,0.004696853574165752
8,9,0.6235546855889975,0.04580360279145249,0.6092181440821455,1.6037085809970613,0.10407101316192226,0.00528201835242455
8,10,0.6220726395631303,0.04560649615600893,0.6047493160676191,1.6075293083172422,0.10275482093663912,0.005794684839571638
8,11,0.6285630469360471,0.042501598373677354,0.6003204474941686,1.5909303050418497,0.10267968945654896,0.006369492719100193
8,12,0.6313448410032377,0.04137207231763454,0.5914212387718694,1.583920442607801,0.10215794306703398,0.006913229902438014
8,13,0.6392524117279386,0.03946754226218172,0.5859317018631146,1.564327301162523,0.10206964752419298,0.007482859332601446
8,14,0.6357341580094243,0.03742716073079738,0.5911496472637816,1.5729845366987119,0.10179719270628361,0.008036953414669512
8,15,0.6249468208023089,0.036708636922460125,0.5946822943191152,1.600136150330674,0.1019589837771656,0.00862470741761087
8,16,0.6302962874949279,0.03479116970081565,0.5870347587727026,1.5865554340712298,0.102071854912764,0.009209872195869669
8,17,0.6366755399106993,0.03383734804407384,0.5833132532055916,1.5706587379503552,0.10146923783287419,0.00972771713238188
8,18,0.632204950386498,0.03346430674423743,0.5883796563614585,1.5817655325043734,0.10078053259871442,0.010230026720798724
