
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
42318.9,51437.1,36.7826,um,Surface,Position,1,ATM,4,
42243.8,51374.7,20.4075,um,Surface,Position,1,ATM,5,
42339.3,51468,23.007,um,Surface,Position,1,TVCgroup,0,
