
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
42318.7,51436.7,36.8084,um,Surface,1,Center of Image Mass,Image 1,1,ATM,4,
42243.8,51374.7,20.3072,um,Surface,1,Center of Image Mass,Image 1,1,ATM,5,
42339.1,51468,22.761,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
