"","Condition","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"5HTR","Condition","5HTR",-Inf,-1.06786050158066,0.59510451114177,-Inf,-Inf,0.890560394667941,2.5362108220882,-0.482898000859503,1.20024489380056,-Inf,-Inf,-Inf,-Inf,-Inf,2.95767459052648
"ADF/Cofilin","Condition","ADF/Cofilin",-2.82859606963177,0.837286426472949,-1.09163047546557,1.70906071631103,1.1875235957315,0.253866090560199,-Inf,0.230297619421794,-0.486490092806782,-1.85244281158614,-0.194723968429672,-1.72906039608086,-1.59413081599475,-Inf,-Inf
"Arhgef8","Condition","Arhgef8",1.16929787904996,-Inf,-0.314381285834014,-Inf,-Inf,-0.0248746686390292,-Inf,1.84248756278285,-Inf,0.536241090127759,-Inf,-Inf,2.88201592696949,-Inf,-Inf
"BMP","Condition","BMP",-0.287412213186858,-Inf,1.32376780827061,-Inf,-Inf,1.18583990003728,2.82969608981201,-Inf,-Inf,0.103377739845309,-Inf,-0.797086586603777,-Inf,-Inf,-Inf
"Col9a1","Condition","Col9a1",-Inf,1.62685628142796,0.0678889892397498,1.08106437798748,0.205392512989685,0.357395606434735,-Inf,-Inf,-Inf,-Inf,1.96660565340257,-Inf,-Inf,-Inf,-Inf
"Daam","Condition","Daam",-1.41843607574071,1.08406426478847,-Inf,1.43198756820878,0.213347281733441,0.372045027752499,-Inf,-0.752437002928646,0.973881347038052,-1.45435564999565,-0.406261361794607,0.306456686124922,-1.19604365440426,-0.430508908041284,-Inf
"Ddr","Condition","Ddr",-0.0576418928441089,0.0163586885996677,-Inf,0.0678889892397498,-Inf,-Inf,-Inf,-Inf,2.28446408398088,-Inf,1.96660565340257,-Inf,-Inf,1.94235810715589,2.94235810715589
"Depdc","Condition","Depdc",3.08791424198646,-Inf,-1.10306522671853,-Inf,-3.34092905681742,-1.14001636289142,-2.03692286992732,-1.92589155753857,-1.86699786848501,-1.60396346265121,-1.57971591640453,-0.866997868485006,2.13300213151499,0.548039630793838,3.30292713295731
"Dync2h","Condition","Dync2h",-1.66784904539652,0.016649128875549,-0.529142774564929,0.49757456381085,-0.390315069867613,-1.25281154611768,-0.100808452672628,1.67425693142847,0.674256931428471,0.332150954603478,0.356398500850156,-0.568313371845607,-0.433383791759499,-Inf,-Inf
"EPB4.1","Condition","EPB4.1",-1.66784904539652,0.444625683861891,-Inf,-0.529142774564929,0.976007144378203,0.364572432295856,1.79846895882602,0.0102228597161162,0.0691165487696847,-0.691695787350889,0.356398500850156,-Inf,-0.433383791759499,-Inf,-Inf
"Eph","Condition","Eph",-2.43050890804128,-0.318034178782871,0.789881160384016,-1.29180263720969,1.58561075732199,-0.398087430348906,-0.260583906598971,-0.148109177340559,-1.71344287131278,0.618400692439663,1.52884910746137,-Inf,-Inf,0.618400692439663,-Inf
"Ets","Condition","Ets",-2.28412843746842,0.36968122633573,-3.17067038768513,1.67481966325924,-3.0331668639352,-1.86504410512687,-Inf,0.693151486031498,2.72616654325946,-0.686991222801159,-0.662329168566891,-0.117231128723674,-Inf,-0.247291669288047,-0.296201269768993
"Farp","Condition","Farp",-1.56576893548785,-0.479057302294515,1.65462113293745,-1.44023805340399,1.07808725428688,-1.150731436209,-1.01643034449741,0.71663079521288,-0.848702898759344,0.434231064512155,-0.565768935487845,-0.466233261936931,-0.331303681850822,-Inf,-Inf
"FGF4","Condition","FGF4",-Inf,-0.920946190829938,-0.869415890189856,-Inf,0.882196479940752,0.436210392368406,2.68312513283892,-Inf,-Inf,1.61426327469412,0.00505322772628541,-Inf,-Inf,-Inf,-Inf
"Fgfr","Condition","Fgfr",-0.0586389984286879,-Inf,-0.529142774564929,0.0691165487696847,0.209294206817945,-Inf,2.01022285971612,0.0102228597161162,-Inf,-0.691695787350889,0.356398500850156,1.06911654876968,-Inf,0.332150954603478,2.43168662815439
"Foxf","Condition","Foxf",1.80138357888842,-1.59429755499886,-2.55547830610833,-2.55547830610833,-1.40347521266328,-2.26597168891335,-Inf,-1.00293728307955,0.0965983904713612,-0.681009188192191,-Inf,-0.555478306108332,3.3083435676083,1.47099390525286,0.318990811807809
"FZD","Condition","FZD",-1.93854379687861,-1.86454321543483,1.28184627154669,-Inf,1.22111286910988,0.864010138915173,1.00487267475502,0.778522239849892,-Inf,0.0614562031213902,0.695328304323493,-Inf,-Inf,-Inf,-Inf
"Gata","Condition","Gata",-0.329333749910776,1.86680877226785,-1.81301291479475,1.28184627154669,-0.0614005446641433,-1.52350629759977,-1.38920520588817,-0.260471891765972,-1.22147776015011,0.670666250089224,-0.93854379687861,-Inf,-Inf,-Inf,-Inf
"Gna-L/S","Condition","Gna-L/S",-Inf,1.6610495067439,-Inf,0.647374569846825,0.0236195861286092,-0.422366501443736,-Inf,0.863542370642644,-0.116558071919651,-Inf,1.85696971671916,-Inf,-Inf,1.19538593439509,-Inf
"Gna12/13","Condition","Gna12/13",-0.444240942556788,-Inf,0.709109834350009,-1.3307828927735,-0.178779799328454,0.576107702835015,0.71361122658495,0.826085955843362,-Inf,2.22818439941471,-0.456313774857363,-0.356778101306448,-Inf,-Inf,-Inf
"Hand","Condition","Hand",-0.66282917212717,0.175419757876218,-0.106615609887632,0.741766580430027,1.74408044626827,-0.239617741402626,-0.70499862637111,0.010360511605722,-1.5549731823665,-0.272039219095003,-1.272039219095,-0.146508337011144,-Inf,-Inf,-Inf
"Handr","Condition","Handr",0.956317561182603,-2.55464435809478,-0.127746703605871,-2.50311405745469,-Inf,-Inf,-Inf,0.430248749515015,-Inf,1.05585323473352,-Inf,3.6083942577623,1.04558489927969,-0.628644939538553,-Inf
"MRF","Condition","MRF",-Inf,-2.60700860674841,1.85664759775061,-0.515585578984819,-2.4179747823584,2.39806238279901,-0.511084186749879,-Inf,-Inf,-0.681009188192191,0.392991393251586,1.13841856616599,-Inf,-Inf,-Inf
"NDE","Condition","NDE",-Inf,1.35349817388823,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.00375213486111,-Inf,2.29103408694158,1.36632221424582,-Inf,2.2667865406949,-Inf
"Paxillin","Condition","Paxillin",-1.7635073816187,1.19585063388396,-Inf,1.25029841790633,0.113635870595768,-1.34846988233985,-Inf,0.518892349082027,-0.0265417874524918,0.236492618381302,0.870364719583405,-Inf,-0.529042127981675,1.28540221886225,-Inf
"Rab5","Condition","Rab5",-Inf,1.19679101519189,-0.790152831982666,0.223022556765068,-0.652649308232731,1.11673776362585,-Inf,-Inf,0.821281880099681,-Inf,0.0843162859334753,1.82128188009968,-Inf,1.08431628593348,-Inf
"Rabep","Condition","Rabep",-Inf,0.340787122138678,1.40549281152649,2.00375213486111,0.529820946528695,-Inf,-Inf,-Inf,-Inf,-Inf,1.2667865406949,-Inf,-Inf,-Inf,-Inf
"Rho","Condition","Rho",-0.0586389984286879,0.444625683861891,1.10975853326703,-Inf,0.209294206817945,-1.25281154611768,-Inf,0.614550685304204,-Inf,-0.691695787350889,-0.667849045396522,-0.568313371845607,-Inf,3.46143397154844,-Inf
"RNF149","Condition","RNF149",-1.39846194307666,1.32520682847609,-0.259755672245069,0.338503651089545,-1.13542753724287,-0.983424443797817,-Inf,0.883937787624064,0.943644033748331,1.65044765740429,-Inf,-Inf,-Inf,0.601538056923339,-Inf
"Rock","Condition","Rock",-Inf,1.02906974034922,-Inf,-Inf,0.205392512989685,0.357395606434735,-Inf,0.601321189320824,2.71996568581944,0.918511365201523,-Inf,-Inf,-Inf,-Inf,-Inf
"TLE","Condition","TLE",-Inf,0.343470713600637,0.993724674573512,-Inf,0.534293055936215,-Inf,2.20017555204094,1.53915881110803,-Inf,0.232912338452939,-Inf,-Inf,-Inf,-Inf,-Inf
"Tol","Condition","Tol",-Inf,-2.05858505817403,1.27180461546153,-2.00705475753395,0.789411848380917,1.75638304799345,0.810830832015823,-Inf,-Inf,-0.13258563961781,0.941414941825967,-0.00705475753395062,-Inf,-Inf,0.867414360382191
"Tyrosinase","Condition","Tyrosinase",-Inf,-1.13623855651336,-0.0715328671255418,-Inf,0.666904114257332,-Inf,0.35680145476676,0.467832767155504,0.526726456209072,1.83867046252381,0.814008408289543,-Inf,1.66690411425733,0.789760862042866,-Inf
"Vangl","Condition","Vangl",0.363198567759226,0.437837368651981,0.489832006290243,-Inf,-Inf,-0.233836765262505,1.52105073690096,0.0100888176235838,0.068191772187152,0.327278993504283,1.37537328170533,-Inf,-Inf,-Inf,-Inf
