"","parameter","condition","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.division1","TVC.division","enhanced",2.38856528791765,-Inf,-Inf,-Inf,-Inf,-Inf,3.5405683813627,-Inf,-Inf,-Inf,2.12553088208386,-Inf,1.95560588064155,-Inf,1.85251238767744,0.852512387677443,-Inf,-Inf,-Inf,2.06663719303029,-Inf,0.903138460747411,0.852512387677443,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.8036027871965,-Inf,-Inf,-Inf
"TVC.division2","TVC.division","inhibited",-0.990506714073318,1.94613122492925,-1.40554421335216,-3.0836161184648,3.50134638225636,2.33142138081404,0.9163838815352,-4.01907586627009,1.11991727562033,0.138776302871648,-0.62550989729407,4.38453271727361,-0.296609841798998,-1.1540054463562,-0.890971040522404,-1.63820497014244,-1.71920469225592,1.70993300406777,2.27895396091991,-1.40554421335216,0.267291043394329,-3.04709024243969,-0.856205622361727,1.06838697498025,2.16792264853116,1.70993300406777,0.331421380814044,-0.0556017422952033,3.20589049873019,2.33142138081404,-1.78405583660589,-1.30084683468547,-1.0836161184648,-1.12801023782325
"TVC.division3","TVC.division","WT",0.723769427036002,-1.89094041707921,1.46073502120221,3.13880692631485,-3.44615557440631,-2.276230572964,-1.49862299430045,4.07426667412014,-1.06472646777029,-0.0835854950216021,0.430038223979292,-4.32934190942356,0.138806926314846,1.20919625420624,0.723769427036002,1.54689166495192,1.77439550010597,-1.65474219621773,-2.22376315306986,1.16434201842198,-0.212100235544282,2.81123226828634,0.797770008479779,-1.0131961671302,-2.11273184068112,-1.65474219621773,-0.276230572963998,0.110792550145249,-3.15069969088014,-2.276230572964,1.30873192775716,1.35603764253551,1.13880692631485,1.1832010456733
"TVC.migration1","TVC.migration","inhibited",0.454261208192279,-0.327098505332381,0.962408111862604,-Inf,-1.0375918881374,-0.742136004611225,0.909940691968468,-2.21816413377922,1.54737061258376,-1.67502180875269,-0.259984309473844,1.93529626624536,0.54737061258376,-Inf,-2.72564788182266,-0.760751682778572,-0.189594981582446,0.0817070402349486,-0.403719786935293,-0.327098505332381,-0.0771202523240332,3.24781033072485,-1.64902660021974,-0.675021808752688,-1.1406853811015,-1.95512972794542,-0.675021808752688,0.132333113304917,0.769763033920208,-1.0375918881374,0.0168558958849807,-2.15306910555733,-0.037591888137396,-0.568106604836176
"TVC.migration2","TVC.migration","WT",-0.454261208192279,0.327098505332381,-0.962408111862604,Inf,1.0375918881374,0.742136004611225,-0.909940691968468,2.21816413377922,-1.54737061258376,1.67502180875269,0.259984309473844,-1.93529626624536,-0.54737061258376,Inf,2.72564788182266,0.760751682778572,0.189594981582446,-0.0817070402349484,0.403719786935293,0.327098505332381,0.0771202523240334,-3.24781033072485,1.64902660021974,0.675021808752688,1.1406853811015,1.95512972794542,0.675021808752688,-0.132333113304916,-0.769763033920208,1.0375918881374,-0.0168558958849806,2.15306910555733,0.0375918881373958,0.568106604836176
"ATM.division1","ATM.division","enhanced",1.70104354572797,-0.436459978021964,-2.02142247874312,2.8854681168654,-0.436459978021964,-1.31092909593811,-Inf,-1.71444472532173,-1.13689969616306,0.97857752125688,1.33221447587158,-3.86272473272406,0.715543115423086,1.41153692853299,0.563540021978036,-2.21781969154662,1.07811319480779,-1.89589159665926,-0.972512878262174,1.11608104500681,0.104108403340739,-1.81497160127569,2.31356176896969,-0.0214224787431204,-1.24381490007957,-0.243814900079568,0.82657442781183,0.341147600641588,-3.02142247874312,-0.436459978021964,1.20096994259333,1.35203591678432,0.148502522699192,1.37089494403564
"ATM.division2","ATM.division","WT",-1.70104354572797,0.436459978021964,2.02142247874312,-2.8854681168654,0.436459978021964,1.31092909593811,Inf,1.71444472532173,1.13689969616306,-0.97857752125688,-1.33221447587158,3.86272473272406,-0.715543115423086,-1.41153692853299,-0.563540021978036,2.21781969154662,-1.07811319480779,1.89589159665926,0.972512878262174,-1.11608104500681,-0.104108403340738,1.81497160127569,-2.31356176896969,0.0214224787431203,1.24381490007957,0.243814900079569,-0.826574427811829,-0.341147600641588,3.02142247874312,0.436459978021964,-1.20096994259333,-1.35203591678432,-0.148502522699192,-1.37089494403564
"ATM.migration1","ATM.migration","enhanced",1.01452947891642,0.654633533830034,-Inf,2.40754067186526,0.292063454445326,-0.631987692321375,-1.12297404483352,-2.75233066491313,-0.122974044833518,1.66552184997277,1.58329475210977,-3.51529146761228,-0.44490213972088,3.29206345444533,0.292063454445326,-3.34536646616997,1.36245278233672,-1.44490213972088,0.00255683725034097,1.09941837650293,0.812895617746767,-2.85089449939672,2.56152412943855,-0.707936545554674,-0.476610999448218,0.877025955166482,0.140060361000276,-0.582405663470815,-1.99744316274966,-1.12297404483352,1.23959603455119,2.3244849321377,0.069671033108878,0.292063454445326
"ATM.migration2","ATM.migration","WT",-1.01452947891642,-0.654633533830034,Inf,-2.40754067186526,-0.292063454445326,0.631987692321375,1.12297404483352,2.75233066491313,0.122974044833518,-1.66552184997277,-1.58329475210977,3.51529146761228,0.44490213972088,-3.29206345444533,-0.292063454445326,3.34536646616997,-1.36245278233672,1.44490213972088,-0.00255683725034116,-1.09941837650293,-0.812895617746767,2.85089449939672,-2.56152412943855,0.707936545554674,0.476610999448218,-0.877025955166482,-0.140060361000276,0.582405663470815,1.99744316274966,1.12297404483352,-1.23959603455119,-2.3244849321377,-0.0696710331088781,-0.292063454445326
"other1","other","TVC alignment",-0.968400805054812,-3.36071822783357,2.78648669710866,-0.968400805054812,-Inf,-0.775755727112417,-1.55336330577597,4.60145480327613,-3.24141929946123,-3.24141929946123,-1.55336330577597,-2.15602780823058,-1.44233199338722,-0.7984758036125,0.394169274329896,3.30105986993841,-2.470901145584,-0.705366399221019,-Inf,-0.842869922970954,-0.592891669962606,2.97411370028443,-4.24141929946123,-1.19079322639126,-1.19079322639126,-1.38343830433366,-1.19079322639126,0.394169274329896,-2.96840080505481,-1.55336330577597,-2.29032889994217,-3.70536639922102,-0.148973050696633,-1.08387802247475
