"","parameter","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"TVC.division1","TVC.division","enhanced",-Inf,-Inf,0.942309058028089,-Inf,-Inf,0.21864028647534,0.352941378186931,0.462565869361429,-Inf,0.779756045242129,0.803602787196496,0.903138460747411,-Inf,1.8036027871965,3.90313846074741
"TVC.division2","TVC.division","inhibited",-6.57546921479447,7.16431139497879,-2.13570462961325,7.1127810943387,-1.27264994285482,-0.346650524298594,-6.02613062380404,2.04413942873357,5.50134638225636,-0.331543631908385,0.0943821835131946,-2.28328846330116,-3.69832596258001,0.611529300006779,-3.57546921479447
"TVC.division3","TVC.division","WT",6.63066002264452,-7.10912058712874,1.99940386964943,-7.05759028648866,1.32784075070486,0.335204139118349,5.06361942992063,-2.09565832732218,-5.44615557440631,0.289366602890227,-0.13421156809157,2.13880692631485,3.75351677043005,-0.745715856265218,1.83924664445594
"TVC.migration1","TVC.migration","inhibited",-2.1281944369183,-1.81519946680095,0.196463450724632,-0.236900696360803,-Inf,-1.05529388987085,-Inf,5.24085757008309,1.66026466898969,0.842826496109932,-2.75030993605692,1.87857652105913,-0.552165060967154,-Inf,-Inf
"TVC.migration2","TVC.migration","WT",2.1281944369183,1.81519946680095,-0.196463450724632,0.236900696360803,Inf,1.05529388987085,Inf,-5.24085757008309,-1.66026466898969,-0.842826496109932,2.75030993605692,-1.87857652105913,0.552165060967154,Inf,Inf
"ATM.division1","ATM.division","enhanced",-Inf,-4.25663894043715,3.74940656728937,-5.21781969154662,0.648428919564549,1.59524888170537,3.12541890958615,-2.00124459680549,-4.62628453690198,-1.65885239935841,0.633929349869434,0.785932443314484,-Inf,-2.29444097314954,-Inf
"ATM.division2","ATM.division","WT",Inf,4.25663894043715,-3.74940656728937,5.21781969154662,-0.648428919564549,-1.59524888170537,-3.12541890958615,2.00124459680549,4.62628453690198,1.65885239935841,-0.633929349869434,-0.785932443314484,Inf,2.29444097314954,Inf
"ATM.migration1","ATM.migration","enhanced",-6.02986464044204,-2.6809694979544,-0.98095503996109,-2.6254743853627,7.52088214494121,3.89494786316374,5.18080670334358,-5.3709015582771,-4.29289904627583,-0.193363372724916,5.75966900452832,0.207174556858813,-3.76683023460824,-4.02986464044204,-Inf
"ATM.migration2","ATM.migration","WT",6.02986464044204,2.6809694979544,0.98095503996109,2.6254743853627,-7.52088214494121,-3.89494786316374,-5.18080670334359,5.3709015582771,4.29289904627583,0.193363372724916,-5.75966900452832,-0.207174556858813,3.76683023460824,4.02986464044204,Inf
"other1","other","TVC alignment",7.51137945897429,-Inf,-1.29770843030777,-Inf,-2.36833141194345,-3.2579074222498,-1.82401089571964,-2.23143521088861,-2.94822292311718,0.438224454407831,-2.65645679874007,2.07599331430364,5.6463090390604,0.953596682943914,4.42391661772395
"other2","other","TVC disposition",-Inf,-Inf,2.08730711832495,1.07413172957721,1.21163525332715,1.3636383467722,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"other3","other","WT",-7.47812674517659,Inf,1.094762923244,5.19805073165602,2.16392494775139,2.85963451398009,1.85726360951734,2.26468792468631,2.98147563691488,-0.40497174061013,2.68970951253777,-2.04274060050594,-5.61305632526269,-0.920343969146213,-4.39066390392625
