"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"TVC.dist.max_Cell",1.00608950167652e-16,1.6783096555431e-18,1.78100488900127e-13,2.72120888918487e-17,0.0311388857161678,2.92891689112866e-18,1.13358962740007e-07,2.55712861649492e-12,6.33951815826364e-12,0.0806631763510363,2.27554345219007e-05,1.51662931607118e-06,2.41087328337883e-05,0.000147380866110325,0.008056640625
"TVC.dist.mean_Cell",2.66840781687652e-19,1.9278652460797e-15,4.31611162627862e-13,0.000103026513242695,1,6.78758736284898e-15,0.023533472252192,2.70791546962184e-12,2.34898586735075e-10,0.796889124267862,0.0149441241342656,5.35889832198787e-05,3.05741033993984e-06,0.000301332212984562,0.00335693359375
"TVC.dist.sd_Cell",0.0448753980774916,1.46323773051363e-18,2.73714640817107e-11,2.75979048622696e-23,0.00298709932242725,6.78758736284898e-15,2.08833991488839e-09,1.15177397195655e-15,7.72294275184945e-15,0.744955664837148,1.99097709880312e-08,7.69061465321934e-08,0.318399494564909,0.0872643866292716,0.355865478515625
"TVC.ATM.dist.min_Cell",0.174820300042855,7.3156878887487e-07,0.000686905184526285,3.04593341354822e-05,2.65122152942486e-16,2.92972078408751e-18,1.33881145024253e-11,1,8.11445913570753e-08,0.00505927269938185,1.31411597780136e-09,7.95324307734168e-06,0.00141778972535745,1.26315280795097e-05,0.00335693359375
"TVC.ATM.dist.max_Cell",NA,NA,NA,NA,NA,6.70637200337208e-18,NA,NA,NA,2.5757867636802e-10,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Cell",4.81637838286105e-11,1.07629087685494e-16,1,5.50877854661055e-13,2.65122152942486e-16,6.70637200337208e-18,2.52402955044191e-13,0.00714367123651988,9.08527838564996e-11,1,1.11638750673999e-09,1,0.335581361828626,2.01165676116943e-07,0.00335693359375
"TVC.ATM.dist.sd_Cell",3.89301030074745e-11,1,0.000760749433331746,0.0292760869726134,4.2827216885201e-15,6.70637200337208e-18,2.17660902529506e-07,0.00135300637191038,0.397903221218053,5.37583907913514e-05,0.0228766195627424,3.57064243043689e-06,2.82192974371107e-07,1,0.0244140625
"TVC.cosine.min_Cell",1.50344492107461e-19,1.46323773051363e-18,0.10446745672523,2.71389289667425e-23,1.69643961606033e-08,1.97108355994406e-14,2.52402955044191e-13,1.18827481986212e-15,1.02860079478386e-14,1,1.69113797996546e-08,1.07182924961376e-08,1.87355285750345e-06,1,0.101043701171875
"TVC.cosine.max_Cell",1.50344492107461e-19,0.190241864949225,0.0098643855341338,3.05806582881677e-23,4.07262395562338e-16,6.78758736284898e-15,2.52402955044191e-13,1.78469802419336e-15,1.57621132885787e-14,0.11031706419542,1.11638750673999e-09,5.81099735217985e-09,5.55074447879033e-07,1,0.00335693359375
"TVC.cosine.sd_Cell",1.50344492107461e-19,2.75334096608325e-17,1,2.80547071296499e-23,9.81794632785817e-10,1.99121338770063e-14,2.52402955044191e-13,1.55417662154317e-15,1.57621132885787e-14,1,1.11638750673999e-09,6.5068868368319e-09,4.09967526772483e-07,1,0.00335693359375
