"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"TVC.dist.max_Cell",1.5493896268643e-29,7.86911941433402e-59,3.32570333038135e-18,5.46257672740406e-37,0.00510051104901257,9.24060598581577e-73,6.23642364645253e-08,9.90109213275241e-44,5.63162471352049e-28,1,2.63526962489653e-05,6.14992232988073e-08,6.24883149908581e-07,1.76033420160709e-05,5.55151381159328e-05
"TVC.dist.mean_Cell",1.81776635322432e-43,7.10570777260558e-28,1.13793674954144e-17,0.000237843327176644,0.282754254010586,6.12161663612583e-52,0.00355830980499979,5.0968053698729e-26,5.73904501907667e-14,1,0.00361453944295511,2.59932355516973e-05,7.57451087814977e-11,5.03767457501097e-05,1.83262457012762e-06
"TVC.dist.sd_Cell",0.304536855912789,7.41373035258017e-59,7.6407478471944e-12,6.23416026355861e-95,0.00185722409770181,5.20706870705986e-56,3.65940509956496e-09,3.22064906640899e-58,2.43972056477213e-47,1,1.46098962836251e-09,6.33086214083018e-08,1,0.0471252103690062,0.222087227106846
"TVC.ATM.dist.min_Cell",0.0639679638424761,3.08701692955287e-08,6.75238283145452e-05,1.76387159030633e-05,5.34637993217639e-44,9.14889549326085e-52,1.78810358581496e-20,1,1.56818259517538e-10,0.00187464785272016,1.16416242016709e-18,5.63414987021001e-08,0.00115608093100341,1.83734544395499e-05,0.000225743379737504
"TVC.ATM.dist.max_Cell",NA,NA,NA,NA,NA,4.61269093874941e-47,NA,NA,NA,0.232088198194699,NA,NA,NA,NA,NA
"TVC.ATM.dist.mean_Cell",7.92791674640871e-13,5.13740029914333e-26,1,5.52842803257646e-19,3.71243899351797e-60,7.17053447641447e-48,3.59459178859422e-39,0.00717210792876922,3.80785396457751e-18,1,4.80230081089084e-28,1,0.454393811375582,8.15863155786511e-09,4.88033108221342e-06
"TVC.ATM.dist.sd_Cell",8.33420219345176e-13,0.482395675828176,0.000114825394189683,0.00208932019005779,6.18260594559424e-26,4.59466353126505e-43,2.34501417296417e-09,0.000436606699217976,0.248683042054368,2.7522072981085e-06,0.0320257969977205,8.68758051812592e-08,5.55035807623827e-11,1,0.0137464521119112
"TVC.cosine.min_Cell",9.83783419745885e-60,1.58249575126676e-79,0.075576074558415,3.10005126299519e-127,2.25639921795381e-10,5.58894593777823e-37,3.57249066485527e-46,1.49091983077223e-57,2.03976604975904e-40,1,2.31873622945952e-22,6.52053630972609e-22,5.45724290012799e-16,0.997241196561691,0.0202737309156655
"TVC.cosine.max_Cell",3.99010125431407e-123,0.279393034742857,1,6.9223526689806e-81,4.53250442616662e-49,5.96736994074863e-80,8.20170027403358e-89,1.72026719336872e-41,1.29235262711482e-35,1,1.18753983390719e-58,3.76413471981139e-49,4.31655154941569e-17,1,8.58579343662243e-11
"TVC.cosine.sd_Cell",2.21732872635172e-45,1.33223853191638e-34,1,3.40577937649569e-90,1.61733012555537e-11,2.29879517319493e-23,2.61670808465658e-30,1.44317571221082e-44,4.31631426498745e-30,1,1.3073804222044e-12,4.41888653096208e-13,7.59538952313715e-14,1,0.000274507684996659
