"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"TVC.Cell.Ellipticity..oblate..max",6,0.179970013338099,0.0299950022230166,3.64809348044164,0.00135998525866402,9.50475166157459,0.00822210351347283,0.0016204079677699
"TVC.Cell.Ellipticity..oblate..mean",6,0.0231983964327145,0.00386639940545242,0.920275210743787,0.479280580175107,4.85676204305297,0.00420135124831572,0.483598423239747
"TVC.Cell.Ellipticity..oblate..SD",6,0.0320476942551723,0.00534128237586205,2.45279130677809,0.0231685725414477,2.51734520153987,0.00217763425738743,0.0256918824221994
"TVC.Cell.Ellipticity..prolate..min",6,0.218475179270961,0.0364125298784935,5.80140858528769,5.74755523544471e-06,7.25563178678462,0.00627649808545382,7.85031934597326e-06
"TVC.Cell.Ellipticity..prolate..max",6,0.840426205020325,0.140071034170054,13.9512376381388,2.26883987840539e-15,11.6062904023606,0.0100400436006579,4.45807134002462e-15
"TVC.Cell.Ellipticity..prolate..mean",6,0.124992522973374,0.0208320871622289,4.10156804006997,0.000442052260345329,5.87138687552427,0.00507905439059193,0.000550109479540854
"TVC.Cell.Ellipticity..prolate..SD",6,0.127258792119175,0.0212097986865291,8.12484335517497,1.27686567077903e-08,3.01772307597919,0.00261048708994739,2.04298507324644e-08
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",6,0.0180065721252985,0.00300109535421641,1.25652405562651,0.274789466186847,2.76100263575485,0.00238841058456302,0.282352479017677
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",6,0.295510839374494,0.0492518065624157,8.46151289363243,5.2240290251702e-09,6.72871259571064,0.00582068563642789,8.60428310028034e-09
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",6,0.0918051151798185,0.0153008525299697,7.223269407062,1.3866556642858e-07,2.44872294356793,0.00211827244253281,2.07073912533347e-07
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",6,0.0191185089312174,0.00318641815520291,3.44253864580207,0.00224752791025862,1.06999507235927,0.000925601273667187,0.00262211589530172
"TVC.Cell.Sphericity.min",6,0.0388720422263356,0.00647867370438926,1.06220568870447,0.383387927437821,7.05075004014377,0.0060992647406088,0.390358617027599
"TVC.Cell.Sphericity.max",6,0.0476344481508418,0.00793907469180696,2.82038388177987,0.00993403699539974,3.25401460525194,0.00281489152703455,0.0114702282833482
"TVC.Cell.Sphericity.mean",6,0.0367437179534191,0.00612395299223652,1.81123027731881,0.0936018030946145,3.90855306896977,0.0033811012707351,0.0992537983153909
"TVC.Cell.Sphericity.SD",6,0.00730408964564498,0.00121734827427416,1.34273757684704,0.235016614230059,1.04804887367894,0.000906616672732649,0.243720933275617
"TVC.Cell.Volume.frac.min",6,0.312178328638552,0.0520297214397587,25.3943458618625,1.94483166154272e-28,2.36849408571258,0.00204887031636036,7.26070486975948e-28
"TVC.Cell.Volume.frac.max",6,1.23199252670193,0.205332087783656,66.5025073886742,4.12063460673184e-71,3.56924727801061,0.00308758415052821,7.69185126589943e-70
"TVC.Cell.Volume.frac.mean",6,0.594849708374234,0.0991416180623723,55.2730477053597,4.10016850310207e-60,2.07348274137214,0.00179367019149839,6.56026960496331e-59
"TVC.Cell.Volume.frac.SD",6,0.105129736625747,0.0175216227709578,34.391335716844,2.31863375654355e-38,0.588956360694848,0.000509477820670284,1.18039536696762e-37
"TVC.Nucleus.Ellipticity..oblate..min",6,0.111327649933624,0.0185546083222706,4.25419814881328,0.000301576029669964,5.04187310281448,0.00436148192284989,0.000379511408124
"TVC.Nucleus.Ellipticity..oblate..max",6,0.284708220323163,0.0474513700538606,6.27564994994871,1.6703691443007e-06,8.74073350485573,0.00756118815298938,2.33851680202098e-06
"TVC.Nucleus.Ellipticity..oblate..mean",6,0.0374992807709483,0.00624988012849139,1.80950613252176,0.093936630548495,3.9927255833432,0.00345391486448373,0.0992537983153909
"TVC.Nucleus.Ellipticity..oblate..SD",6,0.0498481800043282,0.00830803000072136,3.94182509000704,0.0006582133714404,2.43645581971187,0.00210766074369539,0.000810108764849723
"TVC.Nucleus.Ellipticity..prolate..min",6,0.32274377195451,0.0537906286590851,7.54574793195878,5.91778353050167e-08,8.24066312453148,0.00712860131879886,9.20544104744705e-08
"TVC.Nucleus.Ellipticity..prolate..max",6,0.243840924256496,0.0406401540427494,3.8816519580434,0.000764244098028194,12.1030990364987,0.0104698088551027,0.000930384119338671
"TVC.Nucleus.Ellipticity..prolate..mean",6,0.193160381827737,0.0321933969712895,5.26966185555552,2.27384742266858e-05,7.06223054133469,0.00610919597001271,2.96128966673118e-05
"TVC.Nucleus.Ellipticity..prolate..SD",6,0.049880115547013,0.00831335259116884,3.74379270063376,0.00107465028298077,2.56697855994119,0.00222056968853044,0.00129420249133168
"TVC.Nucleus.Sphericity.min",6,0.00828834072011408,0.00138139012001901,2.21544677360014,0.0393840039414564,0.720796815238764,0.000623526656780938,0.0432451807984619
"TVC.Nucleus.Sphericity.max",6,0.00682106386562487,0.00113684397760414,4.74845590181315,8.63826770240765e-05,0.276761891714858,0.000239413401137421,0.000109941588939734
"TVC.Nucleus.Sphericity.mean",6,0.00436947955698946,0.000728246592831577,2.62682251689999,0.0155695330755257,0.320483418996577,0.00027723479151953,0.0174378770445888
"TVC.Nucleus.Sphericity.SD",6,0.000924608339888396,0.000154101389981399,1.42332674826135,0.202216599888489,0.12515833559378,0.000108268456396004,0.211665973715054
"TVC.Nucleus.Volume.frac.min",6,0.240323429833226,0.0400539049722043,18.1827944876007,2.98158822976814e-20,2.54649053969361,0.00220284648762423,8.78783899300083e-20
"TVC.Nucleus.Volume.frac.max",6,1.18713865743587,0.197856442905978,47.5593945536698,2.78074776219775e-52,4.80918754634698,0.0041601968394005,2.59536457805123e-51
"TVC.Nucleus.Volume.frac.mean",6,0.475402951038012,0.0792338251730021,37.9841419592639,3.13477245997789e-42,2.41138267643957,0.00208597117339063,1.95052508620847e-41
"TVC.Nucleus.Volume.frac.SD",6,0.13278023472242,0.0221300391204033,22.8256191268672,1.5218973151883e-25,1.12077245664167,0.000969526346575843,5.16522725154818e-25
"ATMgroup.Ellipticity..oblate.",6,0.125733467167009,0.0209555778611682,2.79413244921257,0.0105626396307704,8.66982809434723,0.00749985129268791,0.0120715881494519
"ATMgroup.Ellipticity..prolate.",6,2.23035239995832,0.371725399993053,8.94935023876021,1.42762208497444e-09,48.0162862026394,0.0415365797600687,2.42263141692633e-09
"ATMgroup.Sphericity",6,1.72513777756174,0.287522962926957,9.19970609339586,7.33012265586693e-10,36.1290395333567,0.0312534944060179,1.26303651916476e-09
"TVCgroup.Ellipticity..oblate.",6,1.94762272947862,0.324603788246437,16.1477278342357,6.5515956943477e-18,23.2380668701457,0.0201021339707143,1.49750758727947e-17
"TVCgroup.Ellipticity..prolate.",6,0.960466646709658,0.16007777445161,8.03467768425611,1.62176274944461e-08,23.031403939036,0.0199233598088547,2.5582736329267e-08
"TVCgroup.Sphericity",6,0.365232625478512,0.0608721042464187,5.69688623082266,7.53862164751422e-06,12.3520375267699,0.0106851535698701,1.01725978858023e-05
"TVC.Volume",6,13.0680342004766,2.17800570007943,54.0224408670995,7.35860562699761e-59,46.6060871904287,0.0403166844207861,9.1573758913748e-58
"ATM.Volume",6,13.0680342004766,2.17800570007943,54.0224408670995,7.35860562699761e-59,46.6060871904287,0.0403166844207861,9.1573758913748e-58
