"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.Cell.Ellipticity..prolate..SD",14,130.556228036361,9.32544485974007,12.3443815770621,3.05797563582364e-27,867.245607416606,0.755440424578925,4.35761528104868e-27
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",14,313.054448682216,22.3610320487297,23.101218822642,8.06709400310304e-53,1111.2169011092,0.967958973091636,1.64222985063169e-52
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",14,318.409070101973,22.7435050072838,25.7020132011499,1.06102246509247e-58,1015.85597766301,0.884891966605411,2.46850124531717e-58
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",14,263.175707631994,18.7982648308567,20.3752622728653,1.58897329389578e-46,1059.1474964503,0.922602348824301,3.01904925840199e-46
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",14,182.708093997468,13.0505781426763,16.4047099552325,4.02498859582759e-37,913.278183441067,0.795538487318003,6.74777499888743e-37
"ATM.Cell.Sphericity.min",14,242.788829939722,17.3420592814087,23.5606254939406,7.2288601987795e-54,844.998111793652,0.736061072990986,1.4983455684743e-53
"ATM.Cell.Sphericity.max",14,355.4726323687,25.39090231205,36.1808783847534,3.34935940769228e-81,805.639806315941,0.701776834769984,9.31285298724196e-81
"ATM.Cell.Sphericity.mean",14,288.367607029878,20.5976862164198,29.1093737179358,3.18274340077809e-66,812.320594925076,0.707596337042749,7.88766842801526e-66
"ATM.Cell.Sphericity.SD",14,60.375519616238,4.31253711544557,6.08060845685465,9.51149806363708e-12,814.193619546495,0.709227891591024,1.06304978358297e-11
"ATM.Cell.Volume.frac.min",14,1018.20023583629,72.7285882740205,129.06237150034,5.63029165429631e-224,646.915273351814,0.563515046473706,4.01158280368612e-223
"ATM.Cell.Volume.frac.max",14,411.224034586045,29.3731453275746,29.5147621336773,4.18116253244242e-67,1142.49170240066,0.995201831359464,1.05922784155208e-66
"ATM.Cell.Volume.frac.mean",14,869.638052232533,62.1170037308952,90.440491579831,5.40321505175765e-174,788.477804989845,0.686827356262932,2.3691019842322e-173
"ATM.Cell.Volume.frac.SD",14,145.678481754516,10.4056058396083,13.1527409578718,3.16031472517784e-29,908.224038026155,0.79113592162557,4.67890751519836e-29
"ATM.Nucleus.Ellipticity..oblate..min",14,258.54467559094,18.4674768279243,24.4420129465095,7.23996510106097e-56,867.386145521401,0.755562844530837,1.55727551230368e-55
"ATM.Nucleus.Ellipticity..oblate..max",14,136.15425663395,9.72530404528212,11.7432186171435,9.27130775311303e-26,950.731601614313,0.828163416040342,1.27340853476492e-25
"ATM.Nucleus.Ellipticity..oblate..mean",14,133.981713595117,9.5701223996512,11.5985175888719,2.11039469703661e-25,947.233164119225,0.825115996619533,2.8641070888354e-25
"ATM.Nucleus.Ellipticity..oblate..SD",14,40.7279675953474,2.90914054252482,4.32658410746959,1.5339940514665e-07,771.900709627418,0.672387377724232,1.61921594321464e-07
"ATM.Nucleus.Ellipticity..prolate..min",14,137.902299119912,9.85016422285089,11.0734102226096,4.19153574963422e-24,1021.18392622575,0.889533036782009,5.49235718917588e-24
"ATM.Nucleus.Ellipticity..prolate..max",14,279.381328691264,19.9558091922331,24.8407740699784,9.11520601792698e-57,922.244568069675,0.803348926889961,2.03751663930133e-56
"ATM.Nucleus.Ellipticity..prolate..mean",14,140.020673643726,10.0014766888376,11.3528395011375,8.53764466336588e-25,1011.35008890376,0.880966976397004,1.13173429258571e-24
"ATM.Nucleus.Ellipticity..prolate..SD",14,60.8879301010384,4.34913786435989,6.11524921166295,7.82757029189732e-12,816.452460966416,0.71119552348991,8.83507933936926e-12
