"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.Nucleus.Volume.frac.SD",33,0.0773742691764525,0.00234467482352886,1.295056798929,0.123961760052396,2.04403226017055,0.00181048030130252,0.12507853266548
"TVC.Cell.Ellipticity..oblate..min",33,0.477467325892265,0.0144687068452202,2.54499253638529,4.55755434577459e-06,6.41855321566276,0.00568516671006445,6.30180353983647e-06
"TVC.Cell.Ellipticity..oblate..max",33,0.564568371993214,0.0171081324846428,2.11784615166269,0.000259454369083613,9.12015330291947,0.00807808087061069,0.000309137120610263
"TVC.Cell.Ellipticity..oblate..mean",33,0.203682961576374,0.00617221095685981,1.49016524430244,0.0376688287775489,4.67627747790931,0.00414196410797991,0.0387055855328942
"TVC.Cell.Ellipticity..oblate..SD",33,0.106014108454141,0.00321254874103459,1.48440657151454,0.0391336088723441,2.4433787873409,0.00216419733156856,0.0398451290336594
"TVC.Cell.Ellipticity..prolate..min",33,0.605424829386163,0.0183462069510958,3.0155519262143,3.64799377767511e-08,6.86868213666942,0.00608386371715626,5.83679004428018e-08
"TVC.Cell.Ellipticity..prolate..max",33,0.661105115168826,0.0200334883384493,1.91910350591949,0.00145848934875609,11.7856114922121,0.0104389827211799,0.0016500081521281
"TVC.Cell.Ellipticity..prolate..mean",33,0.319219309377912,0.00967331240539126,1.92370296666764,0.00140324589203853,5.67716008911973,0.0050284854642336,0.00160370959090118
"TVC.Cell.Ellipticity..prolate..SD",33,0.138552038230533,0.00419854661304645,1.57667379395907,0.0208218828134062,3.00642982986783,0.00266291393256672,0.0215930636583472
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",33,0.507039788228293,0.015364842067524,7.63518493875361,1.78076509421296e-31,2.27196941965185,0.00201237326807073,1.17320994442266e-30
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",33,2.4564941480847,0.0744392166086273,18.3990491271713,3.01609118910407e-83,4.56772928700044,0.00404581867759118,1.68901106589828e-81
