d,k,MSE,ES,NES,precision,recall
1,60,0.11254795121825706,0.5076695425881821,1.4600612418588743,0.08671162685249245,0.0004889955964660413
2,60,0.09432051080463398,0.5048220945305377,1.447562019192139,0.0874390925258331,0.0004930980164500292
3,60,0.08348338508225894,0.54515285494002,1.4960012967401612,0.0879185396733868,0.0004958017777840287
4,60,0.07650697447287397,0.5690226733964446,1.5647079785661981,0.09465875043579175,0.0005338120597001534
5,60,0.07102122947967834,0.5977827418635218,1.613842914855548,0.09525615251572378,0.0005371810079832177
6,60,0.0663667284247949,0.5826566345286573,1.5924817472270931,0.09565823122944667,0.0005394484630821479
7,60,0.06286558882005415,0.575142826679769,1.5733277916328967,0.0988991742755045,0.0005574691426501576
8,60,0.05957835177168594,0.5811258424265959,1.59181869437242,0.09921386219901873,0.000558986070346813
9,60,0.05657163135105092,0.5588568484856151,1.5349111887628153,0.09987007806138491,0.0005629418769280272
10,60,0.054670598853652316,0.5498016614729189,1.4922387998639624,0.10146153685042698,0.0005721752264541862
11,60,0.05319365313461957,0.5662618193540903,1.5349830199348211,0.10232821989129358,0.0005770627393045276
12,60,0.051750654617109856,0.5696658652522293,1.5374877556359687,0.10303761438631276,0.0005810632499259202
13,60,0.05065667240707823,0.5623769071315802,1.5288437512849313,0.10261627538343314,0.0005786871796743723
14,60,0.04957074280016222,0.5732761637887454,1.5526782648476392,0.10358927134356002,0.0005841742263041244
15,60,0.04881947120819723,0.5859041622018507,1.5815166416804516,0.10381275473270644,0.0005848969340948309
16,60,0.04816605769052255,0.5822651790376189,1.5559370822845429,0.10516794539155026,0.0005930768923679922
17,60,0.04784662449327171,0.5704747064543159,1.530329237387654,0.10601030084459037,0.0005975527294018716
18,60,0.04729836781141186,0.5619222416937951,1.5158874745207764,0.10594537322038353,0.0005971867491268485
19,60,0.04691951677917407,0.5704230839841454,1.5226169058275068,0.1057625349314816,0.0005961561368400984
20,60,0.04640996812876149,0.5680532636294429,1.5338703322418117,0.1055620196403858,0.0005950258838502804
21,60,0.04615570810109708,0.5646322054064251,1.5314904661388054,0.10610655155209608,0.0005975458024157699
22,60,0.04578833265258966,0.5683333662590463,1.5468345489640822,0.105664022705398,0.0005950536730333302
23,60,0.045516103353458584,0.552038584219173,1.491095690806567,0.10561821715550097,0.0005947957161619783
24,60,0.04514668328021453,0.5531683979372579,1.5084524847549734,0.10686594405953695,0.0006020990696230928
25,60,0.04512415257798837,0.5521739871687938,1.4841772976440395,0.10751099051607077,0.000605733359992776
26,60,0.04497147758516108,0.5450075508057293,1.4794408850676857,0.10800320800209291,0.0006082269440016781
27,60,0.0449933072977697,0.5617508448768758,1.5248830215151152,0.10778692224348263,0.0006067298324184685
28,60,0.04488622784204599,0.5530228027936653,1.4968111072821244,0.10819206852020961,0.000609570657611223
29,60,0.04490201575595777,0.5658214844587387,1.53357040646117,0.10801182710524906,0.0006085551499187552
30,60,0.044923625639849585,0.5510664675699564,1.4962086846354388,0.10749342536372798,0.0006053560706084376
31,60,0.04486992805987953,0.5418776164789771,1.4789151860864378,0.10715298142347253,0.0006037162820221747
32,60,0.044596269160029116,0.5438589306360226,1.473787215345156,0.1077583226160189,0.0006062898353372441
33,60,0.04456349236590671,0.5325008698545708,1.446645975411502,0.10791486276496944,0.0006071705905200162
34,60,0.04448714446025534,0.5352927209450086,1.4678632574595585,0.10797664477576303,0.000607238624119553
35,60,0.04430478511529802,0.5369421315128134,1.4613714882524933,0.10847568155450982,0.0006094833693406961
36,60,0.04440179895042178,0.5366458083055001,1.444602934325281,0.10873946878939748,0.000610683938014487
37,60,0.04455590154747387,0.5402440704680964,1.4585000361635987,0.10893071578982709,0.0006123220787841897
38,60,0.04451956223932398,0.5423449620049396,1.4655416029639392,0.10872228267019006,0.0006108689266998582
39,60,0.04435787139100868,0.5427469410470234,1.478704442646699,0.10988893788320478,0.000617139389017211
40,60,0.04430687319576291,0.5431543469704833,1.478436308634685,0.10929630860045744,0.000613528173472336
41,60,0.04418242255276302,0.550145180061326,1.5020250568407179,0.10923759040323276,0.0006129157217821255
42,60,0.04429249535423955,0.5494514483820881,1.480751322480626,0.10982658483407684,0.0006167892125264429
43,60,0.04424642361689112,0.5422537549838877,1.4669940777140924,0.10974593195548532,0.0006160521067990249
44,60,0.04452746949017163,0.5421199451850586,1.4641242851880374,0.109537108284836,0.0006151635040231614
45,60,0.04435089470185135,0.5367099267286783,1.4607458107271862,0.11029739037476766,0.000618862100332771
46,60,0.04436833733933307,0.5370848426990292,1.4448289045237,0.10982272241223061,0.0006159144539451797
47,60,0.04438822422588267,0.5503398598896472,1.497203245228093,0.1100913570371318,0.0006171359756856016
48,60,0.04442089550791277,0.5401679098810876,1.4686199452265216,0.1100038122173773,0.0006166452281899814
49,60,0.04447069304525353,0.5411398347862194,1.4696170651385467,0.1097415364652648,0.0006151749964975514
50,60,0.04445638912785651,0.5471667547333103,1.4798811249962807,0.1100716791951718,0.00061702566816897
51,60,0.04452472509122003,0.544862728812519,1.4715537489263968,0.10954050632179471,0.000614331712546884
52,60,0.04461298746238766,0.5447790709152585,1.488196576885561,0.11003435605425174,0.0006168164469039476
53,60,0.04460563368839504,0.5430918370481163,1.4689836715321134,0.10979043135691173,0.0006154490851951081
54,60,0.04460293431565979,0.5456923777538419,1.4901112377337342,0.10992344794422347,0.0006161947324793478
55,60,0.04461583092633779,0.5468959644087793,1.4839373742308188,0.11007515785779158,0.0006170451684086594
56,60,0.04463803032524393,0.5439659480529639,1.4682008812248186,0.1104306451055857,0.0006190379131201014
57,60,0.04463548101101696,0.5492827205713815,1.4813496246098576,0.11040731125062356,0.0006189071111958076
58,60,0.044687297462192084,0.5481657951115144,1.4863324417726145,0.11034377797851452,0.0006185509645469995
59,60,0.0447320230933601,0.546110831719958,1.5000776908716325,0.1103490449218439,0.0006188662077715937
