"","Arhgef8","Depdc","Tyrosinase"
"TVC.Nucleus.Ellipticity..prolate..min",0.459228515625,0.000981168842523548,1
"TVC.Nucleus.Ellipticity..prolate..max",1,0.0840105693694964,1
"TVC.Nucleus.Ellipticity..prolate..mean",0.3486328125,0.00135205856273251,1
"TVC.Nucleus.Ellipticity..prolate..SD",1,1,1
"TVC.Nucleus.Sphericity.min",0.781494140625001,0.0250134232999687,1
"TVC.Nucleus.Sphericity.max",1,0.0113846136920135,1
"TVC.Nucleus.Sphericity.mean",0.781494140625001,0.00642418937382415,1
"TVC.Nucleus.Sphericity.SD",1,0.156746040480206,1
"TVC.Nucleus.Volume.frac.min",0.02783203125,7.40285848711381e-10,0.00293731689453125
"TVC.Nucleus.Volume.frac.max",1,2.08999488735508e-12,0.973820686340332
"TVC.Nucleus.Volume.frac.mean",0.3486328125,3.7361255839371e-14,0.0401730537414551
"TVC.Nucleus.Volume.frac.SD",1,1.8841871872391e-13,1
"nATM",1,1.10762576859673e-11,1
"nTVC",1,1.72594009674924e-15,1
"ATMgroup.Ellipticity..oblate.",1,0.545831808751081,1
"ATMgroup.Ellipticity..prolate.",1,1,1
"ATMgroup.Sphericity",1,1,1
"TVCgroup.Ellipticity..oblate.",1,1,1
"TVCgroup.Ellipticity..prolate.",0.3486328125,1,1
"TVCgroup.Sphericity",1,1,1
"TVC.Volume",1,2.37648059553338e-09,1
"ATM.Volume",0.02783203125,1.23457189096477e-08,1
