"","Arhgef8","Depdc","Tyrosinase"
"TVC.Nucleus.Ellipticity..prolate..min",0.294506166979261,0.00407617348366083,1
"TVC.Nucleus.Ellipticity..prolate..max",1,0.158566408564116,1
"TVC.Nucleus.Ellipticity..prolate..mean",0.230163702842776,0.00341497605887605,1
"TVC.Nucleus.Ellipticity..prolate..SD",1,1,1
"TVC.Nucleus.Sphericity.min",0.337992588296658,0.248054778525192,1
"TVC.Nucleus.Sphericity.max",0.994836244602027,0.0516269125809011,1
"TVC.Nucleus.Sphericity.mean",0.309533838262225,0.106522709862713,1
"TVC.Nucleus.Sphericity.SD",1,0.331001486696958,1
"TVC.Nucleus.Volume.frac.min",0.000718825428954358,3.88273294557126e-06,0.000445032292279215
"TVC.Nucleus.Volume.frac.max",1,3.59534555684796e-24,1
"TVC.Nucleus.Volume.frac.mean",0.0259062958740561,2.38548887966082e-20,0.157370885998197
"TVC.Nucleus.Volume.frac.SD",1,2.67626878355613e-24,1
"nATM",1,1,1
"nTVC",1,0.00357711785655342,1
"ATMgroup.Ellipticity..oblate.",1,1,1
"ATMgroup.Ellipticity..prolate.",1,1,1
"ATMgroup.Sphericity",1,0.917024016747331,1
"TVCgroup.Ellipticity..oblate.",1,1,1
"TVCgroup.Ellipticity..prolate.",0.318222326387557,1,1
"TVCgroup.Sphericity",1,0.219415540431798,1
"TVC.Volume",1,2.20913194327703e-07,1
"ATM.Volume",0.0141184962539658,6.42516831938011e-08,1
