d,k,MSE,ES,NES,precision,recall
1,78,0.10935353962987729,0.522365266083207,1.5127421440893174,0.08556979745975601,0.00048255644216539087
2,78,0.0898029803518947,0.5281638073521828,1.5175570890774503,0.08853358939545243,0.0004992702469687828
3,78,0.08000086733029688,0.558416082280748,1.5233480778237831,0.08905565776701489,0.0005022143635078775
4,78,0.07219243358843637,0.5939311937895235,1.5994869037342685,0.09434287694539961,0.0005320307444204289
5,78,0.06721914414384017,0.586776567031544,1.605220191810319,0.09368599850202743,0.00052832638921592
6,78,0.06272078562245309,0.5942309218036823,1.6311032319805467,0.09911250623281417,0.0005589282644299286
7,78,0.05879917265917796,0.5736188928383328,1.5462231708124388,0.10158865641900378,0.0005728920958235552
8,78,0.055485497349322614,0.5733880296114411,1.5562400228507016,0.1028212823346341,0.0005795770544009011
9,78,0.05315981080825059,0.5622217722858268,1.5234252181695656,0.10335470401595709,0.0005825838148671691
10,78,0.0512846498503403,0.5566837669079129,1.5035895813963194,0.10465253951944646,0.0005896284099941885
11,78,0.049746342517380804,0.561505228245496,1.51201400227636,0.10480895111794179,0.0005905096568568918
12,78,0.04859444796044583,0.5478466377642242,1.479245823871113,0.10594713000334421,0.0005971966516593833
13,78,0.04740232377606289,0.5522132542023475,1.4902839960704544,0.10611180237346421,0.0005981248673463337
14,78,0.046685225906625,0.5502554245598167,1.480434405898835,0.10627190317548629,0.0005987521524480036
15,78,0.045910783356557384,0.5539626105669048,1.495791325493764,0.10660752945622924,0.0006006431222340732
16,78,0.04498674792463841,0.5510257452526391,1.4747300579086158,0.10719318746201185,0.0006033877144976226
17,78,0.0447304743589021,0.5445988033065705,1.4686750743373571,0.10680318234523485,0.0006014689230919636
18,78,0.0442498697803491,0.5385991908086761,1.4635916474609256,0.10786206387188242,0.0006074320818436945
19,78,0.043753153970480074,0.5344138969800825,1.4521484761100671,0.10770757042790464,0.0006068409212749356
20,78,0.04334475019099575,0.5360380941596257,1.4654014756452283,0.1075346679202895,0.0006058667621086384
21,78,0.043157856969985385,0.5300253920039593,1.443098060420572,0.10860351040086981,0.0006113263863006478
22,78,0.042804418518522916,0.5346788359037737,1.4545724433525167,0.10871378265080106,0.0006116656215697711
23,78,0.04248879533203055,0.5390103135856731,1.4671097432157383,0.10874951495538084,0.0006118666652806786
24,78,0.04268351172255302,0.5450576795883251,1.4807020435484919,0.10930488809756105,0.0006155574383562444
25,78,0.04266283715602679,0.5343725219190996,1.4567361871880955,0.1097404755240986,0.0006182946194368917
26,78,0.04254886188993466,0.5283827633794307,1.443926490939642,0.10853361854760885,0.0006112139847677186
27,78,0.04242684422726494,0.52252310332639,1.4130182139582,0.10973692371751516,0.0006179904744640188
28,78,0.04227522554350245,0.5279236804137911,1.4380995569255477,0.10986868303393962,0.0006184480107395467
29,78,0.042084747283926076,0.5218089606053962,1.4077543542414186,0.10988714709027053,0.0006185519444410593
30,78,0.042273285529098856,0.5190328057462333,1.4134088885726326,0.10964485210242858,0.0006177558624574968
31,78,0.042258565848758874,0.5134397214012627,1.410372486953142,0.10956547248157035,0.0006173086255357031
32,78,0.04231504538502205,0.5123042350799873,1.4034954430341893,0.10987632876355607,0.000618206553853821
33,78,0.042461168567655735,0.5131305709660534,1.3960923385943191,0.1102825761722232,0.0006210633510123492
34,78,0.04231299353406015,0.5183347795538531,1.4186045515698755,0.11013373689059963,0.0006196548311392407
35,78,0.04218430504633951,0.5216443707069077,1.414433555467398,0.11013905962249622,0.0006191144293360174
36,78,0.042303130990095306,0.5153340746259787,1.4095990501982534,0.110029437678178,0.0006184982217187388
37,78,0.04214686410359966,0.5232296146114698,1.4172280117676554,0.11023939916039913,0.0006191075894807717
38,78,0.042174391540179705,0.5166056799843763,1.4174586437812384,0.11007708231848623,0.000618481027795625
39,78,0.04237344985917308,0.5170791306349978,1.406986976315942,0.1104911099289223,0.0006210933769074568
40,78,0.04244240031333304,0.5158569884788329,1.4028078458175783,0.10989770752488554,0.0006177577392871515
41,78,0.042444924558994276,0.5165547400100413,1.4088114308327235,0.11009511887122322,0.0006185823682875758
42,78,0.04252853097499511,0.5204769390137551,1.414830620224622,0.11067602619884694,0.0006218462643999675
43,78,0.042472009561361934,0.5246245679081495,1.4219060926912321,0.11036955775337887,0.0006198385638271815
44,78,0.04248902427727063,0.5204047911477698,1.4162064437191195,0.11025359954036042,0.000619187339217023
45,78,0.04256453098255267,0.5261022143122707,1.4380302920589718,0.11072182219842601,0.0006215302072575645
46,78,0.042543643307304965,0.5197506203235136,1.4004028757402025,0.1109635682987297,0.0006228872342721326
47,78,0.04252084165976009,0.5211760011739968,1.410684488323009,0.1103718305715009,0.0006195655505701834
48,78,0.04258452263932275,0.5225080541387449,1.4172719196856667,0.11031454053819216,0.0006192439564564922
49,78,0.04258935596273869,0.523531118575564,1.4276506541172669,0.11039557207794143,0.0006194129831309399
50,78,0.042656306202252386,0.5231642994366106,1.4118161457884455,0.11076023088845918,0.0006214590289767669
51,78,0.04266917872181206,0.5209587756702764,1.4138204195214323,0.11079419521284498,0.0006213627266374832
52,78,0.042684321850652907,0.5192704355620984,1.4114484292922367,0.11053681588952856,0.0006199192763032055
53,78,0.042681541930807365,0.5220058554119904,1.4050408913010142,0.11068782639179617,0.0006204795869105337
54,78,0.042739159831057666,0.5230147103736303,1.4219280904558034,0.1107925341651798,0.0006210665442851002
29,1,0.11420745246317386,0.10814146186664786,1.5314236447749583,NaN,0.0
29,2,0.07778184560849849,0.7114522214978566,1.4515766652277586,0.1364031958251936,0.00038496458833777206
29,3,0.07149765880053714,0.6556556884592277,1.4684358451335955,0.12290599236198108,0.00046238997582171234
29,4,0.06810341700837035,0.6294961438614444,1.4759886175788692,0.11848280413812669,0.0005043440199346485
29,5,0.06540608142424789,0.6175239737749311,1.4918503582295646,0.12431659840400759,0.0005658713776597689
29,6,0.0633331530631724,0.6054523587000319,1.4716574273054515,0.12366194737241347,0.0005862652651337308
29,7,0.06228759728754107,0.6035283194057567,1.4988660724056742,0.12201943207560383,0.0005971185207834247
29,8,0.060160358111406825,0.5913953325062615,1.4832728569775775,0.12445849294205526,0.0006203331786188462
29,9,0.05894194073248041,0.5823689552862907,1.4634734592656646,0.12203821563454165,0.0006193293458678606
29,10,0.05757963645001811,0.5844846885002302,1.4826417597238204,0.12234595936785107,0.0006300777626578281
29,11,0.05623959149749482,0.5837062277604473,1.4868717702592715,0.12165862667212095,0.0006337830562801834
29,12,0.05512491121842424,0.5979947783871964,1.5262807168969346,0.1218214302080845,0.0006384162612143541
29,13,0.054132261689954206,0.5886311267800526,1.5135500585165165,0.12179386091625821,0.0006445788152557941
29,14,0.05315980105938072,0.5881741285641008,1.492051801723673,0.12133042555967533,0.0006449535070375476
29,15,0.052394404384447535,0.5845174929673485,1.5050485579444055,0.1217344525455242,0.0006511987565482864
29,16,0.05165063883852722,0.5701136415328094,1.4652340414211635,0.12177082525324147,0.0006539156626737959
29,17,0.05090308651397943,0.5706202017723635,1.4731903343553754,0.12202266929787836,0.0006581115752518815
29,18,0.04991920047926676,0.5699423595615253,1.4685004088237261,0.12187081288598768,0.0006601325179627105
29,19,0.049373474370784674,0.5624315224660517,1.445537503036103,0.12091456077977962,0.0006568312770987676
29,20,0.04884647567529063,0.5661181958656184,1.453349215751433,0.11958910871014772,0.0006517986666395513
29,21,0.04843390028918929,0.561500498824552,1.444474232243328,0.11890822131783554,0.0006496270143666576
29,22,0.04797803273617156,0.5559537858847171,1.4477836153488475,0.11810193443972061,0.0006470568108893697
29,23,0.04763760224096574,0.5571624703462089,1.4505770416768946,0.1172230660895881,0.000642545184331198
29,24,0.04750582282231709,0.5629843145111776,1.4762336506334168,0.11681909449945009,0.0006415407425723783
29,25,0.04703112951129143,0.5631116561831001,1.4695629408066528,0.11657002049241792,0.0006404747174765179
29,26,0.04666142691487232,0.5597809843748132,1.4720612720751394,0.11600713305255429,0.0006376823939727322
29,27,0.04643276271672557,0.5630460719728073,1.4600623451800365,0.11640323672830939,0.0006404625340422392
29,28,0.045991015200892035,0.5568387687448333,1.453164285780843,0.11638298709331965,0.0006406524601787538
29,29,0.04556264109808488,0.5576543360831483,1.4662359374745808,0.11624985424835273,0.0006402206019073427
29,30,0.04526378645461679,0.5552907958874158,1.4567100314598362,0.11549022113398649,0.0006369341793591958
29,31,0.045087383432879095,0.5522543737477399,1.4544966060828803,0.11593433990548517,0.0006408844162287704
29,32,0.04510045769824094,0.5545292398310512,1.4712207584498664,0.11615552467494535,0.0006433101354674796
29,33,0.045114054646607574,0.5525098431796684,1.4670576289582922,0.11557449200989131,0.0006415884139165829
29,34,0.04496369425861432,0.5498947574976659,1.4529969509904619,0.11548725584220866,0.0006417021848845718
29,35,0.04481587583708041,0.5553987750492585,1.4811801181863837,0.11552716863504127,0.0006425222109598479
29,36,0.04487799627696207,0.5518789673687269,1.4613236454625258,0.11612963151298561,0.0006464742728238059
29,37,0.04468361640103097,0.558264225822625,1.4905223864403279,0.11611919966173591,0.0006464162004493139
29,38,0.044561788625527676,0.5585868786914286,1.4822812742249296,0.11576041048306838,0.0006450183404094164
29,39,0.044238137578699994,0.5559903397749427,1.472249537255943,0.11535883864998825,0.0006427807775306428
29,40,0.04403047395898439,0.5509926787783174,1.4659330547296372,0.11524341934325069,0.0006424360509300981
29,41,0.04391081778756575,0.5477820418569203,1.4730880284247843,0.11509148172438209,0.0006415890593672831
29,42,0.043691702853485774,0.5463651423306379,1.4629900556126825,0.11427940646568416,0.0006370620640279481
29,43,0.043476558313618144,0.5397205157698088,1.439775015111198,0.11372754656431192,0.0006342801315831759
29,44,0.043334383768640516,0.5429512413239708,1.44923697922834,0.11350143381760931,0.0006330190578410279
29,45,0.04325008236795742,0.5398636171327675,1.4514638684059713,0.1129253427608045,0.0006306832558336664
29,46,0.043000561619434434,0.5393450214841091,1.4463222331507424,0.11248064703461973,0.0006281996490401091
29,47,0.04286082580101457,0.5355438500824973,1.4365946397094307,0.11214031976790194,0.0006262989356716565
29,48,0.0427795643674263,0.540791676250703,1.449374010592798,0.11249925059219373,0.0006285948349575214
29,49,0.04271266164600734,0.5380424783899779,1.4597001394455178,0.112119320195513,0.0006264719560606424
29,50,0.042620801362515004,0.5382315679046029,1.4506466320419615,0.11213689986818723,0.0006265701833055805
29,51,0.04267926436171439,0.5336310291222713,1.4279252866572703,0.11235066573201584,0.0006286373134382993
29,52,0.04255582529576244,0.5364980969797232,1.425648954981164,0.11224371150568747,0.0006280388709007152
29,53,0.04248320992239124,0.5386746745545863,1.44235331253236,0.1120101092517648,0.0006267317928129951
29,54,0.04245988932836131,0.537370834545505,1.4338334037398033,0.11167706830156335,0.0006248683239422457
29,55,0.04239195680579958,0.5367659499999518,1.4315176291350564,0.11132580112389467,0.0006234793686201095
29,56,0.04227120383323872,0.5324673781482608,1.440833924723065,0.11092086356882977,0.0006212115186822369
29,57,0.04233480357557832,0.5270277215306972,1.4160894555909997,0.111308385201958,0.0006236700332897579
29,58,0.04233731675523698,0.5252721240968392,1.4198249400057543,0.11125798380192156,0.0006239637739372841
29,59,0.04237522022919837,0.5307402693386445,1.422972497605033,0.11150701530685629,0.0006256491242464258
29,60,0.04234726027102051,0.5256574051351642,1.4144706351409166,0.1114786577850887,0.0006254900144486174
29,61,0.0423793240756227,0.5260477516495791,1.4172678903078721,0.11123056857818929,0.0006240980231500928
29,62,0.042564004334735346,0.5261519616068732,1.413051147123905,0.11125195264967906,0.0006247941185687643
29,63,0.04247509197543458,0.5257926367799801,1.4163514723589536,0.11101016207652356,0.0006237236461100941
29,64,0.04248254619370109,0.5261751636587783,1.416898032872088,0.11106956250415943,0.0006240573943959494
29,65,0.04253315040927806,0.5234709415855672,1.4174643859395348,0.11134804533235725,0.0006259103880122719
29,66,0.04250367656255086,0.5288628979331665,1.4294743911807528,0.11155545339213416,0.0006270762716053277
29,67,0.04253572907818619,0.5261625436365529,1.4297316716612671,0.11147111706192975,0.0006268908234213792
29,68,0.04246934905592334,0.5222707253077291,1.4288542644406044,0.11111844489086206,0.0006249074670727065
29,69,0.042457667576293844,0.5202598961748379,1.4019918072975324,0.11099234359251442,0.0006241982990941372
29,70,0.04231094406264897,0.5206792733815785,1.4212896762251526,0.11109839618239421,0.0006247947172260089
29,71,0.042297307645853065,0.519866816196075,1.419051186139262,0.11105538299344313,0.0006248403671643638
29,72,0.04224909753631083,0.5230069296962538,1.4141875409151936,0.11083518896551747,0.0006236014707367625
29,73,0.04212986172985022,0.5211229868558667,1.4194326414734333,0.11069971647266272,0.000622839250303188
29,74,0.04211953643812266,0.5233297619741615,1.4315484196914614,0.11058672805997923,0.0006222035339663164
29,75,0.04209429708425008,0.5227173435450432,1.4234707273138432,0.11045635735467421,0.000621470018154885
29,76,0.042129806236796526,0.5250455472258947,1.4207722690138787,0.11034213594505414,0.0006208273645022543
29,77,0.042119127336093694,0.5236893796654533,1.435452951432058,0.11025491593810283,0.0006203366311429289
29,78,0.042084747283926076,0.5218089606053962,1.4128578805680552,0.10988714709027053,0.0006185519444410593
29,79,0.04212167777117607,0.52065345672588,1.4107205490953896,0.10992080775286804,0.0006187414194511236
29,80,0.04213737089976018,0.5204208454712127,1.4318465812412309,0.10978737963541532,0.000618274620178937
29,81,0.04213281468927801,0.5211805388113643,1.42199819678979,0.1097683999661919,0.0006181677349629932
29,82,0.04212884328140645,0.5179851128061929,1.410721678978167,0.10973531703954097,0.0006179814263546866
29,83,0.04225010553119599,0.5183222396288789,1.4128544577566309,0.10971790480366088,0.0006181674525466736
29,84,0.04224454412676898,0.5197957929481666,1.4280307927018387,0.10962480107400495,0.0006176428918973703
29,85,0.04224421163627116,0.517513689633949,1.4176483947770773,0.10921354544826999,0.000615325814817189
29,86,0.04221520087482003,0.5159157000138377,1.4099729900100986,0.10913880760222498,0.0006149047303644633
29,87,0.04222258610369956,0.5137787618238838,1.4094040786346225,0.109098072593855,0.0006146752230985471
29,88,0.042255350962687045,0.5152583284519706,1.4220427566784786,0.10885008386789773,0.0006132780166967331
29,89,0.04232352731213788,0.516427856284049,1.41756039944902,0.10888037926501189,0.0006137306213619603
29,90,0.042267473128246885,0.5157783441765471,1.418344259171605,0.1085968263463299,0.0006121323066780252
29,91,0.04228765009401833,0.5156898595389083,1.417443055687732,0.10848135564225646,0.0006114814280951393
29,92,0.04228940600721892,0.5126172289020237,1.4084072851518603,0.10858908369348644,0.000612088663340514
29,93,0.04224843942090135,0.5123143709848664,1.4073109105506567,0.10847063135722891,0.0006114209780658682
29,94,0.042303597505548816,0.5111729316213587,1.4023036347647813,0.10834863287796044,0.0006107333040974996
29,95,0.04231086645838379,0.5165499492508239,1.4283516627448112,0.10808099422589021,0.0006092246940307055
29,96,0.04233573095441807,0.512639858340431,1.3913368567852782,0.10790796243416208,0.0006082493584397613
29,97,0.04235595631771125,0.5181256999642181,1.4184947778600892,0.1079110885995274,0.0006082669798277937
29,98,0.04236603135287491,0.515565684813684,1.4253360704152258,0.10790771182679933,0.0006082479458306806
29,99,0.042381166146435514,0.5109392895391917,1.4083353509972647,0.10797948604922065,0.0006086525186143333
29,100,0.04239251360856252,0.5115909800608625,1.4221875562479427,0.107679095871985,0.0006069592966456888
29,101,0.042439735409224966,0.5094798643597664,1.3903348811749159,0.10774518336841027,0.0006073318148213155
29,102,0.04246265948119717,0.508832078053348,1.3843258295686658,0.1077510949512892,0.0006073651368896074
29,103,0.042486889474960585,0.5106471871157924,1.4107720596829403,0.10779880766256615,0.0006076340811395864
29,104,0.04251698527469051,0.5108709093368785,1.4188289576309376,0.10779708663925056,0.0006076243801749499
29,105,0.04253759558717593,0.509782436891434,1.4099397263420252,0.10768454397728476,0.000606990006210382
29,106,0.0424799368664853,0.5090106123828868,1.4112239362804428,0.10743384639474618,0.0006055768885840111
29,107,0.042371868814427976,0.5086641378549532,1.4011542442785498,0.10725884007035126,0.000604590423061589
29,108,0.0423976388979723,0.5121478964199107,1.4123464349492618,0.10702520847089039,0.0006032735019810893
29,109,0.04243561788783902,0.5118967366649283,1.412630878888841,0.10691478373999959,0.0006026510662478486
29,110,0.04245903316307391,0.5101317285983815,1.4126222776434998,0.1068335439503831,0.0006021931385027654
29,111,0.04248185842428985,0.5103944923858376,1.3950151352486566,0.10668418502869044,0.0006013512407757811
29,112,0.042515383044349826,0.5093371790198576,1.409703508660028,0.10669809385341229,0.0006014296412341243
29,113,0.042540606330094065,0.5089717739749151,1.4121395491476707,0.10658442124443179,0.0006007888980496096
29,114,0.04262159401828493,0.5081196694061332,1.4071892664121524,0.10656034835627232,0.000600929114070782
29,115,0.04264704715462928,0.508726933136141,1.4127072378573284,0.10646340893624143,0.0006003824405595155
29,116,0.04266718500631014,0.508009502002493,1.4022974259464687,0.10657796130738072,0.0006010284393382853
29,117,0.04266059968601821,0.5095897386442149,1.4020782496830915,0.10646516139771346,0.0006003923232704494
29,118,0.042695904580069485,0.5113565123820191,1.4027781997374218,0.1064136537184746,0.0006001018543997081
29,119,0.04269023714882394,0.511469970089567,1.420923629684551,0.10624784860259864,0.0005991668244103297
