"Row.names","Condition","Phenotype","migration.perturbed","orientation.perturbed","division.perturbed"
"Depdc.slide1_image18.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image19_left.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image19_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image19.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image2.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image20_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image20_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image20_right.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image20_right.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image21_left.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image21_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image22.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image23_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image24_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image24_right.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image25_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image25_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image3_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image3_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image3.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image4_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image4_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image4.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image5.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image5.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image6.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image6.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image7_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image7_right.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image7_right.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image8_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide1_image8_left.2020_02_06","Depdc","migration/orientation perturbed",TRUE,TRUE,FALSE
"Depdc.slide1_image8_right.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image8_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image9_left.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image9.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image1.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image1.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image10_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image10_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image10_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image11_left.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image11_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image11.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image12_left.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image12_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image12_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image12_right.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image13.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image14.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image15.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image16.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image17.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image19_left.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image2_left.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image2_left.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image2_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image2_right.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image20.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image21.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image3_right.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image3.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image4.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image5_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image5_right.2020_02_06","Depdc",NA,NA,NA,NA
"Depdc.slide2_image5.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image6.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image6.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image7_left.2020_02_06","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image7_right.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image7.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image8.2019_08_29","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image8.2020_02_06","Depdc","orientation perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image9.2019_08_29","Depdc","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image9.2020_02_06","Depdc","migration/orientation perturbed",TRUE,TRUE,FALSE
"Eph.image1.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image10_left.2020_06_17","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.image10_right.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image11.2020_06_17","Eph","division/orientation perturbed",FALSE,TRUE,TRUE
"Eph.image12_left.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image12_right.2020_06_17","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.image13.2020_06_17","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.image14.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image15.2020_06_17","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.image16.2020_06_17","Eph",NA,NA,NA,NA
"Eph.image17_left.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image17_right.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image18_left.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image18_right.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image2.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image20.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image3.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image4.2020_06_17","Eph","migration/orientation perturbed",TRUE,TRUE,FALSE
"Eph.image5.2020_06_17","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.image6.2020_06_17","Eph","WT",FALSE,FALSE,FALSE
"Eph.image8.2020_06_17","Eph","migration/division/orientation perturbed",TRUE,TRUE,TRUE
"Eph.image9.2020_06_17","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image1_left.2020_02_06","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.slide1_image1_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image10.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image11.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image12_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image14.2020_02_06","Eph","orientation perturbed",FALSE,TRUE,FALSE
"Eph.slide1_image15.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image16.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image17_left.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image18_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image19_left.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image19_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image2.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image20_left.2020_02_06","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.slide1_image20_right.2020_02_06","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.slide1_image22_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image22_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image23.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image24.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image25_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image25_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image26_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image27.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image29_left.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image29_right.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image3.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image30.2020_02_06","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.slide1_image31_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image31_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image32.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image33_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image33_right.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide1_image35.2020_02_06","Eph","migration/orientation perturbed",TRUE,TRUE,FALSE
"Eph.slide1_image36.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image37.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image4.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image5_left.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image5_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image6.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image7_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image7_right.2020_02_06","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.slide1_image8_right.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide1_image9_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide1_image9_right.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image1_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image1_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image10.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image11_left.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide2_image12_right.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide2_image13.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image14_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image14_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image18.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image19_left.2020_02_06","Eph","division perturbed",FALSE,FALSE,TRUE
"Eph.slide2_image19_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image2_left.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image2_right.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image20.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image21.2020_02_06","Eph","migration perturbed",TRUE,FALSE,FALSE
"Eph.slide2_image22_left.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image22_right.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image23_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image23_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image24.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image25_left.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image25_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image26_left.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image26_right.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image27_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image27_right.2020_02_06","Eph","migration/division perturbed",TRUE,FALSE,TRUE
"Eph.slide2_image28_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image28_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image3.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image4_left.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image4_right.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image5.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image6.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image7.2020_02_06","Eph","WT",FALSE,FALSE,FALSE
"Eph.slide2_image9.2020_02_06","Eph","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image1_right.2020_07_14","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image1.2020_07_23","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image10_left.2020_07_14","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image10_left.2020_07_23","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image10_right.2020_07_14","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image10_right.2020_07_23","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image10.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image11.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image11.2020_07_14","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image12.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image13_left.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image13_right.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image14.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image15_left.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image15_right.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image17_left.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image19_left.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image19_right.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image2.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image2.2020_07_14","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image2.2020_07_23","Foxf","division/orientation perturbed",FALSE,TRUE,TRUE
"Foxf.image3.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image3.2020_07_14","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image3.2020_07_23","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image4.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image4.2020_07_14","Foxf","migration/division perturbed",TRUE,FALSE,TRUE
"Foxf.image4.2020_07_23","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image5_left.2020_07_23","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image5_right.2020_07_23","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.image5.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image6.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image6.2020_07_14","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image7.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image7.2020_07_14","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image7.2020_07_23","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image8_left.2020_07_23","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image8_right.2020_07_23","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image8.2020_07_14","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.image9_left.2020_07_14","Foxf","division perturbed",FALSE,FALSE,TRUE
"Foxf.image9.2020_06_17","Foxf",NA,NA,NA,NA
"Foxf.image9.2020_07_23","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image1.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image10.2020_02_06","Foxf","migration/orientation perturbed",TRUE,TRUE,FALSE
"Foxf.slide1_image11.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image12.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image14_left.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image14_right.2020_02_06","Foxf","migration/orientation perturbed",TRUE,TRUE,FALSE
"Foxf.slide1_image15_left.2020_02_06","Foxf","migration perturbed",TRUE,FALSE,FALSE
"Foxf.slide1_image15_right.2020_02_06","Foxf","migration/orientation perturbed",TRUE,TRUE,FALSE
"Foxf.slide1_image16.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image17.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image18.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image19.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image2.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image20.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image21.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image22_left.2020_02_06","Foxf","migration/orientation perturbed",TRUE,TRUE,FALSE
"Foxf.slide1_image22_right.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image3.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
