"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Depdc.slide1_image18_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image18_right.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image18.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image19_left.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image19_right.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image19.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image2.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image20_left.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image20_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image20_right.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image20_right.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image21_left.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image21_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image22.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image23_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image24_left.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image24_right.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image25_left.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image25_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image3_left.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image3_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image3.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image4_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image4_right.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image4.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image5.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image5.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image6.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image6.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image7_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image7_right.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image7_right.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image8_left.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide1_image8_right.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image8_right.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image9_left.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide1_image9.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image1.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image1.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image10_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image10_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image10_right.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image11_left.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image11_right.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
