d,k,MSE,ES,precision,recall
1,56,0.11049480644899053,-0.08148513804167692,0.08536588677745108,0.0004814065222603114
2,56,0.09057152270258,0.08115604762408468,0.08815442340720116,0.000497132004321116
3,56,0.08045678491443602,0.09629420683332743,0.08952152342233641,0.0005048415343068353
4,56,0.07249748905324886,-0.09920900767485862,0.09580515476606516,0.0005402770135895196
5,56,0.06730708729616694,0.09478979349576289,0.0945103015599595,0.000532974907299521
6,56,0.06263549862651793,-0.12068215742275187,0.10048310639116638,0.0005663973595438025
7,56,0.05876738910124004,0.07252917739148827,0.10212124238321854,0.000575631109711319
8,56,0.05533879122531728,0.10995145916340508,0.10434617698413534,0.0005879023166245793
9,56,0.05302266097960797,0.12943831317654525,0.10404579419797377,0.0005862099140760376
10,56,0.05112419709549546,0.13714843153156336,0.10627404116004043,0.0005987641981798993
11,56,0.0497100782342092,-0.11558125595007232,0.10648097829879472,0.0005999301136622442
12,56,0.04832259157951401,0.06822749550438982,0.10794641705432963,0.0006076276246352109
13,56,0.047217455686120166,0.10979866718380889,0.1081712555419908,0.0006091733144246483
14,56,0.04648389878512235,0.09322661401220005,0.10774559409840771,0.0006067761748970441
15,56,0.04585255024829637,0.057849394121034695,0.10811611407196614,0.0006083029079022682
16,56,0.045118878283746035,0.06353795705370048,0.10795427116807087,0.0006076718352408654
17,56,0.045023470932015024,0.17722694310261747,0.10856726714185866,0.0006111223739213308
18,56,0.044433151338461555,-0.1406508938330806,0.10950767962799972,0.00061556531182651
19,56,0.04394545878974608,0.16061963024340933,0.10958393374403878,0.0006162776894070992
20,56,0.04356611677335397,0.0803685812677032,0.11047096812840952,0.0006218382581538888
21,56,0.043214299327521286,0.09435492401537313,0.11124515471201943,0.0006256200572594253
22,56,0.04321781596125525,0.2136619536217575,0.11112596161677289,0.0006249497396058959
23,56,0.04293829312312608,0.13969888226790322,0.11051630424880142,0.0006209488478465395
24,56,0.04277173635749158,0.07398657781225387,0.11088621591954377,0.0006221659120742055
25,56,0.04288094818449163,0.1156165156376714,0.11083085694602211,0.000622142267174265
26,56,0.04245054549079885,0.08710318159914408,0.11054151815716956,0.0006196594310185805
27,56,0.04281260289045585,-0.08546948274038278,0.11161899312788062,0.0006265664216429283
28,56,0.04236043965670298,-0.07042534936473795,0.11055833408182301,0.0006197536955671097
29,56,0.04227120383323872,0.13714843153156328,0.11092086356882977,0.0006212115186822369
30,56,0.042605395278379976,0.14489380957418058,0.11142205681133897,0.0006243069446624105
31,56,0.04276635965636121,-0.08258994158645094,0.11098127514929076,0.0006218372087719443
