Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.5012902,0.2261833,0.6286322,-0.05494319,0.39256728,-0.08771997,-0.34932002,0.34085122,-0.059296448,-0.009486162,-0.5197342,0.07729161,0.6913897,0.3089828
0.25531736,-0.021787914,0.27464768,-0.3303651,-0.17484555,-0.44438833,0.04924394,0.4760178,-0.16359133,0.16158813,-0.44943905,0.3578697,0.3101858,-0.0050508985
0.4020233,-0.46092308,-0.2277058,-0.13152805,0.010257097,0.24081248,0.17011958,-0.019580754,0.21854581,-0.29398292,0.42215315,-0.4150154,-0.041261077,0.04298663
-0.44231358,0.5478376,-0.49855363,-0.52395856,0.5778521,-0.13058388,-0.3609143,-0.3554517,-0.11938038,-0.34067872,0.19735855,-0.28437304,0.57388926,-0.11391144
0.17212671,-0.43407312,-0.42422363,0.059046615,0.17471354,0.30406386,0.010524552,0.5592575,0.08950446,-0.35484612,0.05649102,-0.65500975,-0.11312336,-0.10463324
-0.17814596,0.2878454,0.03165621,-0.81769055,0.45148236,0.34934583,0.22723514,0.052565344,0.47634414,-0.32531434,0.0045424295,-0.12037556,0.39311433,0.18852928
-0.062971324,-0.15605873,0.45102316,0.5433434,-0.43887487,-0.045303475,-0.3010322,-0.380774,0.21363828,0.09170156,0.23405926,-0.2660148,-0.013359593,-0.15356086
0.59427327,-0.12790966,0.4395223,-0.3400455,-0.16434512,-0.07684807,-0.07661427,-0.14870141,0.33589005,-0.037040096,0.45258453,0.26701906,-0.22420624,-0.020623337
0.47136375,-0.30212906,-0.047751747,0.3419004,0.07524353,-0.15666874,-0.5463751,-0.0046635186,-0.14532676,-0.55690926,0.30936572,-0.22654267,-0.37780076,-0.49219668
0.23096643,0.07552842,-0.1599935,0.4397067,0.07215054,-0.44031194,-0.4144218,-0.33476648,0.35982558,-0.18044552,0.2927511,0.05964047,0.0979525,-0.3043497
0.036433578,0.13019638,-0.07407624,0.3487856,0.19552241,-0.5395355,0.29945347,-0.054682657,-0.1916315,0.084077425,0.36720803,-0.032620717,0.22984163,-0.049726184
0.44264907,-0.36008328,-0.19576916,-0.16898066,0.124108054,-0.104424305,0.15485229,0.24119493,-0.5725831,0.27112234,0.38387793,0.014736894,0.25055942,0.22402535
0.31514364,0.3569326,0.19981578,-0.5311845,0.0007682013,-0.18328562,-0.43121484,-0.27849337,0.06700467,0.047367062,0.7351235,0.35261816,0.502644,-0.044768024
-0.27207392,-0.05599322,0.06783767,-0.031142667,-0.13039367,-0.6651919,0.511325,-0.32759663,0.0936593,-0.10333036,0.07079279,0.24314748,0.26234424,0.27292964
-0.17870791,0.49490932,-0.17221922,0.3682819,0.44800305,-0.18571419,0.26222476,-0.7332251,0.17012388,0.048805706,0.46163353,0.021785531,-0.36207116,-0.15152386
0.5177471,-0.106307894,0.15575235,-0.29344535,-0.50836706,0.24359931,-0.19254628,-0.08614025,-0.3234841,0.023804452,0.27603403,-0.38225153,0.45943457,-0.13067593
-0.33951974,0.18500148,-0.56392884,-0.18488772,0.49295744,-0.465133,0.1977577,-0.19394056,-0.1364348,-0.3247103,-0.3066786,-0.16148199,-0.46003342,-0.098121405
-0.04136713,-0.13368379,-0.21176615,0.2768448,0.576859,-0.17286974,0.011549914,0.11527996,0.2991373,-0.42069423,-0.034667954,-0.10475184,-0.43040982,-0.12247291
-0.027410945,0.4144728,0.059066698,0.15907285,0.53213626,-0.2346653,0.15840407,0.36569437,-0.4014425,0.51192963,0.3981323,0.414553,-0.5005713,-0.32973653
0.39789134,0.23353651,-0.06981144,-0.35641515,-0.45836312,0.07306561,0.110005274,-0.63916725,0.39656106,0.14923608,0.62289304,0.2575109,-0.28728437,0.18124644
0.37316978,0.27271906,-7.353723e-5,-0.11349681,-0.011753141,0.044462483,-0.4483716,-0.41506958,0.15179993,-0.026376592,0.6883271,0.49610034,0.4079544,-0.4563524
-0.4835017,0.28455073,-0.5994651,-0.7304193,0.5168692,-0.14535838,-0.24016519,0.15993264,0.22550578,-0.03504959,0.14903569,0.06477777,0.6780187,-0.13744828
-0.0022988017,-0.2712695,-0.2846762,-0.5217508,0.51829046,-0.307945,0.35388064,0.07816778,0.053399406,-0.14066528,0.085420325,-0.5735421,-0.49407002,-0.11269201
0.31593496,0.3155559,0.43552515,-0.107432716,0.21320848,-0.14964592,0.020675892,0.254002,-0.51309925,-0.23127283,-0.21068181,-0.062239066,0.4355167,0.69341886
-0.4316769,0.11238872,0.07886655,-0.34663212,0.2660672,-0.66487646,-0.17105617,0.1480731,0.17544656,-0.18440124,-0.289131,0.3180505,-0.26766828,0.05932125
0.053375527,-0.6874015,-0.4014717,0.14146037,-0.16398992,-0.11942234,0.38356432,0.538222,-0.2622245,0.26177582,-0.11929432,-0.45503014,-0.10002648,-0.36598602
-0.20860983,0.22758396,0.28698495,-0.5087841,0.37161312,-0.4958584,0.28967032,-0.3566876,0.07716849,-0.39895847,0.014838217,0.47655857,-0.06495825,-0.30036998
-0.35116673,0.2160199,0.5397776,0.0068737045,0.28469723,-0.28017572,0.1075346,-0.4504302,0.08142671,-0.010579858,-0.2060742,0.041011196,-0.010769717,-0.4083455
0.15993237,0.25476345,0.6579297,0.5269041,0.43700367,-0.16430464,-0.20039532,-0.38000178,0.27062026,0.025654739,-0.04873529,-0.33525333,0.07905315,-0.5799233
0.30693334,-0.07856035,0.02547029,-0.33400396,-0.3291015,-0.12260148,-0.6414617,-0.48019168,0.49175528,0.045135487,-0.034206305,0.23734604,0.6157484,-0.14171414
-0.278106,0.38968268,0.25926435,-0.60703415,-0.13975814,-0.096893474,-0.2251864,0.05259415,-0.28185713,0.020301495,-0.050510995,0.49587902,-0.39063683,0.012668757
-0.11562556,0.049498066,-0.0025150834,-0.10109124,-0.087717004,-0.014430174,-0.057054646,-0.04528398,0.07707553,-0.120889924,0.1269491,0.033834074,-0.021764332,-0.06962168
