Column1,Column2
0.14208515,0.14284366
0.13760619,0.14220509
0.13799421,0.14158987
0.13462026,0.14097571
0.13281095,0.14037454
0.13518457,0.13978602
0.13514304,0.13919753
0.14157106,0.13861404
0.13300315,0.13806133
0.13394739,0.13749398
0.13176191,0.13693349
0.13424352,0.13637818
0.13302928,0.13583472
0.12819676,0.13529198
0.1303395,0.13476916
0.13440305,0.13424419
0.1340485,0.13373426
0.12992974,0.13322082
0.12944433,0.13270986
0.12852262,0.13222587
0.12712696,0.13173647
0.12844706,0.13125242
0.12119497,0.13075517
0.12429945,0.13028374
0.13023366,0.12982239
0.12285071,0.12935351
0.122335,0.12889796
0.1290572,0.1284447
0.12164289,0.12799482
0.122684695,0.12755495
0.12413265,0.12711568
0.11992771,0.12668495
0.12466348,0.12628138
0.121252246,0.12585227
0.119398706,0.12543693
0.11900158,0.12502617
0.119445235,0.124615364
0.12398977,0.12421627
0.12129778,0.123824686
0.11717632,0.123437695
0.122984506,0.12306485
0.12166602,0.12268131
0.1171268,0.12229558
0.11673866,0.121915475
0.11747197,0.12154363
0.117275275,0.12118483
0.11485711,0.12081846
0.11350639,0.12046429
0.111887686,0.12012063
0.120544955,0.1197742
0.116095595,0.119425915
0.116156824,0.119082704
0.11345775,0.118747815
0.11495607,0.118402824
0.11542386,0.11807107
0.110722244,0.11775158
0.113727234,0.11744741
0.11103677,0.11712625
0.11383713,0.11680868
0.11268444,0.11650047
0.11273967,0.11618857
0.109385006,0.11588496
0.11315478,0.115583465
0.11642554,0.11528065
0.11003258,0.11499865
0.11221391,0.11470307
0.1113766,0.11441287
0.111647695,0.11411906
0.10847612,0.113835715
0.10983963,0.11355542
0.10987419,0.113284625
0.10792162,0.113002725
0.108970225,0.112741366
0.10853451,0.112463325
0.11104919,0.11219983
0.10675489,0.111941315
0.102930434,0.1116716
0.10952354,0.1114121
0.10995878,0.111151144
0.107254915,0.11089485
0.103323,0.11064926
0.10418948,0.110400036
0.106376536,0.110152945
0.10928783,0.109906234
0.10704992,0.10966561
0.10780408,0.10941965
0.107918784,0.1091846
0.10098607,0.10894196
0.1012307,0.108718805
0.105879225,0.10848601
0.10571804,0.108255975
0.107442066,0.108025126
0.10062027,0.10779133
0.109652266,0.10756282
0.102101386,0.107336126
0.099957906,0.107106574
0.10565632,0.10689454
0.1005827,0.10666674
0.10360845,0.10645097
0.10245065,0.10622851
0.101129465,0.106018394
0.10311392,0.10581098
0.10347126,0.105602115
0.099152274,0.10538744
0.09980737,0.105186194
0.10473529,0.10497619
0.102069765,0.10477059
0.09894865,0.104565814
0.10143106,0.10436875
0.09898741,0.10416776
0.10079455,0.10396419
0.10087236,0.10376271
0.099808246,0.10357605
0.10095208,0.10337804
0.09608993,0.10318426
0.09606507,0.10299162
0.10070525,0.10280073
0.100385934,0.10260654
0.1018011,0.1024112
0.09940914,0.10221938
0.10197682,0.102045886
0.098736435,0.10185692
0.09837011,0.10166754
0.09757416,0.10148099
0.093856215,0.101297684
0.09942892,0.10111115
0.09559846,0.10092494
0.0977675,0.10074821
0.09684109,0.10058345
0.09770576,0.10040798
0.09887168,0.100228116
0.09512007,0.1000527
0.095124125,0.09987859
0.09538117,0.099701606
0.09706867,0.09952184
0.095324226,0.09934977
0.09888035,0.099185504
0.09264631,0.099007055
0.09319073,0.09884018
0.09734783,0.09867077
0.09427251,0.098498896
0.09675053,0.09832785
0.09319738,0.09815745
0.09440174,0.09799468
0.09380523,0.097839646
0.09559012,0.09767306
0.09484941,0.097505555
0.0935198,0.097340055
0.095465235,0.097172864
0.09072454,0.09701002
0.09453602,0.096845604
0.09034829,0.09669004
0.08912416,0.09654539
0.09506175,0.0963854
0.095047966,0.09622515
0.09212458,0.096061744
0.092743546,0.09590233
0.0911854,0.09574414
0.09094449,0.095585495
0.0956707,0.09543029
0.09061684,0.0952812
0.093759604,0.095135175
0.09123083,0.094977826
