d,k,MSE,ES,precision,recall
1,6,0.13411896140840676,0.1446704982193857,0.08224077100695927,0.00046314413939385325
2,6,0.11271532976719935,0.11737950001762967,0.08961674082581829,0.0005037542316549586
3,6,0.10055935619255961,-0.07715994969617909,0.09165123612649963,0.0005128174940172487
4,6,0.09182572533827592,0.06914424738196816,0.10227409514072401,0.0005696076253901893
5,6,0.08535680854849272,-0.1511112678208339,0.10075150124902117,0.0005564320280986862
6,6,0.08036285647038688,-0.11124431437537469,0.11205752653170675,0.0006124900017307231
7,6,0.07765077404937874,-0.10201802945359238,0.11153047343243551,0.0006078765420782069
8,6,0.07387142410573518,0.1135361940693203,0.1198059649849106,0.0006477071247397657
9,6,0.07147479085642146,-0.08350669346402928,0.11580554579014878,0.0006191831826145402
10,6,0.0693747307924697,0.14557549686776444,0.12105912367042526,0.0006419441071240728
11,6,0.068689200639854,0.05876614599861301,0.11671090763915994,0.0006125406761619849
11,1,0.11420745246317386,-9.714451465470114e-17,NaN,0.0
11,2,0.08423665057699363,0.17698012528942325,0.12856448511244356,0.0004380731570105218
11,3,0.07949331060520666,0.16295852285415396,0.1166871800098006,0.0005247986403386281
11,4,0.07589381304802485,-0.0757730686506118,0.12244382933103422,0.0006071212305262612
11,5,0.07154442274512575,0.07723046907137732,0.1189535665001544,0.000611067060754361
11,6,0.068689200639854,0.05876614599861301,0.11671090763915994,0.0006125406761619849
11,7,0.06632731319459789,0.16909370849640937,0.11511175073861521,0.0006136853335201252
11,8,0.06444366887972876,-0.059718157563790716,0.1133172963102682,0.0006108670042618079
11,9,0.062462361708361745,0.08939506129309022,0.11447882794169531,0.000622760365975262
11,10,0.06142971156762229,-0.05749679724504317,0.11511100065509616,0.0006318622775566105
11,11,0.05982107932271286,-0.12176345450912635,0.11418314891095688,0.0006294299667321581
6,11,0.07099291678412749,0.10549698529671032,0.10869115272542612,0.0006073169096605774
7,11,0.06712421128587732,-0.06646451112443152,0.10772227224072484,0.0005999508243827265
8,11,0.06517583794011031,0.09661154402171998,0.11190655461623428,0.0006226753574949962
9,11,0.06303794728451535,-0.07311683885147435,0.109354025897777,0.0006067736124317379
10,11,0.061083664306015306,0.11202002750255624,0.11459260752657939,0.0006331706207451799
11,11,0.05982107932271286,-0.12176345450912635,0.11418314891095688,0.0006294299667321581
12,11,0.05918140002362784,0.062033543716135994,0.11526712586765765,0.0006371960605657173
13,11,0.05781384734730781,-0.1054969852967102,0.11874917236754123,0.00065152530254267
14,11,0.05726697627322861,0.1269818882738032,0.11582255399249405,0.0006312697458266876
15,11,0.05715515245002343,0.1286155871325647,0.11597169550038727,0.0006272781860417719
16,11,0.05573548788246756,-0.06631171914483511,0.11698762344144371,0.0006318645071640005
16,6,0.06490462712916613,-0.09001798244067565,0.12082619029449891,0.0006141170007148884
16,7,0.06290337195938667,0.11375950542411528,0.11939045805153108,0.0006182574416985886
