d,k,MSE,ES,NES,precision,recall
24,55,0.0371237316320398,0.5640689456908246,1.5381879235446136,0.09997495617330328,0.03100855479835118
25,55,0.038043403648743215,0.5567079256862609,1.5254243255909323,0.09953251523499457,0.030871325890175445
26,55,0.03892651999736567,0.5544125975041839,1.5273803497074434,0.09908172635445363,0.030731507757317148
27,55,0.03978204343103233,0.5571472563270339,1.5221302455403238,0.09944903581267217,0.030845433643349834
28,55,0.040953329850400934,0.5570660361157383,1.5262040861911756,0.0994323399282077,0.030840255193984714
29,55,0.04204353248384278,0.5621948963978859,1.5386258987378123,0.09957425494615577,0.030884272013588253
30,55,0.042878661981933644,0.5641648845810734,1.5384862637016543,0.0996243425995492,0.03089980736168362
31,55,0.043062872966137734,0.5573020961913848,1.5265409008112518,0.09954086317722681,0.030873915114858007
32,55,0.04315270094757235,0.556240536599483,1.5153178240466412,0.09974121379080057,0.030936056507239473
33,55,0.043748982083503765,0.5649855641006629,1.536084373014315,0.09972451790633609,0.03093087805787435
34,55,0.04438759520011815,0.5561123058520101,1.516621305788686,0.09960764671508474,0.030894628912318495
24,50,0.03946743170588186,0.5611861210269649,1.5281657945257205,0.10020202020202021,0.028253619736106222
24,51,0.03889948558943568,0.5615305093141296,1.5338568922487972,0.10003781126775779,0.02877146467261843
24,52,0.038544217877243186,0.5596726804091987,1.5278961818938614,0.09990640672458855,0.029297077283178326
24,53,0.038247015704442715,0.5645675594897519,1.5280444333346541,0.09995322002183066,0.02987447438738944
24,54,0.03765781159007326,0.5621727350741403,1.5456437212319767,0.10010032989830969,0.03048294218779129
24,55,0.0371237316320398,0.5640689456908246,1.549520262018076,0.09997495617330328,0.03100855479835118
24,56,0.03694826099917801,0.5684227603673858,1.5637797701775669,0.09985406008133281,0.031534167408911074
24,57,0.036517943648289426,0.5619342449224463,1.539830616329686,0.09974546098948013,0.03206236924415353
24,58,0.03657819339685847,0.5579776678831375,1.5260407697777245,0.09954561286849688,0.03255950038320525
24,59,0.03631319113702517,0.5557036877348447,1.5356277727141194,0.09934475728004233,0.033054042297574415
24,60,0.03592357348862666,0.5533782262436191,1.5268287655902284,0.09918120599938782,0.03355894111067382
19,60,0.032515662194182976,0.5560832094969133,1.5174764265426166,0.09940312213039486,0.03363402862646809
20,60,0.03325916846488036,0.5592290724072971,1.5294699834494345,0.09928833792470156,0.03359519025622967
21,60,0.033348238818094726,0.5567882692918018,1.5369672210262197,0.09933425160697888,0.03361072560432504
22,60,0.033683528855102514,0.5622264878043227,1.5565797034517568,0.09924242424242424,0.03357965490813431
23,60,0.03445852060743182,0.5698973633923746,1.5688615682514528,0.09954851545760637,0.03368322389543675
24,60,0.03592357348862666,0.5533782262436191,1.5282032845495448,0.09918120599938782,0.03355894111067382
25,60,0.03631733887968694,0.551902574745737,1.5091887613624992,0.09905876951331496,0.03351751351575284
26,60,0.036883723246147776,0.5472517162453288,1.4989118147376597,0.09876798285889195,0.033419122977815525
27,60,0.03790356201688247,0.5479863233823585,1.5089486632321265,0.09903581267217632,0.03350974584170516
28,60,0.03857784930225307,0.5506680825562618,1.5268019049755033,0.09905876951331496,0.03351751351575284
29,60,0.04048995507355178,0.5643066476603781,1.555362717314416,0.0993648607284971,0.03362108250305529
19,55,0.03342830526094687,0.5631883149743788,1.5326571226795687,0.0996660823107104,0.030912753485096423
19,56,0.033203180485591115,0.5653244464421164,1.5408083075957795,0.0996900826446281,0.03148238291525986
19,57,0.0327321796971989,0.5631482489149813,1.539846018096811,0.09970518582958775,0.032049423120740723
19,58,0.032649194983277556,0.5586519753768951,1.528863362675918,0.09955352902061367,0.03256208960788781
19,59,0.032330398084107856,0.5592802284192288,1.5381151526994161,0.09948483292088839,0.033100648341860515
19,60,0.032515662194182976,0.5560832094969133,1.5228175687312824,0.09940312213039486,0.03363402862646809
19,61,0.03221824779096774,0.5552645508115663,1.5233697764725467,0.09936925138117389,0.03418294425917103
19,62,0.03190604012595584,0.5547495148184546,1.5096176993571768,0.0991365265558814,0.03466195082544483
19,63,0.03167396936188679,0.5580401803648165,1.5294095722429033,0.09901322022534144,0.03517720653727448
19,64,0.03141203575556082,0.5626841937406597,1.541834397456434,0.09893681129476584,0.035707997597199496
19,65,0.031252695812772145,0.5629482948032525,1.5374237818637422,0.09902521720703539,0.036298340824823416
14,65,0.02711415279583558,0.5779613247095745,1.5801521501483227,0.09925831744013562,0.03638378523934793
15,65,0.027770985569359648,0.5726580974133939,1.5568015289590087,0.10005650914741823,0.03667636762847733
16,65,0.02918874795907969,0.5730241136008242,1.562278391272912,0.09862258953168045,0.03615075501791744
17,65,0.02933085458220925,0.5636664357833021,1.549631101709813,0.09894045348590803,0.036267270128632685
18,65,0.030429118009355237,0.5630728489880169,1.5296705217681539,0.0989828353464717,0.03628280547672805
19,65,0.031252695812772145,0.5629482948032525,1.5356271032112678,0.09902521720703539,0.036298340824823416
20,65,0.03207796877679948,0.5645951534738582,1.5578006066315886,0.09891926255562619,0.036259502454585
21,65,0.03230143358600736,0.5534640074640659,1.5307124365574372,0.09903934449388994,0.03630351927418854
22,65,0.032871715062557524,0.567342703336977,1.5604472999089611,0.09882037154764428,0.036223253309029146
23,65,0.032872399123341,0.5576195598743312,1.5309217473217076,0.09942784488239034,0.036445926631729395
24,65,0.03437647190312569,0.5468734066476673,1.5046956710743689,0.0989828353464717,0.03628280547672805
14,60,0.02792177750664721,0.5734786281669217,1.5596362947916795,0.09946434037343128,0.03365474242392858
14,61,0.027658865689216713,0.5725525645187229,1.5631726264502048,0.09933914404853302,0.03417258736044079
14,62,0.027545780608601456,0.5767346114828614,1.568603247759121,0.09935868953464261,0.03473962756592166
14,63,0.027378930864602767,0.5789705374991708,1.5834379886283665,0.09936303875697815,0.03530148932203741
14,64,0.027225976351482384,0.5792443345286209,1.5834700605601113,0.0992739898989899,0.03582969115727987
14,65,0.02711415279583558,0.5779613247095745,1.5830650300113607,0.09925831744013562,0.03638378523934793
14,66,0.026940544604500495,0.5793742862007045,1.577687623596418,0.09913877062637393,0.03689904095117758
14,67,0.026747764774389702,0.5798037206824047,1.5964107483264862,0.09913928977701027,0.037458313482610764
14,68,0.026678093805423377,0.5807524009361071,1.5979865344022919,0.09912628963431103,0.03801240756467883
14,69,0.026506896991823337,0.5796558381775656,1.5975860633715613,0.09916689956215648,0.03858721544420739
14,70,0.026222351877783285,0.5778066607752242,1.58992684544833,0.09898989898989899,0.03907657890921143
9,70,0.021938235397481298,0.5834254008282791,1.6010187297468217,0.09644496917224189,0.03807195973237774
10,70,0.023225414612202754,0.5708295013199769,1.5832267110402858,0.09664830119375574,0.03815222569753713
11,70,0.023632039710964385,0.5701445264400348,1.5713451790041408,0.09668765577856486,0.0381677610456325
12,70,0.02432333792014455,0.5877331346404719,1.6110186083278821,0.09769119769119769,0.038563912422064334
13,70,0.025171936674747167,0.5831482804235512,1.5931260138411407,0.0981962481962482,0.038763282722621535
14,70,0.026222351877783285,0.5778066607752242,1.588207495713494,0.09898989898989899,0.03907657890921143
15,70,0.027164824324646147,0.5652194561528905,1.5637577272094862,0.09938344483799029,0.03923193239016509
16,70,0.028022676809943088,0.569088512331921,1.5567749248774436,0.09845205299750755,0.03886426248524142
