d,k,invNES,MSE,ES,NES,precision,recall
1,28,0.6919399922863394,0.11358732952174133,0.503080615505145,1.445212028713292,0.08721959858323494,0.013772086086542245
2,28,0.6798974163176109,0.09293581073672959,0.5142952577012705,1.4708101192913707,0.08797389479207661,0.013891190421940054
3,28,0.6406983480813069,0.08242403285402394,0.5742701404473388,1.5607969069917074,0.09044995408631772,0.014282163349006774
4,28,0.602578951148063,0.07424348122616685,0.620439025958431,1.6595335733097725,0.09661550570641479,0.015255711829649729
5,28,0.6510236114506002,0.06899010832509418,0.578507146130389,1.5360425987804287,0.09518890200708383,0.015030449282266918
6,28,0.5759752851746508,0.06433264941639431,0.6510819663674817,1.73618560681258,0.09917355371900827,0.015659630880129255
7,28,0.6449094363925303,0.06025779967630315,0.5865767697969464,1.5506053153660795,0.09979666797848616,0.015758021418066575
8,28,0.6245478431357337,0.056845400678162954,0.6084777925016451,1.6011583595889047,0.10133805588351043,0.01600140853822731
9,28,0.6432880908524514,0.054777165470502216,0.5920192904628228,1.55451346639241,0.10094451003541913,0.01593926714584585
10,28,0.6665977482057165,0.05296361604537854,0.5748056013491747,1.500155082569216,0.10043617998163452,0.015859001180686456
11,28,0.6643598258815931,0.05115300550111516,0.5771685070052421,1.5052084142400068,0.10137085137085138,0.016006586987592435
12,28,0.6540520510616159,0.050002002563407213,0.5831096397984454,1.5289303020713156,0.10110848747212384,0.015965159392671457
13,28,0.6612238699933705,0.04958627638069389,0.5786263180123339,1.512347096619525,0.102994227994228,0.01626292023116598
14,28,0.6695580325977049,0.04897650508217377,0.5773387227976317,1.493522519803503,0.1016332152695789,0.016048014582513412
15,28,0.6661159872237051,0.0482597945329349,0.5794130637203625,1.5012400530542513,0.10414207005116095,0.016444165958945253
16,28,0.6662061810326687,0.04741603152569794,0.5812842350509724,1.5010368088298525,0.10381411517775155,0.016392381465294033
17,28,0.6555986989770364,0.04731386887772946,0.5839930007484723,1.5253233442353535,0.10368293322838777,0.016371667667833545
18,28,0.6594792899928905,0.04678592207147148,0.5781123694372516,1.5163478446924092,0.10340417158598977,0.016327650848230006
19,28,0.6693596365661246,0.046319082629983487,0.5734517181033117,1.4939651950483455,0.10319100091827364,0.016293990927356714
6,1,0.7460536666531628,0.101236366438518,0.6313691327618904,1.3403861474015057,0.11891643709825528,0.0006706091927833129
6,2,0.659671335240489,0.0973368596125898,0.6497930923805266,1.5159064015346995,0.1115702479338843,0.0012583631957246721
6,3,0.6497419613517093,0.08978145329850491,0.6237838743938198,1.539072523374697,0.10850933578206305,0.0018357602999357872
6,4,0.6623839474458745,0.08423698146662992,0.6040985588764789,1.5096984216721423,0.10709366391184573,0.002415746628829463
6,5,0.6447855677040519,0.08036285647038686,0.6110986506529682,1.550903199587412,0.10606060606060606,0.0029905545083580174
6,6,0.6366718189270515,0.07759153556810562,0.6142813760150065,1.5706679175548335,0.10575451484542393,0.0035783085112993766
6,7,0.6277568787519373,0.07527512117468284,0.6201944875068259,1.5929733848367074,0.10383051292142201,0.004098742672494149
6,8,0.6185078414832745,0.0731339838630832,0.6216763737655102,1.616794376611055,0.10416666666666667,0.004699442798848313
6,9,0.6089548978534894,0.07176456738311432,0.6269260115112807,1.642157741936076,0.10417304356698297,0.005287196801789672
6,10,0.6060655430255187,0.07099291678412749,0.6336023448660411,1.6499865592225138,0.10367309458218549,0.00584646933322286
6,11,0.6132568099430056,0.06988582510056839,0.6172973707452951,1.630638231466092,0.10267968945654896,0.006369492719100193
6,12,0.6167318803721851,0.06914421209005422,0.6153717317824053,1.6214501500984844,0.10181359044995408,0.006889926880294965
6,13,0.6089551034898619,0.06845649117833591,0.626999567345788,1.6421571874003489,0.101186692095783,0.00741812871553742
6,14,0.6023930845588943,0.06788138396090321,0.636908725508532,1.6600456174430616,0.10110848747212384,0.007982579696335729
6,15,0.6060641578044146,0.06736415081706289,0.6226511233049703,1.6499903304341483,0.1007346189164371,0.008521138430308429
6,16,0.6141092913363966,0.06710408190293893,0.6158020212780421,1.628374646186912,0.09994834710743801,0.00901826956936015
6,17,0.5976046047589229,0.06687224846734952,0.6248539124442953,1.6733472132521565,0.10022686760654675,0.009608612796984072
6,18,0.5983480600945823,0.06645092766299732,0.6265371924460104,1.6712680573275822,0.09996428935822875,0.01014717153095677
6,19,0.5920800750130745,0.06608231078971324,0.6265512236490586,1.6889607372413566,0.10040597361171524,0.010758228556041178
6,20,0.598206617346517,0.06576360058696894,0.6224845199594617,1.6716632197011292,0.10036730945821855,0.011320090312156928
6,21,0.5957769563436168,0.06557669206688006,0.6274748177854202,1.6784804940042795,0.10044164589619135,0.011894898191685481
6,22,0.5955862991144286,0.0655614379053475,0.6306491305552367,1.6790178039469514,0.10030052592036064,0.012443813824388425
6,23,0.5835602311170284,0.06547643570389486,0.6377649357668482,1.7136191718990834,0.10031141454066356,0.013010854029869297
6,24,0.5799063403062092,0.06516560980951044,0.6393643719326171,1.7244163936403383,0.10043617998163452,0.013593429583445534
6,25,0.5914800822754149,0.06492382824088383,0.6378784193691978,1.6906740057129483,0.1003305785123967,0.014144934440831038
6,26,0.5837661842405097,0.06472295022165749,0.638702952816788,1.7130146058408948,0.09998587271314544,0.014660190152660688
6,27,0.5788077745411948,0.06439178497798112,0.645015183341705,1.7276893020185724,0.0995816753392511,0.015162499741077532
6,28,0.5749433497899434,0.06433264941639431,0.6510819663674817,1.7393017944556655,0.09917355371900827,0.015659630880129255
6,29,0.5858302632634238,0.06431721231016789,0.638955786134818,1.7069790734766823,0.09914188911054114,0.01621372496219732
6,30,0.5833629244757024,0.06424181755796682,0.6349696460187277,1.7141987569723434,0.09903581267217632,0.01675487292085258
6,31,0.588788219090471,0.0640434641515608,0.6352029006849967,1.6984035474499597,0.09889214727924406,0.017288253205460156
6,32,0.5981467219266622,0.06388139806725936,0.624513100980592,1.6718306116916386,0.09882920110192837,0.01783457961348054
6,33,0.590611534415356,0.0637004269699918,0.6296337632809321,1.6931602952690317,0.09896485516320228,0.018417155167056776
6,34,0.6014952641420869,0.0635491291061876,0.6225076642595581,1.6625234804239077,0.09880894506562955,0.018945357002299233
6,35,0.5979003047230763,0.06347638254935853,0.620643126874955,1.6725196359670036,0.09884559884559885,0.01950980798309754
6,36,0.5958636220785668,0.06337102406035364,0.6229856330790298,1.6782363664216884,0.09865064789307214,0.020027652919609753
6,37,0.6023530670612144,0.06332863301356986,0.6231268979195101,1.6601559030467667,0.09854068944978035,0.02056103320421733
6,38,0.5939545409965494,0.06322463579830602,0.6246537468689151,1.6836305322662894,0.0984969310328162,0.02110735961223771
6,39,0.5940126757980734,0.06315752490606522,0.6203661607864864,1.6834657588013098,0.09831414376868923,0.02162261532406736
6,40,0.600855734471013,0.0630792107386716,0.6181253136878231,1.6642930118331805,0.09823232323232323,0.0221585848333575
6,41,0.6063573649817083,0.06302553027796463,0.6135670072948531,1.6491924692465252,0.09828887545073797,0.02272562503883837
6,42,0.6043252652572462,0.06295303226478953,0.6129345293190955,1.6547380318020048,0.09810223446587082,0.023235702301302896
6,43,0.6140769789673576,0.06301027816971565,0.6107329977541511,1.6284603303019392,0.09813782646763619,0.023797564057418646
6,44,0.6092593782481689,0.06296377321059221,0.6103929709573803,1.6413370654635557,0.0980257116620753,0.02432317666797854
6,45,0.6098944355020821,0.06291579893293402,0.6058244456329516,1.6396280106683905,0.09799000102030406,0.024866913851316362
6,46,0.6120577247929211,0.06289605382511135,0.6037000408995638,1.633832822448785,0.0981155427795744,0.02545207862957516
6,47,0.6231569123482419,0.06286975299660788,0.599726561116817,1.604732259539095,0.09810874704491726,0.026003583486960663
6,48,0.6139848217298929,0.06284077125433402,0.6060903342283315,1.6287047571998852,0.0980735384144475,0.026547320670298486
6,49,0.6126242527874187,0.06280844429052285,0.6050153797493798,1.632321925633919,0.09825528007346189,0.02715061002133521
6,50,0.6127495259894828,0.06279647552747127,0.6043342146674672,1.631988206576212,0.0983287419651056,0.027725417900863764
6,51,0.6117797384105478,0.06271997490832798,0.6049271030131433,1.6345752191762337,0.09848934982624823,0.02832611802721793
6,52,0.6164385024411055,0.06267106850005019,0.6019481543724018,1.6222218372797694,0.09849367803913259,0.028882801333968557
6,53,0.6152898158585137,0.06265714462236037,0.6049870013377184,1.6252503685676973,0.09828126895022264,0.029374754023655157
6,54,0.6081831295312157,0.06264795943189377,0.6068276949923086,1.644241596722347,0.09811073699962589,0.029877063612072
6,55,0.6107461711176368,0.06263549862651793,0.6076664083179123,1.6373414149613854,0.09798814592203021,0.03039231932390165
6,56,0.6093736160569898,0.06262008099452832,0.6077962642588794,1.6410293679444072,0.09771415453233635,0.03085837976676264
6,57,0.6080795156780399,0.06260471766058795,0.6069032768317526,1.6445217676588706,0.09782836337860261,0.031446133769704
6,58,0.60671073898799,0.06258439372796193,0.6059856503756226,1.6482319097697646,0.09796238244514106,0.03204165544669304
6,59,0.6121114930057785,0.06258653894949151,0.6071163394976063,1.6336893056679784,0.09788952701125274,0.032569857281935496
6,60,0.6066155341714635,0.06257919715242445,0.6071686374254726,1.6484905902810987,0.09784970921334557,0.03310841601590819
6,61,0.607318944887338,0.06259431382492134,0.6062151792712593,1.6465812707118948,0.09775850908488762,0.033628850177102966
6,62,0.6116618936996364,0.06261447304119551,0.6065769909173118,1.6348901415968564,0.09772208892443497,0.03416740891107567
6,63,0.6146863174709752,0.06262095851854468,0.6019375477129189,1.6268460376901408,0.0975483551241127,0.034656772376079704
6,64,0.614195658019147,0.06263188647221186,0.6005106778087279,1.6281456681493276,0.09745179063360881,0.035172028087909354
