d,k,γ,n_clusts,combined,MSE,ES,NES,precision,recall,silhouette,ES_clust,NES_clust,precision_clust,recall_clust,precision_network,recall_network
14.0,17.0,2.220446049250313e-16,1.0,65.23554481787791,0.05239554035443396,0.5922535801384667,1.5064560979644148,0.10414303462431805,0.009984050375955424,1.0,0.10814146186664786,1.535355477094068,0.10414303462431805,0.009984050375955424,0.06911636045494313,1.0
14.0,17.0,2.220446049250313e-16,1.0,65.4519643386228,0.05239554035443396,0.5922535801384667,1.4937550281842806,0.10414303462431805,0.009984050375955424,1.0,0.10814146186664786,1.5302787632034558,0.10414303462431805,0.009984050375955424,0.06911636045494313,1.0
14.0,17.0,2.220446049250313e-16,1.0,65.94244340638608,0.05239554035443396,0.5922535801384667,1.5053149031777535,0.10414303462431805,0.009984050375955424,1.0,0.10814146186664786,1.5188965689379446,0.10414303462431805,0.009984050375955424,0.06911636045494313,1.0
14.0,17.0,0.6909025018290669,1.0,82.9080973464984,0.057684977770265114,0.5957104688274036,1.5105890465690133,0.10617003714403632,0.007992936595065973,1.0,0.10814146186664786,1.5090258640243206,0.10617003714403632,0.007992936595065973,0.06866197183098592,0.9873417721518988
14.0,17.0,0.914884377816538,1.0,86.64631575796265,0.059663277798156805,0.5832177240501307,1.485460426406395,0.10383138934002657,0.007283489032044245,1.0,0.10814146186664786,1.5845663478819767,0.10383138934002657,0.007283489032044245,0.06872246696035242,0.9873417721518988
14.0,17.0,0.7487605492225528,1.0,81.79756398842417,0.05753791899501983,0.5901379122056689,1.497909079274219,0.1048796491349242,0.00786347536093792,1.0,0.10814146186664786,1.5546946337098217,0.1048796491349242,0.00786347536093792,0.06860158311345646,0.9873417721518988
14.0,17.0,0.7763192089828694,1.0,89.2962154746875,0.05898064993017807,0.6009884213221925,1.5223131010219455,0.10427149520696367,0.007350808873790832,1.0,0.10814146186664786,1.5234626662235857,0.10427149520696367,0.007350808873790832,0.06890459363957598,0.9873417721518988
14.0,17.0,0.33875124368225173,1.0,69.18448777520848,0.05388185126203578,0.6121213090906136,1.5460178539581042,0.10697252538256723,0.009466205439443213,1.0,0.10814146186664786,1.5269166986537555,0.10697252538256723,0.009466205439443213,0.0691768826619965,1.0
14.0,17.0,0.07667637209253199,1.0,66.11293596379791,0.05239554035443396,0.5922535801384667,1.5143310407593729,0.10414303462431805,0.009984050375955424,1.0,0.10814146186664786,1.5149796265618853,0.10414303462431805,0.009984050375955424,0.06911636045494313,1.0
14.0,17.0,0.3808306936232343,1.0,71.39961945751246,0.05403707110214694,0.6121743855030763,1.5497313551363818,0.10685140609405272,0.009424777844522236,1.0,0.10814146186664786,1.486048490306524,0.10685140609405272,0.009424777844522236,0.0691768826619965,1.0
14.0,17.0,0.7380207000875423,1.0,84.03214533858191,0.057581337194654136,0.5966974111712557,1.509916759783519,0.10607206711594004,0.007987758145700852,1.0,0.10814146186664786,1.4898057358735208,0.10607206711594004,0.007987758145700852,0.06860158311345646,0.9873417721518988
14.0,17.0,0.8650522187769609,1.0,90.55028431887894,0.05932150341575708,0.5856603637319285,1.4796580590973265,0.10270350234845964,0.007190276943472047,1.0,0.10814146186664786,1.5359057403579808,0.10270350234845964,0.007190276943472047,0.06872246696035242,0.9873417721518988
14.0,17.0,0.3075172671008951,1.0,68.23484472011718,0.05392800433010965,0.6110803468785544,1.5469218122122286,0.10726734819414746,0.00948174078753858,1.0,0.10814146186664786,1.545630624350107,0.10726734819414746,0.00948174078753858,0.06923751095530237,1.0
14.0,17.0,1.1009909523229475,1.0,92.68314952980153,0.060616360617162524,0.6019457340348705,1.5409877682092619,0.10459440613620516,0.006990906642914845,1.0,0.10814146186664786,1.5433545761947662,0.10459440613620516,0.006990906642914845,0.06890459363957598,0.9873417721518988
14.0,17.0,1.2371148032984385,1.0,91.42016635745843,0.061826570464914264,0.5996468636315204,1.5273572035734924,0.1051555484284798,0.006791536342357645,1.0,0.10814146186664786,1.6106084147244029,0.1051555484284798,0.006791536342357645,0.06902654867256637,0.9873417721518988
14.0,17.0,1.3049541755909615,1.0,95.45069952858017,0.062053889276037506,0.6081244723803982,1.5357969373972944,0.10580464371497197,0.006843320836008865,1.0,0.10814146186664786,1.530925238902374,0.10580464371497197,0.006843320836008865,0.06890459363957598,0.9873417721518988
14.0,17.0,1.211183195236834,1.0,98.10156473925734,0.06191983975314752,0.5909383837227543,1.5113444263009508,0.10512420496819873,0.00680448246577045,1.0,0.10814146186664786,1.4980591659289777,0.10512420496819873,0.00680448246577045,0.06890459363957598,0.9873417721518988
14.0,17.0,1.2261406984736327,1.0,95.72370759700041,0.06165910881098159,0.5986428730651024,1.5306473440866817,0.10569008231439303,0.0068484992853739875,1.0,0.10814146186664786,1.5254046773771581,0.10569008231439303,0.0068484992853739875,0.06890459363957598,0.9873417721518988
14.0,17.0,0.17175382260076702,1.0,66.42268237712261,0.05282853577957467,0.5970861289145764,1.5096134589108692,0.10532580412998949,0.00985199991714481,1.0,0.10814146186664786,1.5281260899171252,0.10532580412998949,0.00985199991714481,0.06923751095530237,1.0
14.0,17.0,1.0658371366482906,1.0,94.00162911309975,0.06054837379842791,0.5989672959867945,1.5394448831853689,0.10444470233259835,0.006990906642914845,1.0,0.10814146186664786,1.521707275847935,0.10444470233259835,0.006990906642914845,0.06890459363957598,0.9873417721518988
14.0,17.0,0.17807332640872367,1.0,66.44793382950868,0.05282853577957467,0.5970861289145764,1.5199892097410208,0.10532580412998949,0.00985199991714481,1.0,0.10814146186664786,1.5275453735430322,0.10532580412998949,0.00985199991714481,0.06923751095530237,1.0
14.0,17.0,0.6482560506797567,1.0,80.7683598297994,0.05794275644382499,0.6159978575761826,1.5736388530043952,0.10666573650981896,0.007917849079271703,1.0,0.10814146186664786,1.5636930892447087,0.10666573650981896,0.007917849079271703,0.0684811237928007,0.9873417721518988
14.0,17.0,0.8855572039252442,1.0,86.72416267748761,0.05968399717787109,0.5998982698147043,1.531119513622371,0.10607954127765934,0.007472502433871202,1.0,0.10814146186664786,1.5430991051668772,0.10607954127765934,0.007472502433871202,0.06878306878306878,0.9873417721518988
14.0,17.0,1.2539646554322164,1.0,94.51270953453191,0.06185224433887532,0.6055522440386585,1.5373514407354272,0.10624950051945976,0.006884748430929843,1.0,0.10814146186664786,1.53681542313952,0.10624950051945976,0.006884748430929843,0.06896551724137931,0.9873417721518988
14.0,17.0,0.19925512894982675,1.0,66.1538410076834,0.052822848324773894,0.5970861289145764,1.5251274105793702,0.10534038371030702,0.00985199991714481,1.0,0.10814146186664786,1.5343362132362144,0.10534038371030702,0.00985199991714481,0.06923751095530237,1.0
14.0,17.0,0.9864946002246472,1.0,96.11757295681748,0.060822605376502,0.5943961256859216,1.5054205010425905,0.10437710437710437,0.0069831389688671626,1.0,0.10814146186664786,1.4898636323817738,0.10437710437710437,0.0069831389688671626,0.06884377758164166,0.9873417721518988
14.0,17.0,0.1243975459623274,1.0,67.50012180553418,0.05282853577957467,0.5970861289145764,1.5278594312520657,0.10532580412998949,0.00985199991714481,1.0,0.10814146186664786,1.5037340850314969,0.10532580412998949,0.00985199991714481,0.06923751095530237,1.0
14.0,17.0,1.2032510076829352,1.0,94.4166977239369,0.06207263894233715,0.6007954802450355,1.5398416362391631,0.10577269272312677,0.006845910060691427,1.0,0.10814146186664786,1.5471057637886774,0.10577269272312677,0.006845910060691427,0.06902654867256637,0.9873417721518988
14.0,17.0,0.19414596277835147,1.0,68.68636642174945,0.052822848324773894,0.5970861289145764,1.5145599729974346,0.10534038371030702,0.00985199991714481,1.0,0.10814146186664786,1.4777639172163135,0.10534038371030702,0.00985199991714481,0.06923751095530237,1.0
