"","Arhgef8","Depdc","Tyrosinase"
"TVC.Cell.Ellipticity..oblate..min",0.336050115384615,0.304036252336449,0.300015090909091
"TVC.Cell.Ellipticity..oblate..max",0.555995769230769,0.515228028037383,0.5308165
"TVC.Cell.Ellipticity..oblate..mean",0.450368506410256,0.406172762672452,0.412184284090909
"TVC.Cell.Ellipticity..oblate..SD",0.102062656627883,0.094561188574091,0.105794995500062
"TVC.Cell.Ellipticity..prolate..min",0.264763384615385,0.273630514018692,0.252128681818182
"TVC.Cell.Ellipticity..prolate..max",0.480483,0.52443446728972,0.486524227272727
"TVC.Cell.Ellipticity..prolate..mean",0.366134237179487,0.392975278393413,0.364591860606061
"TVC.Cell.Ellipticity..prolate..SD",0.103874846962067,0.111547592119765,0.107275327576374
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.0765767153846154,0.0775705186915888,0.0556659727272727
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.126291392307692,0.133539064485981,0.125689245454545
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.100987571794872,0.103548963886293,0.0898066125
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",0.0229506045645213,0.024765563632337,0.0308578378619692
"TVC.Cell.Sphericity.min",0.425876461538462,0.405560542056075,0.403043772727273
"TVC.Cell.Sphericity.max",0.490481461538462,0.506412579439252,0.501991181818182
"TVC.Cell.Sphericity.mean",0.460709217948718,0.460625616110369,0.454772009848485
"TVC.Cell.Sphericity.SD",0.0287841855350469,0.0447651822474536,0.0466725611084167
"TVC.Cell.Volume.frac.min",0.0525702904928739,0.0621205031205831,0.061293536589783
"TVC.Cell.Volume.frac.max",0.128565339735927,0.109848432492264,0.147146553905386
"TVC.Cell.Volume.frac.mean",0.0850235148675838,0.083366830548402,0.10251808438366
"TVC.Cell.Volume.frac.SD",0.0352790596713594,0.0210655638579996,0.0402939980827186
"TVC.Nucleus.Ellipticity..oblate..min",0.328075153846154,0.303869196261682,0.325689818181818
"TVC.Nucleus.Ellipticity..oblate..max",0.509321769230769,0.491042813084112,0.532231954545455
"TVC.Nucleus.Ellipticity..oblate..mean",0.412421942307692,0.397151652725857,0.42229888030303
"TVC.Nucleus.Ellipticity..oblate..SD",0.0873954409171984,0.0834465703498478,0.0924848320067741
"TVC.Nucleus.Ellipticity..prolate..min",0.255677153846154,0.274588158878505,0.285427318181818
"TVC.Nucleus.Ellipticity..prolate..max",0.439794384615385,0.461820429906542,0.510193909090909
"TVC.Nucleus.Ellipticity..prolate..mean",0.335651858974359,0.36629736481976,0.400435907575758
"TVC.Nucleus.Ellipticity..prolate..SD",0.0826717993715081,0.0827970058913872,0.0985269692995623
"TVC.Nucleus.Sphericity.min",0.622308,0.616292420560748,0.5948295
