"","Arhgef8","Depdc","Tyrosinase"
"TVC.Nucleus.Ellipticity..prolate..max",1,0.092088508731948,1
"TVC.Nucleus.Ellipticity..prolate..mean",0.3623046875,0.00135205856273251,1
"TVC.Nucleus.Ellipticity..prolate..SD",1,1,1
"TVC.Nucleus.Sphericity.min",0.813720703125001,0.0273294810129287,1
"TVC.Nucleus.Sphericity.max",1,0.0119634923543193,1
"TVC.Nucleus.Sphericity.mean",0.813720703125001,0.00632381141485815,1
"TVC.Nucleus.Sphericity.SD",1,0.54372219881242,1
"TVC.Nucleus.Volume.frac.min",0.02734375,7.07014574611993e-10,0.00283241271972656
"TVC.Nucleus.Volume.frac.max",1,2.00380953117548e-12,0.927448272705078
"TVC.Nucleus.Volume.frac.mean",0.3623046875,3.55989324507215e-14,0.038001537322998
"TVC.Nucleus.Volume.frac.SD",1,1.92135787059123e-13,1
"ATMgroup.Ellipticity..oblate.",1,1,1
"ATMgroup.Ellipticity..prolate.",1,1,1
"ATMgroup.Sphericity",1,0.0731740234051973,1
"TVCgroup.Ellipticity..oblate.",1,1,1
"TVCgroup.Ellipticity..prolate.",0.3623046875,1,1
"TVCgroup.Sphericity",1,1,1
"TVC.Volume",1,2.24145328896899e-09,1
"ATM.Volume",1,2.24145328896899e-09,1
