"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.dist.min_Cell",1,1,0.286656785793376,1,1,1,1,6.0403426126515e-20,1,1,1,0.296934350034422,1,1,1,0.02632308786563,1,1,1,1,1,1,3.80992832734674e-05,1,1,1,1,1,1,1,0.655181557245476,0.956200707191031,1,1
"TVC.dist.max_Cell",1,1,1,1,1,1,1,0.0161312799795102,1,1,1,1.48939077211377e-07,1,1,1,0.282516945954516,1,1,1,1,1,1,6.11713518879302e-05,1,1,1,1,1,0.568011498076453,1,1,0.381218022738742,1,1
"TVC.dist.mean_Cell",1,1,1,1,1,1,1,1.93499620579105e-09,1,1,1,6.71619728857457e-05,1,1,1,0.0473919777771233,1,1,1,1,1,1,2.13021966446312e-05,1,1,1,1,1,1,1,0.548146300248279,0.447110328950615,1,1
"TVC.dist.sd_Cell",1,1,1,0.564741823442597,1,1,1,1,1,1,1,8.33771772768265e-05,1,0.946926700320865,1,1,1,1,1,1,1,0.264573101736534,0.000382257643490849,1,0.523041686888292,1,1,1,1,1,1,0.364846221716547,1,1
"TVC.ATM.dist.min_Cell",1,1,1,1,1,1,0.56353508747217,1,1,1,1,1,1,1,0.000224890492336544,1,1,1,0.407386517698876,1,1,9.64389737031827e-10,8.9081396368252e-07,0.668072061281749,1,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.max_Cell",1,1,1,1,1,1,NA,0.344210313576907,1,1,1,0.118753657040235,1,1,NA,0.102214300981419,1,1,1,1,1,9.21977102976297e-40,0.0227678927816427,NA,1,1,NA,1,1,1,NA,0.984777679067202,NA,1
"TVC.ATM.dist.mean_Cell",1,1,1,1,1,1,0.0235994979043232,1,1,1,1,0.297756558551411,1,1,9.555878052797e-09,1,1,1,1,1,1,1,0.000674954074997629,0.225886311741816,1,1,1,1,1,1,0.216166080737941,1,1,1
"TVC.ATM.dist.sd_Cell",1,1,1,1,1,1,1,1,1,1,1,0.000421385344177644,1,1,0.535757892770269,0.018251949626033,0.2391188351078,1,0.193399857982606,1,1,3.22123345958317e-13,1,1,1,1,1,1,0.226525412790829,1,1,0.048425746758826,1,1
"TVC.cosine.min_Cell",1,0.00687873806698825,1,0.0035247424528096,1,0.210855273211247,1,5.32412562398178e-29,1,1,1,4.84310091780129e-14,1,0.634295993318101,1,0.0218678915745389,1,0.179788043316304,0.457468329022115,1,1,0.00445295661296128,0.0676455517859601,1,0.767026163422226,1,1,1,0.00221568022607143,1,1,1,1,1
"TVC.cosine.max_Cell",1,0.0172324275728618,1,1.36272315042312e-16,1,1,1,2.39560069891932e-34,0.718399047837195,1,1,2.57024337962733e-15,1,2.32463816611558e-09,0.0395563046343478,0.193805516796528,0.783831892124753,1,1,1,1,1,9.7530265743234e-05,1,1,1,1,1,0.216625642933912,1,1,0.000463603709552074,1,1
"TVC.cosine.sd_Cell",1,0.00282659555824318,1,5.09632240862345e-05,1,1,1,2.86850064327219e-27,0.447433282850989,1,1,3.8930910518629e-07,1,0.186768538261399,0.215590791874384,0.0114162578798222,1,0.652425867607864,1,1,1,0.0170978283642346,0.0485752899207986,1,1,1,1,1,0.233902988455627,1,1,0.771961194825835,1,1
"ATM.Cell.Ellipticity..oblate..min",1,1,1,0.975027817037513,1,1,1,0.0575222106780441,1,1,0.00729505348015064,0.00933089610069353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1,1,1,1,1,1,1,1,1,0.0137905437749916,1,1,1,1,1,1,1,1,1,0.289998319697489,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,1,1,1,1,1,1,0.349253679956601,1,1,0.786556038764708,0.0029714492452094,1,1,1,1,1,1,1,1,1,0.939791786859004,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.167786597793908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000387040101288859,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00729003546724652,0.00877290003293684,1,1,1,1,1,1,1,1,0.581201825705698,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.287937096794481,0.00144843798957522,1,1,1,1,1,1,1,1,0.851451797137259,1,1
