"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.dist.mean_Nucleus",0.551052263814603,0.968701844142384,1.2335796856138,0.581567737784486,0.810624970942671,0.979153725506856,0.979577089670571,1.18877250774636,1.02414692351238,0.532561052366951,0.634004086975513,1.24156848501243,0.962498400708586,0.508529328042639,0.88254159556255,1.47419490327721,0.504765408750586,1.31584334142888,0.903334702119267,0.982624895638482,0.941503074195202,1.79622418535447,0.641644885096419,0.999816142633447,1.04876758894339,0.809993220515812,0.849421759791684,1.09223327404535,1.60381010033332,1.04161321708144,0.927198165602263,0.486455017614605,0.992094274995686,0.870376405254503
"TVC.dist.min_Nucleus",0.969903239353906,1.02126189636952,0.749184617497086,1.01705959177064,1.3089963403404,1.14795501054115,0.778034495166853,0.641043466999954,1.13851850125115,1.05034587433613,1.01766433873024,0.858340795935407,0.940505022875464,1.19226703325526,0.90322959816659,0.816286676954762,1.1288969500929,1.05002474601505,1.10969390093806,1.11398452029059,1.11747040852905,0.862906998541416,1.4917826713079,0.934905451968958,1.03218823799973,1.33421652934308,0.944566898407693,0.945654544261438,0.896992685915885,1.05098011380846,0.81585023271831,1.28328261873682,0.971151302786542,0.978984551578028
"TVC.dist.max_Nucleus",1.18686416878877,0.861728914829443,0.866413127181289,1.45279875354322,1.01953394219079,0.989799386140005,0.647066063035568,0.822329634504998,0.814152322831077,1.14198200009172,1.03785746238367,0.563193632187639,0.883882998975655,1.52471409305913,0.955537449047803,0.84211190414661,1.25818260088948,0.862494473810208,0.879032312412687,1.17360627818684,1.01587416982069,1.01682665215106,1.84771461062006,0.820074454529136,0.754198645768119,1.20355227114046,0.839525523520722,0.878272130191679,0.63231943899033,0.86377787533108,0.786068954134664,1.53970294130113,0.947746724122686,1.18278083594794
"TVC.dist.mean_Nucleus",1.10086641472374,0.917170862628502,0.821629487988205,1.26266379955423,1.15910544564632,1.07125173700625,0.711690307488988,0.747866180816335,0.917547551564826,1.0999072438944,1.02249961365831,0.688499700219971,0.890461739356212,1.39070553495099,0.93871150519512,0.840693723978694,1.23188463901566,0.938926536649707,0.987972836989601,1.12912443740376,1.06212794179632,0.978502188613707,1.65190146126955,0.874185649718571,0.875533949507382,1.26844515699368,0.86174428757909,0.901725249055405,0.760574997052972,0.90987038794083,0.808898590856741,1.43579491998842,0.970361790290424,1.1036309475776
"TVC.dist.sd_Nucleus",1.21352133494063,0.735271938456713,1.02582692793651,1.59627681800755,0.992764386372457,0.904297847504463,0.523928913389923,0.987218194914139,0.556213901538873,1.15252157253877,0.984298055011326,0.424285694410714,0.838222803041282,1.67930865442975,1.02692121306872,0.958485804217801,1.28045960629783,0.773171866819138,0.751957695578241,1.13041397227748,0.9891588468556,1.29175846997788,1.95963202242298,0.698928367671572,0.584677603811707,1.09258673867304,0.795410810659398,0.841546995514448,0.484283283009753,0.714592109254424,0.733399444110438,1.61760762778271,0.94994961251568,1.16799737491641
"TVC.ATM.dist.min_Nucleus",0.997838809412785,1.0993130564605,0.917123877577911,0.889446537949522,1.04931131210821,1.06646988586014,1.23318498972122,1.01228333945985,1.06831231919677,1.12312753863417,1.03192717072244,1.06094320974628,1.04551144110031,1.01505358063968,1.19188189899559,0.94400293927515,1.01224745419951,1.03603434013968,1.2130600804748,0.922086516359397,1.05609458498616,0.799870810844749,0.605946446237611,1.22766916023631,1.12678029226504,0.944990969895673,1.12713365763587,0.975182684138479,0.890104286208023,1.0231119593069,1.168436641022,0.866571314022061,1.00935985574415,0.963970916765434
"TVC.ATM.dist.max_Nucleus",0.924983583508229,1.01037332611304,0.996136166855016,0.894150797391288,0.97123276268364,0.97123276268364,1.07914751409293,1.04889104173519,1.04317593028984,0.97123276268364,1.01439866324736,1.05462143422719,1.03721274644662,0.965553038925256,1.07914751409293,1.06085687826085,0.92926591491336,1.0191948744211,1.01566824855806,0.996136166855016,1.00720434648674,1.07787975883229,0.749916069115428,1.07914751409293,1.04542415427753,0.959242234749274,1.07914751409293,1.04317593028984,1.03598161352922,0.97123276268364,1.07914751409293,0.81594080333856,1.07914751409293,1.00720434648674
"TVC.ATM.dist.mean_Nucleus",0.948178476975076,1.04001736171314,0.96157637569862,0.898166175578772,1.00444386293716,1.00883745469244,1.13184644160912,1.03316886729766,1.04738933812014,1.02489166370662,1.00975300718447,1.0572857564759,1.0368842473533,0.987807936042712,1.12011237958929,1.01424522027678,0.961400667357436,1.02718874063499,1.09187504016735,0.967236998910011,1.02854613052392,0.99559826205942,0.696917450765834,1.11931567611435,1.07249031813048,0.958246034771115,1.09249582951354,1.01171828386151,0.987785342614344,0.994477346877516,1.112280297871,0.83478308498664,1.04584645072804,0.997138385639337
"TVC.ATM.dist.sd_Nucleus",0.796447970055045,0.961897061545721,1.13092831386527,0.835727645612696,0.903658585726634,0.885129481492049,0.850768626714774,1.03222037077511,1.03516176353591,0.759950029766112,0.975104632472845,1.17924417133636,1.03857045743624,0.895018347988041,0.879091603073786,1.17117443127387,0.785626152210888,1.04554697340271,0.74719971617786,1.09445294842075,0.930371817737005,1.42696867503422,0.860107357466074,0.86143818188419,0.975821011568254,0.970868040135943,0.941885377537087,1.10351136331385,1.38011886098039,0.926413152167484,0.916898249080511,0.715817583095275,1.17351141180526,1.06938901732409
"TVC.cosine.min_Nucleus",1.21591551605614,0.475731948807977,1.35211555638644,1.61527905457863,0.64021661320494,0.612177886901328,0.619656705094062,1.76649128434474,0.510888257223111,1.18139237284275,1.12105616418817,0.235301215050593,0.824880115110583,1.49259626188081,1.32050841728847,1.39630686494357,1.30060617515682,0.395821141830223,0.431642033316511,1.26200906499858,0.981854073172891,1.41768649931198,1.36454545693069,0.59452073457318,0.487430527310023,0.760850166414243,0.849172945914342,0.821539818548193,0.139461475914424,0.383910543245976,0.956024918523761,1.29682997146591,1.18758913829267,1.1840413928929
"TVC.cosine.max_Nucleus",1.03037433627311,0.689828388996432,1.07772359053009,1.36649086018042,0.993300203991599,0.820469613918287,0.776127181294021,1.37006826809447,0.630378653340627,1.11307696023814,1.04100785751751,0.366338994553495,0.953762106434282,1.36048366157457,1.26437029681467,1.18547947670736,1.19968804879823,0.793190230010208,0.848931795846459,1.13939306233785,0.975832551437228,1.14669740335065,1.25008259430049,0.797638628807046,0.73066074611625,0.940510334290174,0.837179901295018,1.10086137339313,0.589489629881419,0.594448193800432,1.0822911034169,1.27049886569992,1.1527041160797,1.14841172949614
