"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.Nucleus.Dist.to.Cell.Membrane.SD",1,1,1,1,1,1,1,4.62834621074298e-10,1,1,1,9.07755928907487e-07,1,1,1,2.00740817914454e-05,1,1,1,1,1,1,0.164514380417883,1,1,1,0.859375,1,1,1,1,1,1,1
"ATM.dist.mean_Cell",0.961158569370812,1,1,0.304381014166936,1,1,1,1.96520929961326e-06,1,0.202294204057425,0.0978677737122184,1.50371436135718e-05,1,1,1,5.70537016683351e-05,0.0149928942686223,1,1,1,1,5.34898871803821e-08,0.00321103890828826,1,1,1,1,1,0.134778855092552,1,1,0.00117625657255921,1,1
"TVC.dist.min_Cell",1,1,0.62255859375,1,1,1,1,1.54878475829776e-13,1,1,1,0.101884291576347,1,1,1,0.000679855615158036,1,1,1,1,1,1,0.000565250371279008,1,1,1,1,1,0.544977640183221,1,0.32562255859375,1,1,1
"TVC.dist.max_Cell",1,0.0576421965598783,1,1,1,0.233621678562016,1,1.19515508218889e-08,1,1,1,6.83918637080625e-08,1,1,1,0.000461098059200644,1,0.524625534524217,0.649251127920731,1,1,1,0.00321103890828826,1,0.0124004445970058,1,1,1,0.0240609155955957,1,1,1,1,1
"TVC.dist.mean_Cell",1,0.178042744931688,1,1,1,1,1,3.88257110593627e-12,1,1,1,6.31178362935875e-06,1,1,1,7.70841952376128e-05,1,0.483867626608117,1,1,1,1,0.000531618938843095,1,0.0251272544264793,1,1,1,0.061867694174366,1,0.48480224609375,1,1,1
"TVC.dist.sd_Cell",1,0.0184591850413306,1,1,1,0.698327587981719,1,0.00363260601179272,0.253919967865828,1,1,9.45063760104456e-08,1,1,1,1,1,0.460009159661558,0.966047798022568,1,1,0.322739204253133,0.00902507518470083,1,0.148096955800938,1,1,1,0.0401890460707833,1,1,1,1,1
"TVC.ATM.dist.min_Cell",1,0.0801824711701557,1,1,1,1,0.5859375,1,1,1,1,0.195337187071406,1,1,0.000535041093826294,1,1,1,0.0221757270799155,1,1,9.18527859491586e-07,4.72815545549425e-05,1,0.163221088703722,1,1,1,1,1,1,1,1,1
"TVC.ATM.dist.max_Cell",1,3.13051456334589e-07,1,1,1,0.00263372364154622,NA,1.18285899580093e-17,0.000308253455815125,0.112969126301457,1.34446868747315e-05,3.29717816960415e-15,0.00126564966647763,1,NA,1.3214986964349e-10,0.540906216478486,0.000475741218721816,0.00124279324959251,0.062143714768687,0.000139410576665566,1.34166768328982e-11,1,NA,0.000111173993744609,1,NA,0.000305501192816776,0.00381345403350728,1,NA,1,NA,0.562216640058152
"TVC.ATM.dist.mean_Cell",1,0.000691113698542897,1,1,1,0.0727391176681867,0.21484375,1.93771364881095e-10,0.0496915429830552,0.5485988122646,0.408408205171395,5.54474386793596e-07,0.618122711777688,1,9.96515154838563e-07,0.365346821997311,1,0.0365519052781419,0.00925621030879748,1,0.02549026592072,1,0.0464824466073524,0.859375,0.00238233245909214,1,1,1,1,1,0.48480224609375,1,1,1
"TVC.ATM.dist.sd_Cell",1,1,1,1,1,1,1,0.406673704205144,1,0.820890491060615,1,0.000146681361461144,1,1,0.164032593369484,0.00616831451216412,0.16925426271575,1,0.300595422297434,1,1,4.31161787610716e-08,1,1,1,1,1,1,0.0693508982658386,1,1,0.125049977597065,1,1
"TVC.cosine.min_Cell",1,0.0495487381534588,1,0.00464757811278106,1,0.29130222152553,1,6.19112361388874e-14,0.952651716734366,1,1,1.86728703525746e-09,1,0.657333374023438,1,0.121388995864974,1,0.754688846094482,0.547646542001174,1,1,0.0247891257457049,0.0562356099752714,1,1,1,1,1,0.0694620883927754,1,1,1,1,1
"TVC.cosine.max_Cell",1,0.143985383431546,1,1.28056854009629e-08,1,1,1,9.68564457962484e-15,1,1,1,7.06453889897721e-11,1,0.00042724609375,0.036563499876152,0.0608745070956634,0.228661446343479,1,1,1,1,0.868828221015782,0.000108240354264041,1,1,1,1,1,0.946764562081516,1,1,0.000950275973540445,1,1
"TVC.cosine.sd_Cell",1,0.00106998149024751,1,7.9037854447961e-05,1,1,1,6.8311055173183e-15,0.422924579033887,1,1,9.01417991204642e-06,1,0.101337432861328,0.0341481060464375,0.121388995864974,1,0.628644899261417,1,1,1,0.286005866553832,0.0181304371451056,1,1,1,1,1,0.714608073234558,1,1,0.0780679144651621,1,1
"ATM.Cell.Ellipticity..oblate..min",1,1,1,1,1,1,1,0.115627096641855,1,1,0.0261125369457245,0.00384169728833417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1,1,1,1,1,1,1,1,1,0.00909288950972585,1,1,1,1,1,1,1,1,1,0.353437183870672,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,1,1,1,1,1,1,0.504243699799741,1,1,1,0.000825194259847971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.178484496286283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.229763636067425,1,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1,1,1,1,0.947265625,1,1,1,1,1,1,1,1,0.400282813875776,1,1,1,1,1,1,0.00175025380027157,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1,1,1,1,1,1,1,1,0.119660031761053,1,1,1,1,1,1,1,1,1,1,0.0262326127327177,0.328682558702459,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,1,0.354608408836146,1,1,1,1,0.236558624263939,1,1,1,1,1,0.683062297831522,0.0105618848223624,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,0.326588728472927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.213130757837081,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",1,1,1,1,1,1,1,0.769740592697808,1,1,1,0.0149195264710074,1,1,0.000712540000677109,0.00084631554369627,1,1,0.676139612322787,1,1,1,1,1,1,1,1,1,1,0.21875,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",1,0.262914251391675,1,1,1,0.00607344217613117,1,0.110575102956048,1,1,1,0.000671430396934579,1,1,0.00241401046514511,0.00399628219052373,1,0.518327872676309,1,1,1,0.0926170902084398,1,1,1,1,1,1,0.218189477920532,1,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",1,1,1,1,0.638671875,0.122376847598065,1,0.357684249376531,1,1,1,4.74651821934495e-05,1,1,0.000464301556348801,0.000827996685305251,1,0.507564571426678,0.538659346758355,1,1,0.665473581718413,1,1,1,1,1,1,0.0429689884185791,0.21875,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,0.0363319579146171,1,1,1,0.0134295560434685,1,0.769740592697808,1,0.0635202886699123,1,1,1,1,1,1,1,1,1,1,0.0169644483330041,0.0288174266815037,1,1,0.127071434458219,1,1,1,1,1,1,1,1,1
"ATM.Cell.Sphericity.min",1,0.0517298088637626,1,1,1,1,1,0.919639487864265,1,1,0.59099780135066,0.000718441988531397,1,1,0.568916499614716,1,1,0.0499836861313468,1,1,0.00483283627174907,2.48535510221999e-06,1,1,1,1,1,1,0.714608073234558,1,0.10272216796875,1,1,0.8863525390625
