d,k,γ,n_clusts,combined,MSE,ES,NES,precision,recall,silhouette,ES_clust,NES_clust,precision_clust,recall_clust,precision_network,recall_network
29.0,78.0,2.220446049250313e-16,1.0,15.255237275026767,0.04187375004162104,0.52065345672588,1.4096386051186764,0.09641873278236915,0.04241150030035006,1.0,0.10814146186664786,1.5456010256300001,0.09641873278236915,0.04241150030035006,0.06833910034602077,1.0
29.0,78.0,2.220446049250313e-16,1.0,15.400675246771401,0.04187375004162104,0.52065345672588,1.420984150340008,0.09641873278236915,0.04241150030035006,1.0,0.10814146186664786,1.5310049722302523,0.09641873278236915,0.04241150030035006,0.06833910034602077,1.0
29.0,78.0,2.220446049250313e-16,1.0,15.72986466799874,0.04187375004162104,0.52065345672588,1.4152372799686743,0.09641873278236915,0.04241150030035006,1.0,0.10814146186664786,1.498964604983483,0.09641873278236915,0.04241150030035006,0.06833910034602077,1.0
29.0,78.0,1.1049015511453328,1.0,26.805059051498592,0.049394520070510914,0.5344000203399972,1.4500111241773046,0.09806309259895296,0.02439567495909025,1.0,0.10814146186664786,1.529221493132461,0.09806309259895296,0.02439567495909025,0.06833910034602077,1.0
29.0,78.0,0.517449057188942,1.0,17.953523046704166,0.043667037519274594,0.5506750711016988,1.4795568715262082,0.10029319371727749,0.03719939101435466,1.0,0.10814146186664786,1.4973195197837061,0.10029319371727749,0.03719939101435466,0.06833910034602077,1.0
29.0,78.0,1.3282701063296625,1.0,27.554139142936442,0.04937347189866023,0.534182240752623,1.4719818593017848,0.09517552481557738,0.023818277854879135,1.0,0.10814146186664786,1.5237116761921408,0.09517552481557738,0.023818277854879135,0.06833910034602077,1.0
29.0,78.0,0.6894877114758633,1.0,20.9203709591253,0.04638256554704153,0.5292649541997991,1.4396284631530165,0.095465919001084,0.030327588706837626,1.0,0.10814146186664786,1.576132546563229,0.095465919001084,0.030327588706837626,0.06833910034602077,1.0
29.0,78.0,1.1840591667911071,1.0,27.253288004557753,0.0493554485399083,0.5278145066718951,1.4452991621053575,0.09477281330891456,0.023983988234563044,1.0,0.10814146186664786,1.5298881889672158,0.09477281330891456,0.023983988234563044,0.06833910034602077,1.0
29.0,78.0,0.8650870512869825,1.0,23.4589084163265,0.04696582389290715,0.5342694075890821,1.4900550761432936,0.09651293187845993,0.02807755245769207,1.0,0.10814146186664786,1.5182138637132054,0.09651293187845993,0.02807755245769207,0.06833910034602077,1.0
29.0,78.0,1.451955368264519,1.0,30.074256150023256,0.050585901519076125,0.5294608826642253,1.438226664380762,0.09470407735270095,0.022215547776373842,1.0,0.10814146186664786,1.4967459074955376,0.09470407735270095,0.022215547776373842,0.06833910034602077,1.0
29.0,78.0,0.6014086427320486,1.0,18.87367641872058,0.04469259709757862,0.5335499119433824,1.4511608326008196,0.09814024277070418,0.03422696107877457,1.0,0.10814146186664786,1.54801496229395,0.09814024277070418,0.03422696107877457,0.06833910034602077,1.0
29.0,78.0,0.2056924785191602,1.0,15.60181395773858,0.04187375004162104,0.52065345672588,1.421498319139926,0.09641873278236915,0.04241150030035006,1.0,0.10814146186664786,1.5112672438204093,0.09641873278236915,0.04241150030035006,0.06833910034602077,1.0
29.0,78.0,1.1929240999245012,1.0,27.69875293412657,0.04930678348122995,0.5399708476042535,1.4714201902076733,0.09520923639501201,0.02399952358265841,1.0,0.10814146186664786,1.504309377957198,0.09520923639501201,0.02399952358265841,0.06833910034602077,1.0
29.0,78.0,1.182244933091443,1.0,27.280068870667584,0.04920150794885871,0.5443641534231336,1.4940355937038898,0.09577716771029335,0.024118627918056218,1.0,0.10814146186664786,1.5198542419972672,0.09577716771029335,0.024118627918056218,0.06833910034602077,1.0
29.0,78.0,0.313131614981869,1.0,15.992798403186054,0.04237061067673235,0.5312364313883733,1.4376074790970321,0.09781296620713989,0.04091233920914721,1.0,0.10814146186664786,1.5283443849414624,0.09781296620713989,0.04091233920914721,0.06833910034602077,1.0
29.0,78.0,0.04254079958639718,1.0,14.90525745550563,0.04187375004162104,0.52065345672588,1.4188924161045953,0.09641873278236915,0.04241150030035006,1.0,0.10814146186664786,1.581892191322134,0.09641873278236915,0.04241150030035006,0.06833910034602077,1.0
29.0,78.0,0.31670975057311906,1.0,15.733749289441986,0.04237548212658383,0.5313191914863225,1.429388046424029,0.09781336503984989,0.04089680386105184,1.0,0.10814146186664786,1.55409801509203,0.09781336503984989,0.04089680386105184,0.06833910034602077,1.0
29.0,78.0,1.3080937962180792,1.0,27.68286203799946,0.04993836650663657,0.5312831442049442,1.444428730825945,0.09513370861843296,0.023147668662095822,1.0,0.10814146186664786,1.5605646119713172,0.09513370861843296,0.023147668662095822,0.06833910034602077,1.0
29.0,78.0,1.220757623540154,1.0,26.430755473336113,0.049678919565511494,0.533906530222624,1.4453455287344923,0.09712768924097046,0.02434906891480415,1.0,0.10814146186664786,1.553846322724139,0.09712768924097046,0.02434906891480415,0.06833910034602077,1.0
