d,k,γ,n_clusts,combined,MSE,ES,NES,precision,recall,silhouette,ES_clust,NES_clust,precision_clust,recall_clust,precision_network,recall_network
3.0,92.0,2.220446049250313e-16,1.0,14.320262917490249,0.08433895293461029,0.5728991018089008,1.5806177082054775,0.08983610811674053,0.04660863351078153,1.0,0.10814146186664786,1.4982443136409413,0.08983610811674053,0.04660863351078153,0.06833910034602077,1.0
3.0,92.0,2.220446049250313e-16,1.0,13.660455024606733,0.08433895293461029,0.5728991018089008,1.5867507848640086,0.08983610811674053,0.04660863351078153,1.0,0.10814146186664786,1.570610382108459,0.08983610811674053,0.04660863351078153,0.06833910034602077,1.0
3.0,92.0,2.220446049250313e-16,1.0,13.95093689752081,0.08433895293461029,0.5728991018089008,1.556688432398826,0.08983610811674053,0.04660863351078153,1.0,0.10814146186664786,1.5379076433057168,0.08983610811674053,0.04660863351078153,0.06833910034602077,1.0
3.0,92.0,0.7663852910800866,1.0,16.738849827000138,0.08577326320917314,0.5666345569623277,1.5621996386059875,0.09075236892355396,0.03925523541230814,1.0,0.10814146186664786,1.5218673532409448,0.09075236892355396,0.03925523541230814,0.06833910034602077,1.0
3.0,92.0,0.576201889594435,1.0,16.495222922796454,0.0858565853684761,0.5685104125215545,1.5688326491783746,0.09075509532217998,0.0392578246369907,1.0,0.10814146186664786,1.5442427822887876,0.09075509532217998,0.0392578246369907,0.06833910034602077,1.0
3.0,92.0,1.2682687475705037,1.0,19.120174999497387,0.0866802356474709,0.5556770187994631,1.5243322080360255,0.08947929446310413,0.03455838183814239,1.0,0.10814146186664786,1.513403514727927,0.08947929446310413,0.03455838183814239,0.0683982683982684,1.0
3.0,92.0,0.02899564814902939,1.0,14.277021291351765,0.08433895293461029,0.5728991018089008,1.5650437640078485,0.08983610811674053,0.04660863351078153,1.0,0.10814146186664786,1.5027821313798428,0.08983610811674053,0.04660863351078153,0.06833910034602077,1.0
3.0,92.0,1.118451486860871,1.0,18.477105246843543,0.08652331856628942,0.5613978538582678,1.538450568297446,0.09118543077533507,0.03510729747084533,1.0,0.10814146186664786,1.5415892325663554,0.09118543077533507,0.03510729747084533,0.06833910034602077,1.0
3.0,92.0,0.41453782102528763,1.0,16.14123380434603,0.08529506545859544,0.5753693112567737,1.5845915436280202,0.08939516198259138,0.040446278766286224,1.0,0.10814146186664786,1.5317387557207143,0.08939516198259138,0.040446278766286224,0.06833910034602077,1.0
3.0,92.0,1.2168997046266257,1.0,18.43807296982085,0.0865046219607059,0.565230334424734,1.5488154965335694,0.09047319863761119,0.03542059365743522,1.0,0.10814146186664786,1.5311884158881475,0.09047319863761119,0.03542059365743522,0.06833910034602077,1.0
