"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.dist.min_Cell",1,1,0.142723656908947,1,1,1,1,2.90727210219411e-22,1,1,1,1,1,1,1,0.00603778730124919,1,1,1,1,1,0.721971824521724,0.000122742750503904,1,1,1,1,1,1,1,0.249368649027256,1,1,1
"TVC.dist.max_Cell",1,1,1,1,1,1,1,0.00407617348366083,1,1,1,0.00020511064338257,1,1,1,0.123922307318513,1,1,1,1,1,1,0.000122138061127529,1,0.836716540789243,1,1,1,1,1,1,0.599761688768709,1,1
"TVC.dist.mean_Cell",1,1,1,1,1,1,1,6.63366248797994e-11,1,1,1,0.0384554940430066,1,1,1,0.0128143932156713,1,1,1,1,1,1,5.37567867519114e-05,1,1,1,1,1,1,1,0.231261780364259,0.733758080360477,1,1
"TVC.dist.sd_Cell",1,1,1,1,1,1,1,0.027075896419159,1,1,1,1,1,1,1,0.79014727069495,1,1,1,1,1,0.184174460963497,0.00425082058823413,1,1,1,1,1,1,1,0.685457114864824,1,1,1
"TVC.ATM.dist.min_Cell",1,0.620646370960091,0.346084107412119,1,1,0.771229916455076,1,0.283446156824481,1,0.138601934760985,1,1,1,1,0.0584975241666631,0.00266223572391659,0.727896681100441,1,0.000301712220552313,1,1,2.20114480364206e-14,0.0015172920799592,1,1,1,1,1,0.55372397970931,1,1,1,1,1
"TVC.ATM.dist.max_Cell",1.80236671579463e-13,1,2.59495174011638e-09,3.89381901920381e-22,2.9908040112969e-06,1.02867936416679e-37,NA,4.47217592584759e-111,7.22302031493396e-29,4.76006301412014e-22,4.80695428917465e-43,4.99163701208367e-95,1,3.37477585105108e-13,NA,7.42606622492212e-67,2.45467106438106e-24,3.85889683164757e-31,6.44041817586816e-29,1,1.34415536805514e-37,1,1.54907145085334e-31,NA,2.44248525552895e-31,3.17137495301447e-12,NA,7.22302031493396e-29,8.0313913287617e-23,2.9908040112969e-06,NA,2.66704978464777e-23,NA,1.93860011746667e-11
"TVC.ATM.dist.mean_Cell",1,1,0.0365511487119,1,1,0.476198856077755,1,0.158566408564116,1,0.455208792981147,1,1,1,1,0.0502161186487169,0.000780700453767094,0.461252601012001,1,0.000122879308057285,1,1,1.41551453926209e-09,0.011905273470422,1,1,1,1,1,0.975035515348259,1,1,1,1,1
"TVC.ATM.dist.sd_Cell",1,1,0.632525516076137,1,1,1,1,1,1,0.50585353995337,1,0.0106593013998088,1,1,0.0133214100282275,0.322536948960706,0.110893646366144,1,0.00310010167458091,1,1,8.4839233039932e-10,0.394889871805964,1,1,1,1,1,0.102718925520387,1,1,1,1,1
"TVC.cosine.min_Cell",1,0.760884980195799,1,1,1,1,1,3.45039557986765e-21,1,1,1,0.0200629490916614,1,1,1,0.0476050159904042,1,0.647672256162326,0.851541290656692,1,1,4.46643029739533e-05,1,1,1,1,1,1,0.296340718740731,1,1,1,1,1
"TVC.cosine.max_Cell",1,1,0.839624873840633,1,1,1,1,7.11986386945715e-21,1,1,1,0.0894488349063646,1,1,1,0.0271794574724855,1,0.887758285564052,1,1,1,1.43528313500001e-08,1,1,1,1,1,1,0.634339397963986,1,1,1,1,1
"TVC.cosine.sd_Cell",1,0.686466468965299,1,1,1,1,1,1.95771662510376e-14,1,1,1,1,1,1,1,0.0064480987862773,1,1,1,1,1,9.10873626785377e-06,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..min",1,1,1,1,1,1,1,0.457955879482267,1,1,0.000306130684544058,0.202146464893347,1,1,1,1,1,1,1,1,1,1,0.394889871805964,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..max",1,1,1,1,1,1,1,1,1,1,1,0.258610129693348,1,1,1,1,1,1,1,1,1,1,0.152406282197795,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,0.163231691958448,0.0766117873332571,1,1,1,1,1,1,1,1,1,1,0.062154032977593,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..oblate..SD",1,1,1,1,1,1,1,0.236529936585041,1,1,1,1,1,1,0.0999998413819087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..min",1,1,1,1,1,1,0.0817501624051826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..mean",1,1,1,1,1,1,0.677733695238621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Ellipticity..prolate..SD",1,1,1,1,1,1,1,0.489785497096144,1,1,0.582803482799909,0.742970157452728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.0426848851590815,0.634019213533897,1,0.217666944782919,0.551822631922922,0.135326637763916,1,0.0271861870194631,1,1,1,1,0.979924868582076,1,0.0101916665875374,2.33123984420069e-06,0.569576400626727,0.0632543925945957,0.816308886462799,1,1,1,1,1,1,1,1,1,1,0.1397340917749,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.235537470671887,0.211377252079754,1,0.170863710563841,1,3.61438269980272e-05,1,0.0134308208226402,1,1,1,0.172281231060901,1,1,0.238063053155726,5.0916844926446e-05,0.129941368542028,1,1,1,0.154380216730519,1,0.183295892703532,1,0.534086098979283,1,0.793742811714586,1,1,1,1,0.784826728935738,0.0722130082241883,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.0302191067936466,0.0137278058722142,1,0.133574392651822,0.24200880427876,0.000751240414565652,1,0.0123614933024508,1,1,1,0.268010206324746,1,1,0.0230647209016041,1.40610518935372e-06,0.0239487010137719,0.0916696581592714,0.455327083294424,1,1,1,0.549779979347904,1,1,1,0.76176639402905,1,1,0.158083349284162,1,0.544901388088988,0.447890226254429,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,1,1,1,1,0.0042706421387944,1,0.459656272544599,1,1,1,1,1,1,1,1,1,1,1,1,0.0276551409992316,1,1,1,0.000312100193419003,1,1,1,1,1,1,1,1,1
"ATM.Cell.Sphericity.min",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00134840423928912,1,0.345667752835835,1,1,0.00030034960739623,0.00477576706197819,0.0127105630767802,1,1,1,1,0.0182874230897067,1,0.97643107606819,1,0.822949147250886,1,0.0355903099126977
"ATM.Cell.Sphericity.max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0119109946484172,1,0.154249304046207,1,1,0.332601672676395,2.08072412086295e-05,0.000816898140297027,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Sphericity.mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00134840423928912,1,0.0705248185054727,1,1,0.00814358255631292,8.75836820649492e-05,0.00111519061202892,1,1,1,1,0.135245508976336,1,0.855187886187081,1,0.585579728905745,1,1
"ATM.Cell.Sphericity.SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.564544628190532,1,1,1,1,1,0.180726882034298
"ATM.Cell.Volume.frac.min",1,1,1,1,1,1,1,0.235221371046103,1,1,1,1,1,1,1,1,1,1,1,1,1,0.34466506967812,0.000637672767973913,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Volume.frac.max",1,1,1,1,1,1,1,0.0406432701354859,1,1,1,1,1,1,1,0.174785042740279,1,0.827145670389975,1,1,1,1,2.36952139429308e-05,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Volume.frac.mean",1,1,1,1,1,1,1,0.0184619377901143,1,1,1,1,1,1,1,0.79014727069495,1,0.183875885315712,1,1,1,1,3.92057584577766e-05,1,1,1,1,1,1,1,1,1,1,1
"ATM.Cell.Volume.frac.SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.111899493004856,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..min",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.911283598702671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..max",1,0.634019213533897,1,1,1,1,1,1,1,0.343716874758894,1,1,1,1,1,0.0106682972716449,1,1,1,1,1,1,1,1,1,1,1,1,1,0.804672378510139,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0576029136914412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..min",1,1,0.954120412640596,1,1,1,1,1,1,0.138491752583555,1,1,1,1,1,0.00317686965067395,1,1,1,1,1,1,0.549779979347904,1,0.121597440083713,1,1,1,1,0.997411367511258,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..max",1,1,1,1,1,1,1,1,1,1,0.635360958218398,1,1,1,1,0.79014727069495,1,1,1,1,1,1,0.301248335954467,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,0.856869985953128,0.982270558479102,1,1,1,1,0.0361836029909798,1,1,1,1,1,1,0.299194388386471,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Ellipticity..prolate..SD",1,0.153951435377949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Sphericity.min",0.237479386302229,0.457594775781044,1,1,1,0.229352919595525,1,1,1,1,1,0.121762907833432,1,0.00923843201988098,0.371395489319577,0.00358557617146592,1,1,1,1,1,1,1,1,1,1,1,0.308921188118726,1,1,1,0.476773537877514,1,1
"ATM.Nucleus.Sphericity.max",1,0.510476124023569,1,1,1,0.752101372132643,1,1,1,1,1,0.0219700681022214,1,1,1,0.105385831071426,1,1,1,1,1,1,1,1,1,1,1,1,1,0.312163748953472,1,1,1,1
"ATM.Nucleus.Sphericity.mean",0.120148075089799,0.121809513647164,1,1,1,0.229352919595525,1,1,1,1,1,0.0195421317222161,1,0.348648829510312,1,0.00250881558194913,1,1,1,1,1,1,1,1,1,1,1,0.382036073604295,1,0.644187361615033,1,1,1,1
"ATM.Nucleus.Sphericity.SD",1,1,1,1,1,1,1,1,1,1,1,0.202146464893347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.817782303902797,1,1,1,1,1,1,1
"ATM.Nucleus.Volume.frac.min",1,1,1,0.412470218845815,1,1,1,0.0302288628182549,1,1,1,1,1,1,1,0.64131971618088,1,0.249172596699642,1,1,1,0.787728847773983,0.000684703462756827,1,0.674677035605954,1,1,1,1,1,1,0.948029635320195,1,1
"ATM.Nucleus.Volume.frac.max",1,0.634019213533897,1,0.00961005475177366,1,1,1,0.106522709862713,1,1,1,1,1,0.667363548122818,1,0.213936680338919,1,0.00829424339568466,1,1,1,1,0.000812716704658037,1,0.529666884037188,1,1,1,1,1,1,0.0029026669275639,1,1
"ATM.Nucleus.Volume.frac.mean",1,0.634019213533897,1,0.0115160252174283,1,1,1,0.0137820965392755,1,1,1,1,1,1,1,0.0635490542904566,1,0.0428036109873767,1,1,1,0.673806690449419,6.33006775539039e-05,1,0.294200867777704,1,1,1,1,1,1,0.0443797540172191,1,1
"ATM.Nucleus.Volume.frac.SD",1,1,1,1,1,1,1,0.0951214383089839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..oblate..min",1,1,1,0.136071653162562,1,1,1,1,1,0.551476639184918,1,0.121800974731497,1,1,0.293377882323709,1,1,1,1,1,1,1,0.0915825501947595,1,1,1,1,1,1,1,1,0.552386282464006,1,1
"TVC.Cell.Ellipticity..oblate..max",1,0.37608197129245,1,1,1,1,1,1,1,1,1,0.00374037026098792,1,0.598467694585629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..prolate..min",1,1,1,1,1,1,1,1,1,1,0.707493215142236,0.00685080086275475,1,0.0367505458289416,1,1,1,1,1,0.0208503777757903,1,1,1,1,1,1,1,1,1,1,1,0.728033093177551,1,1
"TVC.Cell.Ellipticity..prolate..max",1,1,1,1,1,1,1,0.0212189440758732,1,1,1,1,1,1,1,0.79014727069495,1,1,1,1,1,0.299755052596195,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,0.1483186447863,1,0.84890656284495,1,1,1,0.0353511027139787,1,0.058321010132222,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..prolate..SD",1,1,1,1,1,1,1,0.331001486696958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.34643502977818,1.40351204312734e-07,1,1.00349725007801e-06,0.216519554518116,0.000524679762627434,1,1,1,1,0.163231691958448,0.0149878129424859,1,0.329626807864386,0.181994528273882,0.0174190169054474,0.426754208069311,1,1,1,1,0.0123082742916247,1,0.402682741022427,0.251468742372861,0.0129937322902981,0.0632739649711949,1,1,0.00844969879600621,1,0.00838613060138465,0.0170835091157124,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.731120786480351,2.2197780233902e-16,1,4.8511834417869e-05,0.00190211215158062,2.79532562681276e-12,0.00401975672102499,0.000771087734582605,1,1,0.0110813711500264,1,0.0115570682788752,1,0.057509094186519,0.000369812289108719,0.0601110113511952,0.336125988322662,1,1,1,1,0.00087227582764468,6.74010015060935e-06,8.52336664564256e-06,0.000885907995947461,0.186789076306971,0.675745803583404,1,0.17371804136976,1,0.000240034284311169,1,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.0292968090378396,2.82142826106661e-15,1,2.90731249494839e-08,0.00544854898470282,1.63432103800187e-10,0.178250648152133,0.027075896419159,1,1,0.00739171447911349,1,0.128335093533516,0.622173929319112,0.0195098634436225,4.34181118555458e-05,0.00179684330217612,0.118176972500437,1,1,1,0.0630069090710441,1.60942600527401e-05,0.00191777637038264,0.000511300129867526,0.00140021860279735,0.0755636614324826,1,1,0.0271580048291317,1,5.44884592542563e-06,0.254692658085877,0.270991591396852
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,1.10271531376589e-07,0.0193498360576538,0.0623093805816975,0.122569126473623,0.00119351907407688,0.0182631870230517,6.14109703966963e-06,1,1,1,1,0.446668930018009,1,1,0.0537980336597111,1,1,1,1,1,1,1,0.414984174123265,0.074308960895212,1,1,0.0108488623960512,1,1,1,0.126228357411412,1,1
"TVC.Cell.Sphericity.min",1,1,1,1,1,1,1,1,1,1,1,0.145869571473519,1,1,1,0.0725733170902906,1,0.0199279814054528,1,1,0.0670266378078853,1,0.266278486711329,1,1,0.0691510713993627,1,0.60332405775711,0.461484733888818,0.474948915982635,0.0980013595020509,1,1,1
"TVC.Cell.Sphericity.max",1,1,1,0.00214232411030812,1,1,1,1,1,1,1,0.689697094520438,1,0.0286561964302358,1,0.0905211176139307,1,0.0145224971225526,1,1,0.000334629060414471,1,4.17145616266286e-06,1,1,1,1,1,1,0.581643261848097,0.116885369218147,0.00906846343694683,1,1
