"","k","ES"
"1",3,0.532182726204465
"2",4,0.524429996717788
"3",5,0.537961133069829
"4",6,0.547854060618589
"5",7,0.581639168996273
"6",8,0.580076544521892
"7",9,0.578205128205128
"8",10,0.598267531622639
"9",11,0.599303127692294
"10",12,0.588264056075165
"11",13,0.592208267519359
"12",14,0.601319113106932
"13",15,0.601025271903923
"14",16,0.602643234936408
"15",17,0.608103713469567
"16",18,0.609162016748023
"17",19,0.605302321115672
"18",20,0.602234550487302
"19",21,0.597614670241336
"20",22,0.596489774792042
"21",23,0.594927739668765
"22",24,0.578943359502103
"23",25,0.579997000731425
"24",26,0.589027715821769
"25",27,0.586505234608274
"26",28,0.582538341780119
"27",29,0.582449189758256
"28",30,0.590158988955974
"29",31,0.584173216577298
"30",32,0.576492167738043
"31",33,0.572376208333977
"32",34,0.567796440960515
"33",35,0.563617961042815
"34",36,0.564399107854408
"35",37,0.56452032140678
"36",38,0.562366523254912
"37",39,0.556074578367753
"38",40,0.563725490196078
"39",41,0.557477431121125
"40",42,0.554728445792059
"41",43,0.552644314497763
"42",44,0.55398480030833
"43",45,0.553241692140392
"44",46,0.552366991476879
"45",47,0.556879868103168
"46",48,0.560433111170731
"47",49,0.5562732302626
"48",50,0.554469730017934
"49",51,0.554570196833441
"50",52,0.555699308019777
"51",53,0.552714159725265
