"","ATM.dist.mean_Nucleus","TVC.dist.min_Nucleus","TVC.dist.max_Nucleus","TVC.dist.mean_Nucleus","TVC.dist.sd_Nucleus","TVC.ATM.dist.min_Nucleus","TVC.ATM.dist.max_Nucleus","TVC.ATM.dist.mean_Nucleus","TVC.ATM.dist.sd_Nucleus","TVC.cosine.min_Nucleus","TVC.cosine.max_Nucleus","TVC.cosine.sd_Nucleus","ATM.Nucleus.Dist.to.Cell.Membrane.min","ATM.Nucleus.Dist.to.Cell.Membrane.max","ATM.Nucleus.Dist.to.Cell.Membrane.mean","ATM.Nucleus.Dist.to.Cell.Membrane.SD","TVC.Nucleus.Dist.to.Cell.Membrane.min","TVC.Nucleus.Dist.to.Cell.Membrane.max","TVC.Nucleus.Dist.to.Cell.Membrane.mean","TVC.Nucleus.Dist.to.Cell.Membrane.SD","ATM.dist.mean_Cell","TVC.dist.min_Cell","TVC.dist.max_Cell","TVC.dist.mean_Cell","TVC.dist.sd_Cell","TVC.ATM.dist.min_Cell","TVC.ATM.dist.max_Cell","TVC.ATM.dist.mean_Cell","TVC.ATM.dist.sd_Cell","TVC.cosine.min_Cell","TVC.cosine.max_Cell","TVC.cosine.sd_Cell","ATM.Cell.Ellipticity..oblate..min","ATM.Cell.Ellipticity..oblate..max","ATM.Cell.Ellipticity..oblate..mean","ATM.Cell.Ellipticity..oblate..SD","ATM.Cell.Ellipticity..prolate..min","ATM.Cell.Ellipticity..prolate..max","ATM.Cell.Ellipticity..prolate..mean","ATM.Cell.Ellipticity..prolate..SD","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean","ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD","ATM.Cell.Sphericity.min","ATM.Cell.Sphericity.max","ATM.Cell.Sphericity.mean","ATM.Cell.Sphericity.SD","ATM.Cell.Volume.frac.min","ATM.Cell.Volume.frac.max","ATM.Cell.Volume.frac.mean","ATM.Cell.Volume.frac.SD","ATM.Nucleus.Ellipticity..oblate..min","ATM.Nucleus.Ellipticity..oblate..max","ATM.Nucleus.Ellipticity..oblate..mean","ATM.Nucleus.Ellipticity..oblate..SD","ATM.Nucleus.Ellipticity..prolate..min","ATM.Nucleus.Ellipticity..prolate..max","ATM.Nucleus.Ellipticity..prolate..mean","ATM.Nucleus.Ellipticity..prolate..SD","ATM.Nucleus.Sphericity.min","ATM.Nucleus.Sphericity.max","ATM.Nucleus.Sphericity.mean","ATM.Nucleus.Sphericity.SD","ATM.Nucleus.Volume.frac.min","ATM.Nucleus.Volume.frac.max","ATM.Nucleus.Volume.frac.mean","ATM.Nucleus.Volume.frac.SD","TVC.Cell.Ellipticity..oblate..min","TVC.Cell.Ellipticity..oblate..max","TVC.Cell.Ellipticity..oblate..mean","TVC.Cell.Ellipticity..oblate..SD","TVC.Cell.Ellipticity..prolate..min","TVC.Cell.Ellipticity..prolate..max","TVC.Cell.Ellipticity..prolate..mean","TVC.Cell.Ellipticity..prolate..SD","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean","TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD","TVC.Cell.Sphericity.min","TVC.Cell.Sphericity.max","TVC.Cell.Sphericity.mean","TVC.Cell.Sphericity.SD","TVC.Cell.Volume.frac.min","TVC.Cell.Volume.frac.max","TVC.Cell.Volume.frac.mean","TVC.Cell.Volume.frac.SD","TVC.Nucleus.Ellipticity..oblate..min","TVC.Nucleus.Ellipticity..oblate..max","TVC.Nucleus.Ellipticity..oblate..mean","TVC.Nucleus.Ellipticity..oblate..SD","TVC.Nucleus.Ellipticity..prolate..min","TVC.Nucleus.Ellipticity..prolate..max","TVC.Nucleus.Ellipticity..prolate..mean","TVC.Nucleus.Ellipticity..prolate..SD","TVC.Nucleus.Sphericity.min","TVC.Nucleus.Sphericity.max","TVC.Nucleus.Sphericity.mean","TVC.Nucleus.Sphericity.SD","TVC.Nucleus.Volume.frac.min","TVC.Nucleus.Volume.frac.max","TVC.Nucleus.Volume.frac.mean","TVC.Nucleus.Volume.frac.SD","nATM","nTVC","ATMgroup.Ellipticity..oblate.","ATMgroup.Ellipticity..prolate.","ATMgroup.Sphericity","TVCgroup.Ellipticity..oblate.","TVCgroup.Ellipticity..prolate.","TVCgroup.Sphericity","TVC.Volume","ATM.Volume","Threshold.nuclei","Threshold.membrane","surface.dist"
"ADF.Cofilin.slide1_image11.2019_08_29",-0.224813903754268,0.162317243666462,-0.705090259737846,-0.500049999881697,0,1.5791041555466,0.037039420160982,1.62513494652737,-1.38127031243066,0,0,0,0.611164248775623,0.314718906810571,0.476476783989563,-0.59262075917491,1.19908336283215,0.189785124754265,0.63617204553425,-1.09313397361081,0.0939332306781708,0.531792369167939,-0.573893021214255,-0.228337269740484,0,1.05375207739294,0.0443251384850787,1.1497791761858,-0.823301876509666,0,0,0,0.941541438583059,0.556277280411467,0.77421141606198,-0.246283429101342,-0.26796548818598,-1.14154882737541,-0.749716919098124,-1.23801127892903,-1.62496704104535,-1.70241014678614,-1.81897269904061,-0.83126348099475,-0.0777286953895536,-0.555717583276435,-0.32359247781207,-0.876549849431083,0.115812239161043,0.319176163004385,0.234647924514525,0.103304751037265,-1.24943688178176,-1.65396743955411,-1.59252687333351,-0.672923577568152,-0.65019468965892,-0.494376229989026,-0.62436759657192,-0.0119508348711508,1.17070498683345,1.12235001589917,1.25389509796607,-0.603361481406355,-0.223399171272368,0.382008491677604,0.0614165780651376,0.633711232222819,1.28426749107792,-0.0992332049125927,0.699829551605558,-0.623303149872088,0.291415356601285,-1.19045470821799,-0.6404492445478,-1.02433902583063,-0.785220769616832,-1.2138611385579,-1.29221966024798,-0.755217519155939,1.05836570739498,0.21032292951153,0.761744470074081,-1.07889136300661,1.91086406575105,0.534936079921418,1.32347573770266,-0.739778519066132,-0.418909806559268,-1.22763064662509,-1.08291720105947,-0.340454976620119,0.246452261519175,-1.45728383928087,-0.782002003222512,-1.66422720861641,0.338819965225219,0.02048016918781,0.204251816472755,0.20716503753862,2.66200436351232,0.674003595184004,1.82164900709256,-1.16718230272253,-0.0186607398260689,-1.71927617370903,0.631011457095713,-0.95000202891885,-0.209304572529969,-0.746547622780294,0.859478064648858,1.16361961370086,-0.350398639518706,0.28668578598478,0.849829684449183,-0.364091164262668,0.118359662603285
"ADF.Cofilin.slide1_image12_left.2019_08_29",0,-0.0913869734012094,2.88590728129652,2.07711801386867,3.34584359499061,-0.409480949845496,0.037039420160982,0.187198429436203,0.131917490917262,-1.32633796646752,1.10443508184486,1.92518786259445,-0.14297022849805,-0.616549122547552,-0.402925354370163,0,0.0933028727365718,0.12332504873767,0.200259882194053,0.0727456523852127,0,0.00832097952323651,2.83038694402535,1.88029542449376,3.2195510695767,-0.657523001004433,0.0443251384850787,0.122272277441434,0.244108205643482,-1.32840482245298,1.19603711120754,1.87336641082351,-0.739194896038804,-1.20618622231159,-1.09224093969463,0,0.78829530366363,-0.00456455050921701,0.446590473521712,0,-0.0891986606721781,-0.655430693306305,-0.442450827333416,0,1.03557432732043,0.571591255568523,0.851413720194926,0,0.550513661201538,-0.412375018141226,0.161205864030677,0,0.720760211953724,-0.236331671075844,0.263950311522597,0,0.481967703787141,-0.482843275702097,-0.0478559688929929,0,0.79132827565744,0.0916262845360411,0.542937737909906,0,1.51243904845249,0.984148363760083,1.43063680588861,0,-1.16086082674072,-0.654072188211317,-0.812321134942013,0.0620600067905327,0.618801872369907,-0.159229459851397,0.674847853164534,-0.781844280643212,-1.02758929937139,-0.450898139333677,-0.960009115697725,0.0364674321098077,0.394358861709413,0.971651329995381,0.68783444516868,-0.0179524881272901,-0.570467556755913,0.478371617690523,0.262059224683697,0.823199852605041,0.373827737741909,0.384955974911126,0.0427399692651642,-0.41612259453151,-0.89967022146146,0.0906338185540541,0.397864163107828,0.304807240915756,0.408921131787891,0.433366795333291,0.69897625433762,-0.398885350739754,-0.207745049660885,-0.0672208249994069,-0.15172448742283,-0.173328232897653,-1.87851447582423,1.93308520774747,0.385234305062999,-0.10595727352496,1.248539241107,-2.21426182247759,2.19345866116236,-1.08079506533867,1.53146041652454,-2.27489672332451,0.607196770070603,-1.1473662536038,0
"ADF.Cofilin.slide1_image13.2019_08_29",1.47714510139176,0.0362913481713771,-0.741930730725095,-0.568522684515703,0,-1.73062641237504,0.037039420160982,-1.72980830131167,2.96946753458489,0,0,0,0.773972971362971,0.42906850695727,0.619402169573815,-0.66817994533929,1.01835601816631,0.165959628021495,0.54712076111954,-0.805953485097475,1.08970759700498,0.614219514542984,-0.548095859349093,-0.181203374039001,0,-1.68997257505394,0.0443251384850787,-1.68504775073413,2.73085707517176,0,0,0,0.510125858691307,0.677204166966671,0.656304111217574,0.452317108640732,-0.491412792357552,-0.298651854945437,-0.436271088479244,0.260313953940179,-0.643098538270485,-0.773614082631173,-0.777105907517979,-0.518618556549643,1.03847713470776,0.643960989415472,0.889331608122023,-0.90566611861865,-0.354373271634581,-0.469124962905844,-0.433958510696652,-0.0681132747818957,-1.33290274011862,-1.64604068889939,-1.63333090936481,-0.555316862764549,1.95686497500729,1.21010719739194,1.70781075997433,-0.697474349721318,-0.182057348354237,0.367355845546123,0.0502169803867627,0.549396481505391,-0.174039242967681,-0.854860893160866,-0.4933806611785,-0.673557333192507,-1.6236081414868,-1.39169277783549,-1.85319799304728,1.03342705667103,0.997886089906367,0.27378028146009,0.807609561123861,0.383854036675091,-0.292446139279839,-0.694366840793591,-0.641401968522635,-0.347182738523535,0.562217247433845,0.969642915210632,0.749283908617952,0.824162669325618,2.24274899322014,1.60093890912027,2.1995085015203,0.969554878900975,-0.231505802994121,-1.43640983533426,-1.13428958244735,-0.860342655352094,1.68842345862636,-0.346738589852548,0.699251614923308,-1.79304527751334,1.60239154742399,0.946631045339103,1.54113155675391,-1.08380549058976,3.26933208462482,1.24844335277634,2.51893342222106,-0.859416573639485,-0.0186607398260689,-1.71927617370903,-0.482014983768122,-0.196857437106526,0.532272519804987,-0.763517458933997,0.938763076621175,1.31642248387784,0.0447391175471506,-0.251174881113095,1.22051885919424,-0.266181778095026,0
"ADF.Cofilin.slide1_image14_left.2019_08_29",-0.926649706724088,-0.0761364435365924,-0.228109460470733,-0.386667421125659,-0.327908755576832,0.133260432622649,0.037039420160982,0.0547772644080111,-0.29432159396322,-0.83413251187036,0.56386947890778,0.323766281254649,-0.420490620820487,-0.334194655271106,-0.388225561664769,0.0478636597446608,-0.595897867654998,-0.649015326182437,-0.673483425360721,-0.570450967085361,-0.693925749510376,-0.614387134074021,-0.338784178683834,-0.437568443757738,-0.401560419949964,-0.0877521362887,0.0443251384850787,-0.30307089311547,0.161885656362087,-0.761181437544039,0.715700267506477,0.127066785391685,-0.907173936187225,0.96064010948151,0.19723689014148,2.56201142335815,-0.332844903584807,0.678436470275646,0.164987426366145,1.36965015880668,1.71006864626445,0.788675204537974,1.30590120825821,-0.877829283823883,-0.44498244149404,-0.424949515779301,-0.458873471552772,0.0428271437003781,0.779728923782468,0.541566012041266,0.756920526059724,-0.581281553110905,-0.340076600833935,-0.0640371957473004,-0.214834432157546,0.25700699467664,0.493506297449316,0.970197624586536,0.82793306746549,0.697969698435539,-1.31661859313662,-2.26629997691788,-1.87134277332058,-0.524267219057329,1.30588931854363,1.25502825763218,1.42989007459458,-0.515181669509563,0.245498555205271,0.411750939451127,0.332232143248391,0.0200287516016977,0.274132091768497,1.10389401017622,0.3282425231466,0.764851283323328,0.255495029400745,-0.61145743966736,-0.316952838883257,-0.948205615684452,-1.14108887000744,-1.79757483756929,-1.63429262560598,-0.152783761872071,-0.23074180146476,-1.03444050258564,-0.85577538793231,-1.23118573653132,0.015752775696343,0.691867148132967,-0.126178283002072,0.646840766805352,-0.0886627719934774,0.587104724378124,-0.436959375727285,0.876745106126299,-0.0358439277631878,0.800079714503024,0.343866843536601,0.882533924032128,-0.718810669171584,-1.30704428960045,-1.22513595371613,-1.05023072729611,-0.0186607398260689,0.106904517019216,0.115555486122232,-0.146602762501186,0.354673995881829,1.20524847629275,-1.28357937683603,-1.50294160309488,-0.667326958350619,0.718087933567275,0.145520252433583,-1.43219355881876,-0.16163044242945
"ADF.Cofilin.slide1_image14_right.2019_08_29",0.423415416298302,-0.822392102154419,-0.992945037068134,-1.03506458738115,0,-1.3964373866701,0.037039420160982,-1.77812283590745,1.99725314225714,0,0,0,-1.04652463637805,-0.571962422252488,-0.968445301932895,0.384984934970052,-0.52808540639857,-0.68416772473004,-0.634644211946503,-0.423511435840644,0.221378050521808,-1.13368954432449,-1.09513764651791,-1.18070132949387,0,-1.34622373663999,0.0443251384850787,-1.65989490620714,1.97955395997685,0,0,0,-0.0803816611296677,0.651834540145917,0.226872208036157,0.503015247716177,0.00336654375208111,-0.320151416201484,-0.0766979267409639,-0.657557300419009,0.491727315962699,0.433432222381098,0.497507358356369,-0.251056245016867,0.611986673258912,0.307285059646834,0.495335117336458,-0.781331084746585,-0.695531982155805,-1.28050325328552,-1.07637984450733,-0.668546723230723,-0.67213218039281,0.0381308751159814,-0.544213737707235,0.301998762651684,0.110281445551599,1.00266247337975,0.723163105359051,0.466232028548859,0.362025497190316,0.785388812655467,0.520198155223152,-0.166043417383835,-0.124965051796343,-0.930881334878345,-0.517300053133028,-0.880318236570107,-0.934097170208747,-0.709849477721235,-0.986688629293497,1.21378875848326,1.90406840500729,2.86601645414193,3.18394317888459,3.26463301961641,-0.314358923273333,-0.978881330991616,-0.87680061601577,-0.861598642518892,0.624786858347764,-0.2721340953158,0.24902414885826,-0.825529148293469,0.0460001199678948,-0.44806722520315,-0.215929138038019,-0.100817471517029,0.519711824515234,1.14170280847569,1.17035307451186,2.16216695243149,-0.289174448197883,-0.761318407356934,-0.617749125765371,0.237257844842883,-1.59934891406751,0.455084863041256,-0.991751821630568,4.46870685276501,-0.646724444800804,-0.786406998447888,-0.774916521996238,-0.00265336502054223,1.84119299617209,-1.71927617370903,-0.610797384475863,-0.243544720522542,-0.760969987466278,0.025484815045029,-0.356946803065939,1.27640383418983,-1.06424778569766,1.25837571210608,0.455551198583991,-0.0525612991838075,-0.504844119566352
"ADF.Cofilin.slide1_image18_left.2019_08_29",0.137286034607803,-0.023516793997721,-0.759414122671855,-0.601017784361673,0,0.177916137079809,0.037039420160982,0.0752316042824918,-0.0968059704784969,0,0,0,-0.783479378040723,-0.993375933225556,-0.946552535457387,-0.764668482597347,-0.463989943558939,-0.884586580870866,-0.738731594176959,-1.19596007795142,0.189793690516243,-0.382301356980885,-0.859976249088964,-0.751038840365583,0,-0.0302951478315986,0.0443251384850787,-0.188256121886249,0.217562559891859,0,0,0,-0.185076606550315,0.501951919099702,0.218553583760083,0.35013312162,-0.671233264882415,0.276481509215966,-0.487514958742404,0.73794233982132,-0.819466101437312,-0.903053192221667,-0.89980094080445,-0.636508287669161,-0.660470750654131,-0.000464168305965378,-0.420423669366177,0.555391550849431,-1.07739591001798,-0.205794296928272,-0.982347625855153,0.579646415451712,-0.81882379486831,-0.232114907458558,-0.405152135130416,0.146685317754702,-0.112628725598634,-0.354607586885007,-0.159286662961765,-0.634013100402042,0.690286511493327,0.8926110333353,0.893523913013958,-0.422717684258235,-0.7529265972134,-0.262039885924244,-0.64934880099804,0.19136549183002,0.874716629185886,-1.15456237838237,-0.267271739292948,-1.72349442947243,2.6203145529018,0.205391816429571,1.63975695053762,-1.54503729049755,-0.711096505315358,-0.532651605972264,-0.718035480127027,0.451029540675038,0.957648171172054,0.155558827361069,0.667737327180735,-0.949544057406777,-0.560895602167063,-0.300038329997538,-0.400735849555272,1.06448570632058,2.24486284186951,0.500803722065663,1.63919566213369,-0.708144535766234,0.299351885433642,-1.1554699695605,-0.559387068802435,-1.23237981057428,0.370758399047612,-1.10374921804787,-0.290622082146362,-1.23671409344626,-0.167391907052959,-0.751462506924156,-0.525972779821978,-0.472009205373229,1.84119299617209,-1.71927617370903,-1.15193222030994,1.80999745193234,-1.41818778093773,-0.195157021798903,0.240911190154994,0.515112760141804,-1.15019015999557,1.3753602875997,0.169109563553723,-1.44109441210673,0.768659261388993
"ADF.Cofilin.slide1_image19_left.2019_08_29",-0.576979957164258,-0.340318126307566,-0.423949912596917,-0.435640476464376,-0.588676137715238,0.786655366678755,0.037039420160982,0.641469932849962,-0.787572414580206,0.537339746926071,-0.590055079127069,-0.745205512773708,-0.679205569379677,-0.869973794637415,-0.806987213835583,-0.588611789842978,-0.528215026249785,-0.434542472347795,-0.440030404175819,-0.144037984853918,-1.15201267792828,-0.538219957132269,-0.534623240982953,-0.497583327829627,-0.527170264953909,1.06634208727636,0.0443251384850787,0.977954484801421,-1.01766359908505,0.932480187240807,-0.860289736685636,-0.607469875328067,2.08123905302721,1.63701337523324,1.96778514008623,0.188233557127719,-1.16942924900497,-1.14252973480743,-1.26381769114209,0.115299713698676,-0.226132668284582,0.862541914696277,0.439831145651448,1.68811974616551,-1.66495321891556,-0.622153634699623,-1.22532392561422,2.00336628110158,-0.509934325054147,0.234751400452291,-0.198316212442238,0.878759787684903,-0.850628266138048,-1.31180719175142,-1.18600881334721,-0.7335432548897,-0.682204625569586,-0.348678739105966,-0.553238312130122,0.231391437154703,1.28118703735699,1.02839019458522,1.28125086470074,-0.856244929854697,-0.043313060700063,-0.275696914513735,-0.137516328849035,-0.265180264157327,0.289542207555631,1.50618794849336,0.868517298113853,1.19823753621594,-0.85590306944671,-0.0227214092839009,-0.952917853725652,0.432754309339575,0.16487480821694,0.137371370609199,-0.0437110173152368,0.065633445958207,-0.992930644004309,-0.615215088199566,-0.566284928891812,0.744388510468794,-0.0986123821050436,-0.0362700343766658,-0.229982218692387,-0.14339390725565,0.657862407315945,0.275914155714727,0.548773024866875,-0.438078121674124,0.289274050632498,-0.780955253251421,-0.142952463727669,-1.16609259500502,0.45334706531429,0.541774629102449,0.365823562465651,-0.18838632654063,-0.265084098068652,-0.339154162243764,-0.240156235013983,-0.063721966877114,-0.0186607398260689,0.106904517019216,1.27551997383608,-1.08235224204274,-0.869077926156713,-0.479642941978506,0.669554955843966,-0.565525979575345,-0.0527659889845819,-0.118451139312166,-0.316156265203436,-1.64581403772998,0.895106405597325
"ADF.Cofilin.slide1_image2_left.2019_08_29",0,-0.129890217340922,-0.266491126085658,-0.124854409499529,-0.433475090626782,1.92754778459475,0.037039420160982,1.53591102657071,-1.64224772714297,0.868046442364173,-0.56957148546531,-0.9148582092615,0.0465040939906059,-0.442316633886259,-0.214315946468847,0,-0.469719329895881,0.508583820842189,0.244509008512368,1.40640042854511,0,-0.072057077192527,-0.27267939932298,-0.0761392157011656,-0.425230112281362,2.30652237782724,0.0443251384850787,1.87671366759486,-2.02290316275649,1.01171815020995,-0.822759459057373,-0.875887837133084,2.38953150859438,1.02814233153515,1.7229076081598,0,-0.551458720826643,-1.46429953341141,-1.07999645779558,0,0.15007470704017,-0.474706599585513,-0.21700799326535,0,1.22132622204857,0.774032757444512,1.05466575752438,0,0.332629096331982,-0.701318478415675,-0.112466799705722,0,-0.0554280567636261,-0.991706067905834,-0.577030132630056,0,-0.207764154300358,-1.06242293981094,-0.74188312945866,0,1.41588380614394,0.961971242922203,1.33654754826066,0,0.714183495105437,-0.0688200198841742,0.433531128165468,0,0.893183513021527,1.5994248085193,1.1725558054721,0.947425353454225,-0.601064786140204,-0.746172711215702,-1.08647492448433,-0.384409458333906,-1.16443139747138,-0.783815941283665,-0.990277644844146,-0.0293486952868926,0.863856374507854,0.0388122610119949,0.567347520732293,-1.14670781184055,0.0362942809169909,1.92899360961634,1.65809569930069,2.24471562783164,0.211134338586296,-0.222897052658973,-0.391775406385216,-0.451305732139624,0.380479056168953,0.453386212561602,0.49611620459607,0.24156387536343,1.17793326309251,0.746544981777517,0.995310223529805,-0.913514948866985,-0.628628830033838,2.4153577612745,1.36170363290897,3.51994239585903,-1.87851447582423,0.106904517019216,4.04837388116628,-1.37879485968149,2.30619265992118,-0.012347457789229,0.0378790587377279,1.02210578828384,1.65356098311493,-2.44109975258447,0.603826868482012,0.00974467383196454,0.777691200261016
"ADF.Cofilin.slide1_image2_right.2019_08_29",0,-0.0331545236418644,0.726380780730803,0.547908690324329,0.355008096172974,1.091174308132,0.037039420160982,0.81372718280102,-0.762663399816417,-1.08294262895609,1.02762186101783,0.228524083918128,0.622595969858787,0.087432832488403,0.359146178515196,0,0.481175089041291,0.162121597440431,0.272382315822333,-0.467752395148336,0,0.36888485615823,0.793755114118234,0.805379754913748,0.497176287976633,0.919177556657889,0.0443251384850787,0.826890130293975,-0.677440751305532,-0.915231987553133,0.976964712504765,0.120150932163672,3.67922375538463,1.9491548586807,2.88333993306818,0,-1.91312947231129,-2.94791398412603,-2.63155647252613,0,0.740820299262034,-0.0285141846310962,0.339591187817861,0,0.547430459209534,0.0395881880544253,0.317280618356952,0,0.619009819522445,-0.32154014412159,0.247240072624642,0,-0.312654209943036,-1.24203457470983,-0.85572819245254,0,0.303566691538563,-0.632753124788106,-0.227367972755245,0,1.40437126180318,0.945928017882828,1.32191879599613,0,0.150044779586946,-0.812967967167412,-0.271137838944586,0,-0.217584765433018,-0.686630917292855,-1.08954073424751,-0.818438935757158,0.781402827916786,1.01377801376371,1.743928184075,-0.249987150580338,-0.346843520903717,0.668003097161951,0.498962289947333,0.568959048991037,0.625676058182611,0.98225019217628,0.67448280699067,-0.350614801741191,-0.246429345072193,0.78250823248988,0.243271693492389,1.12522693563246,0.364263818627849,0.795199675603688,0.803548785919163,0.0613863921184145,-1.1899815317223,0.222324343766863,-0.829275715701832,0.876709864160605,-0.23653866599672,0.334692549332411,0.501716082618952,0.0843467550078399,-0.149406470379487,0.86474936296885,0.204748368474571,0.514905895114582,-1.87851447582423,1.93308520774747,5.61605171398065,-2.82191844867306,1.01205957865641,1.74409851781067,-1.32156399859701,0.730048833043848,1.54476158115255,-2.29300224007675,-0.572268785936382,0.00974467383196454,-1.14611177948004
"ADF.Cofilin.slide1_image20_right.2019_08_29",-0.599054607691064,-0.50798140436094,-0.901035051865185,-0.864238230853412,0,-0.620784791142141,0.037039420160982,-1.11765163192843,0.092083925680293,0,0,0,-1.66664600392506,-1.06604672341665,-1.34471656181927,0.106088843590129,-0.803540237424015,-1.10624227616822,-1.0209406711188,-1.22434121460506,-1.01975001709327,-0.686731863340901,-0.955253636332321,-0.925119789909992,0,-0.527387726778538,0.0443251384850787,-1.14600817486522,-0.0169648636479535,0,0,0,-1.31316026413771,1.8570669496226,1.40241220540347,2.27977875972741,-1.31704615364989,1.87671138119376,-0.554688909464337,2.24235268809246,0.263802339729716,4.95218721644217,1.45953901542782,4.41276135987179,0.314803086336678,0.940947849502725,0.693021811756534,0.229447903330226,-2.44740944585575,-3.37533784419773,-3.05123388245548,-0.536102575015074,-0.620126908094161,-0.586619467800737,-0.711816519743745,-0.681403216791913,1.19517425099022,0.978353269653479,1.3468446405784,-0.625346535606078,0.143786031637215,0.514151354656415,0.466292828545277,-0.393345013884107,-2.74145093606327,-0.284638979515031,-2.78031585697154,1.48277997000087,0.0936238919281658,1.54886702502144,1.16916936093033,3.37980711959004,-0.640899254926815,1.34437569259263,0.694880975389391,3.83922023232856,1.07341955814968,-0.199728024349839,0.415959959981205,-1.01074672205615,-0.297563849213768,-1.4111637871017,-0.891034502271521,-0.425183582719999,-0.0644465017312022,-0.438703027302661,-0.261436432620314,0.0752943223468509,1.97420545628755,-0.174837252409736,0.995017083934481,-1.41847004823526,0.82359148264595,-1.15009827821506,-0.277638547987266,-1.94538707749686,0.383634917433984,-0.103623074857689,0.179366600890119,-0.0316237395249358,-0.290069604020116,-0.375144314458155,-0.312190393730666,0.303912900510061,5.56090046816841,-1.71927617370903,-0.861977437691465,0.0357364684373528,-0.649002894803967,0.634836441672297,-0.928843503043901,-0.545197973399364,-1.08612381271675,1.28815331314657,1.01832476387875,-0.3551903109747,1.32863947145446
