"","bottleneck","layers","MSE","AIC"
"1",2,12,0.0186635032296181,11.9623707222372
"2",3,10,0.0155854187905788,14.3228389894721
"3",7,8,0.0109448675066233,23.0297693069198
"4",14,6,0.00623132521286607,38.1563325081152
