d,k,γ,n_clusts,combined,MSE,ES,NES,precision,recall,silhouette,ES_clust,NES_clust,precision_clust,recall_clust,precision_network,recall_network
19.0,28.0,1.5,13.0,102.68126695934531,0.05634777323494412,0.5765838432401986,1.5021697670049317,0.1019522776572668,0.009978871926590301,0.5600364649776856,0.3875089624473897,0.9759494700664775,0.1019522776572668,0.009978871926590301,0.06899563318777292,1.0
19.0,28.0,1.5,13.0,104.75337122676503,0.05634777323494412,0.5765838432401986,1.4968428935055444,0.1019522776572668,0.009978871926590301,0.5600364649776856,0.3875089624473897,0.9566444201379835,0.1019522776572668,0.009978871926590301,0.06899563318777292,1.0
19.0,28.0,1.5,13.0,108.12077227802351,0.05975040135751993,0.5888602926752716,1.553973446118065,0.10251227259601502,0.009191747623091742,0.5600364649776856,0.48706444603149734,1.0062195926317195,0.10251227259601502,0.009191747623091742,0.0691768826619965,1.0
19.0,28.0,2.12298457815048,16.0,102.27475071330213,0.06164875997837467,0.5706469540432666,1.4995932594615098,0.10225687071528242,0.008728276404913313,0.5600364649776856,0.5735427801169424,1.1202193740324078,0.10225687071528242,0.008728276404913313,0.06929824561403508,1.0
19.0,28.0,2.3043679960033168,16.0,98.6464282442472,0.06199707777344567,0.555736237630388,1.451112271502445,0.10128353306162176,0.00862211819292831,0.5600364649776856,0.5989996366350465,1.1757220493945706,0.10128353306162176,0.00862211819292831,0.06923751095530237,1.0
19.0,28.0,2.0291312266779675,14.0,102.55243397848905,0.060458730275874985,0.5689890660472663,1.476466148931371,0.10163516796018722,0.008883629885866976,0.5600364649776856,0.5676435368036545,1.097649215062945,0.10163516796018722,0.008883629885866976,0.06929824561403508,1.0
19.0,28.0,1.7812773393775645,14.0,105.93655870738705,0.06025711023979382,0.5748659814493091,1.5043267928471382,0.1016169007435383,0.00891728980674027,0.5600364649776856,0.53506765487379,1.0585740850089702,0.1016169007435383,0.00891728980674027,0.06929824561403508,1.0
19.0,28.0,1.231800042582523,11.0,93.60450106554794,0.05896805563204029,0.5693524383041656,1.4912908651279277,0.10040914695661922,0.009277192037616256,0.5600364649776856,0.5985930901279385,1.15156039685101,0.10040914695661922,0.009277192037616256,0.06911636045494313,1.0
19.0,28.0,2.0054413839918515,15.0,105.62067631881139,0.061549599336480396,0.5609304155444869,1.477768670509593,0.10217049199798094,0.008909522132692586,0.5600364649776856,0.506843711700844,1.062665655850692,0.10217049199798094,0.008909522132692586,0.0691768826619965,1.0
19.0,28.0,2.6347596325798026,18.0,115.94983384638971,0.06287707681511183,0.5719695104834704,1.500590952176118,0.10209250055399031,0.008350249601259399,0.5600364649776856,0.5467741839749488,1.0328337286231914,0.10209250055399031,0.008350249601259399,0.06911636045494313,1.0
19.0,28.0,1.3687731852941547,12.0,93.16761554685576,0.059176999331705164,0.5723607892057146,1.505098258969774,0.10052864938608458,0.009158087702218447,0.5600364649776856,0.5611158188334209,1.1720070419053468,0.10052864938608458,0.009158087702218447,0.06911636045494313,1.0
