"","k","ES"
"1",3,0.649895361512857
"2",4,0.643918679712863
"3",5,0.641994775144616
"4",6,0.642389364739472
"5",7,0.664163801721405
"6",8,0.666520998189325
"7",9,0.662933620351006
"8",10,0.661364372983104
"9",11,0.663560373581421
"10",12,0.659327509792986
"11",13,0.667216542276455
"12",14,0.663416122963615
"13",15,0.669598458574181
"14",16,0.662378812584682
"15",17,0.661322930837021
"16",18,0.659785180085178
"17",19,0.659030100334448
"18",20,0.656896002377404
"19",21,0.661572144330765
"20",22,0.656566721960668
"21",23,0.667468048193908
"22",24,0.660949968915297
"23",25,0.650575828442836
"24",26,0.646719859726183
"25",27,0.639540384879097
"26",28,0.642131650840222
"27",29,0.636380724393237
"28",30,0.633192619544853
"29",31,0.628865276138003
"30",32,0.635870183934412
"31",33,0.626485193258546
"32",34,0.627035699959888
"33",35,0.619204322790821
"34",36,0.623157140883582
"35",37,0.623427945079035
"36",38,0.629617592893511
"37",39,0.622610970899822
"38",40,0.61505745373195
"39",41,0.612594849454827
"40",42,0.620355528502655
"41",43,0.62241020155131
"42",44,0.619807707619677
"43",45,0.619094030463191
"44",46,0.609585167065597
"45",47,0.610597466022554
"46",48,0.609966321722262
"47",49,0.604358786316537
"48",50,0.605096809920817
"49",51,0.603386805517555
"50",52,0.606081079994145
"51",53,0.605470466848147
